Species;Group
Acanthopagrus berda;Fish
Acanthopagrus bifasciatus;Fish
Acanthopagrus latus;Fish
Acanthopagrus schlegelii;Fish
Acetes japonicus;Crustacean
Acipenser gueldenstaedtii;Fish
Acipenser nudiventris;Fish
Acipenser stellatus;Fish
Acipenser transmontanus;Fish
Aequipecten opercularis;Mollusc
Alaria esculenta;Algae
Aliger gigas;Mollusc
Anadara broughtonii;Mollusc
Anadara kagoshimensis;Mollusc
Anadara tuberculosa;Mollusc
Anarhichas lupus;Fish
Anarhichas minor;Fish
Anguilla anguilla;Fish
Anguilla australis;Fish
Anguilla bicolor;Fish
Anguilla japonica;Fish
Anguilla rostrata;Fish
Anoplopoma fimbria ;Fish
Apostichopus japonicus;Echinoderm
Argopecten irradians;Mollusc
Argopecten purpuratus;Mollusc
Argopecten ventricosus;Mollusc
Argyrosomus hololepidotus;Fish
Argyrosomus japonicus;Fish
Argyrosomus regius;Fish
Artemia salina;Crustacean
Asaphis violascens;Mollusc
Atherina boyeri;Fish
Aulacomya ater;Mollusc
Babylonia areolata;Mollusc
Bolbometopon muricatum;Fish
Boleophthalmus pectinirostris;Fish
Bolinus brandaris;Mollusc
Callinectes sapidus;Crustacean
Capsosiphon fulvescens;Algae
Carangoides malabaricus;Fish
Caranx hippos;Fish
Caranx ignobilis;Fish
Caranx sexfasciatus;Fish
Carcinus aestuarii;Crustacean
Carcinus maenas;Crustacean
Caulerpa racemosa;Algae
Centropomus undecimalis;Fish
Centropristis striata;Fish
Cerastoderma edule;Mollusc
Cerastoderma glaucum;Mollusc
Chaetodipterus faber;Fish
Chamelea gallina;Mollusc
Chanos chanos;Fish
Chelon aurata ;Fish
Chelon saliens;Fish
Chlamys farreri;Mollusc
Chondracanthus chamissoi;Algae
Choromytilus chorus;Mollusc
Cladosiphon okamuranus;Algae
Codium fragile;Algae
Concholepas concholepas;Mollusc
Coregonus lavaretus;Fish
Coryphaena hippurus ;Fish
Crassostrea corteziensis;Mollusc
Crassostrea rhizophorae;Mollusc
Crassostrea tulipa;Mollusc
Crassostrea virginica;Mollusc
Crenimugil seheli;Fish
Cromileptes altivelis;Fish
Cyclina sinensis;Mollusc
Decapterus macrosoma;Fish
Dentex dentex;Fish
Dentex gibbosus;Fish
Dentex tumifrons;Fish
Dicentrarchus labrax;Fish
Dicentrarchus punctatus;Fish
Diplodus puntazzo;Fish
Diplodus sargus;Fish
Diplodus sargus sargus;Fish
Diplodus vulgaris;Fish
Dormitator latifrons ;Fish
Eleutheronema tetradactylum;Fish
Ellochelon vaigiensis;Fish
Emmelichthys nitidus nitidus;Fish
Ensis directus;Mollusc
Ensis ensis;Mollusc
Epinephelus akaara;Fish
Epinephelus areolatus;Fish
Epinephelus awoara;Fish
Epinephelus bruneus;Fish
Epinephelus chlorostigma;Fish
Epinephelus coioides;Fish
Epinephelus corallicola;Fish
Epinephelus fuscoguttatus;Fish
Epinephelus lanceolatus;Fish
Epinephelus malabaricus;Fish
Epinephelus tauvina;Fish
Epinephelus tukula;Fish
Eucheuma denticulatum;Algae
Gacilariopsis longissima;Algae
Gadus morhua;Fish
Gelidium amansii;Algae
Gnathanodon speciosus;Fish
Gomphina veneriformis;Mollusc
Gracilaria gracilis;Algae
Haliotis discus ;Mollusc
Haliotis discus hannai;Mollusc
Haliotis diversicolor;Mollusc
Haliotis iris;Mollusc
Haliotis midae;Mollusc
Haliotis rufescens;Mollusc
Haliotis tuberculata;Mollusc
Helicolenus dactylopterus;Fish
Hexagrammos otakii;Fish
Hiatula diphos;Mollusc
Hippoglossus hippoglossus;Fish
Hippopus hippopus;Mollusc
Huso huso;Fish
Hyporthodus septumfasciatus;Fish
Kappaphycus alvarezii;Algae
Konosirus punctatus;Fish
Laminaria digitata;Algae
Larimichthys crocea;Fish
Larkinia grandis;Mollusc
Lateolabrax japonicus;Fish
Lates calcarifer;Fish
Lethrinus miniatus;Fish
Leukoma staminae;Mollusc
Liza ramada;Fish
Loxechinus albus;Echinoderm
Lutjanus argentimaculatus;Fish
Lutjanus bohar;Fish
Lutjanus erythropterus;Fish
Lutjanus goldiei;Fish
Lutjanus guttatus;Fish
Lutjanus johnii;Fish
Lutjanus malabaricus;Fish
Lutjanus purpureus;Fish
Lutjanus russelli;Fish
Lutjanus sebae;Fish
Macrocystis pyrifera;Algae
Mactra glabrata;Mollusc
Mactra quadrangularis;Mollusc
Magallana angulata;Mollusc
Magallana ariakensis;Mollusc
Magallana belcheri;Mollusc
Magallana bilineata;Mollusc
Magallana gigas;Mollusc
Magallana rivularis;Mollusc
Magallana sikamea;Mollusc
Maja squinado;Crustacean
Megalops atlanticus;Fish
Melanogrammus aeglefinus;Fish
Melicertus kerathurus;Crustacean
Mercenaria mercenaria;Mollusc
Meretrix lusoria;Mollusc
Meretrix meretrix;Mollusc
Meristotheca senegalense;Algae
Metapenaeus ensis;Crustacean
Metapenaeus macleayi;Crustacean
Metapenaeus monoceros;Crustacean
Metasepia tullbergi;Mollusc
Micropogonias furnieri;Fish
Miichthys miiuy;Fish
Mimachlamys crassicostata;Mollusc
Mimachlamys varia;Mollusc
Mizuhopecten yessoensis;Mollusc
Monostroma nitidum;Algae
Morone saxatilis;Fish
Mugil cephalus;Fish
Mugil curema;Fish
Mugil liza;Fish
Muraenesox cinereus;Fish
Mya arenaria;Mollusc
Mycteroperca bonaci;Fish
Mytilus chilensis;Mollusc
Mytilus coruscus;Mollusc
Mytilus edulis;Mollusc
Mytilus galloprovincialis;Mollusc
Mytilus planulatus;Mollusc
Mytilus platensis;Mollusc
Naso vlamingii;Fish
Nodipecten subnodosus;Mollusc
Oncorhynchus gorbuscha;Fish
Oncorhynchus keta;Fish
Oncorhynchus kisutch;Fish
Oncorhynchus masou masou;Fish
Oncorhynchus mykiss;Fish
Oncorhynchus nerka;Fish
Oncorhynchus tshawytscha;Fish
Oplegnathus fasciatus;Fish
Ostrea chilensis;Mollusc
Ostrea conchaphila;Mollusc
Ostrea edulis;Mollusc
Ostrea lurida;Mollusc
Pagellus bogaraveo;Fish
Pagellus erythrinus;Fish
Pagrus auratus;Fish
Pagrus auriga;Fish
Pagrus caeruleostictus;Fish
Pagrus major;Fish
Pagrus pagrus;Fish
Palaemon adspersus;Crustacean
Palaemon serratus;Crustacean
Palaemonetes varians;Crustacean
Palmaria palmata;Algae
Panopea generosa;Mollusc
Panulirus argus;Crustacean
Panulirus japonicus;Crustacean
Panulirus polyphagus;Crustacean
Paphia gallus;Mollusc
Paracentrotus lividus;Echinoderm
Paralichthys microps;Fish
Paralichthys olivaceus;Fish
Paratapes undulatus;Mollusc
Pecten fumatus;Mollusc
Pecten jacobaeus;Mollusc
Pecten maximus;Mollusc
Penaeus chinensis;Crustacean
Penaeus esculentus;Crustacean
Penaeus indicus;Crustacean
Penaeus japonicus;Crustacean
Penaeus kerathurus;Crustacean
Penaeus merguiensis;Crustacean
Penaeus monodon;Crustacean
Penaeus penicillatus;Crustacean
Penaeus plebejus;Crustacean
Penaeus schmitti;Crustacean
Penaeus semisulcatus;Crustacean
Penaeus setiferus;Crustacean
Penaeus stylirostris;Crustacean
Penaeus vannamei;Crustacean
Perna canaliculus;Mollusc
Perna perna;Mollusc
Perna viridis;Mollusc
Pinctada fucata;Mollusc
Pinctada margaritifera;Mollusc
Pinctada maxima;Mollusc
Placopecten magellanicus;Mollusc
Planiliza haematocheilus;Chordata
Planiliza macrolepis ;Fish
Platax orbicularis;Fish
Platichthys flesus;Fish
Plectropomus maculatus;Fish
Pleurogrammus azonus;Fish
Pleuronectes platessa ;Fish
Polititapes aureus;Mollusc
Polititapes rhomboides;Mollusc
Pollachius pollachius;Fish
Polydactylus sexfilis;Fish
Pomatomus saltatrix;Fish
Portunus pelagicus;Crustacean
Portunus trituberculatus;Crustacean
Psammoperca waigiensis;Fish
Pseudocaranx dentex;Fish
Pseudopleuronectes americanus;Fish
Pteria penguin;Mollusc
Pyropia columbina;Algae
Pyropia tenera;Algae
Pyura stolonifera;Chordata
Rachycentron canadum;Fish
Rhabdosargus sarba;Fish
Ruditapes decussatus;Mollusc
Ruditapes philippinarum;Mollusc
Saccharina japonica;Algae
Saccharina latissima;Algae
Saccostrea cuccullata;Mollusc
Saccostrea glomerata;Mollusc
Salmo salar;Fish
Salmo trutta;Fish
Salvelinus alpinus alpinus;Fish
Sargassum fusiforme;Algae
Saxidomus gigantea;Mollusc
Scapharca cornea;Mollusc
Schedophilus ovalis;Fish
Sciaena umbra;Fish
Sciaenops ocellatus;Fish
Scomber japonicus;Fish
Scophthalmus maximus;Fish
Scophthalmus rhombus;Fish
Scrobicularia plana;Mollusc
Scylla olivacea;Crustacean
Scylla paramamosain;Crustacean
Scylla serrata;Crustacean
Sebastes schlegelii;Fish
Sebastiscus marmoratus;Fish
Sepia officinalis;Mollusc
Seriola dumerili;Fish
Seriola lalandi;Fish
Seriola quinqueradiata;Fish
Seriola rivoliana;Fish
Siganus canaliculatus;Fish
Siganus fuscescens;Fish
Siganus guttatus ;Fish
Siganus javus;Fish
Siganus lineatus;Fish
Siganus rivulatus;Fish
Siganus sutor;Fish
Sinonovacula constricta;Mollusc
Solea senegalensis;Fish
Solea solea;Fish
Sparidentex hasta;Fish
Sparus aurata;Fish
Symphysanodon berryi;Fish
Synodus marchenae;Fish
Takifugu rubripes;Fish
Tegillarca granosa;Mollusc
Terapon jarbua;Fish
Thenus orientalis;Crustacean
Thunnus albacares;Fish
Thunnus maccoyii;Fish
Thunnus orientalis;Fish
Thunnus thynnus;Fish
Tilapia guineensis;Fish
Trachinotus blochii;Fish
Trachinotus carolinus;Fish
Trachinotus goodei ;Fish
Trachinotus ovatus;Fish
Trachurus japonicus;Fish
Tresus nuttallii;Mollusc
Tridacna crocea;Mollusc
Tridacna derasa;Mollusc
Tridacna gigas;Mollusc
Tridacna maxima;Mollusc
Tridacna squamosa;Mollusc
Turbo cornutus;Mollusc
Turbo setosus;Mollusc
Ulva prolifera;Algae
Umbrina cirrosa;Fish
Undaria pinnatifida;Algae
Venerupis corrugata;Mollusc
Venus verrucosa;Mollusc
