Species;Group
Acetes japonicus;Crustacean
Callinectes sapidus;Crustacean
Carcinus aestuarii;Crustacean
Carcinus maenas;Crustacean
Maja squinado;Crustacean
Melicertus kerathurus;Crustacean
Metapenaeus ensis;Crustacean
Metapenaeus monoceros;Crustacean
Palaemon serratus;Crustacean
Panulirus argus;Crustacean
Panulirus polyphagus;Crustacean
Penaeus monodon;Crustacean
Penaeus penicillatus;Crustacean
Penaeus semisulcatus;Crustacean
Portunus pelagicus;Crustacean
Portunus trituberculatus;Crustacean
Scylla serrata;Crustacean
Thenus orientalis;Crustacean
Apostichopus japonicus;Echinoderm
Loxechinus albus;Echinoderm
Paracentrotus lividus;Echinoderm
Acanthopagrus berda;Finfish
Acanthopagrus bifasciatus;Finfish
Acanthopagrus schlegelii;Finfish
Acipenser nudiventris;Finfish
Acipenser stellatus;Finfish
Anarhichas lupus;Finfish
Anarhichas minor;Finfish
Anguilla anguilla;Finfish
Anguilla australis;Finfish
Anguilla japonica;Finfish
Anguilla rostrata;Finfish
Argyrosomus hololepidotus;Finfish
Argyrosomus japonicus;Finfish
Argyrosomus regius;Finfish
Atherina boyeri;Finfish
Bolbometopon muricatum;Finfish
Carangoides malabaricus;Finfish
Caranx hippos;Finfish
Caranx ignobilis;Finfish
Caranx sexfasciatus;Finfish
Centropomus undecimalis;Finfish
Centropristis striata;Finfish
Chaetodipterus faber;Finfish
Chanos chanos;Finfish
Cromileptes altivelis;Finfish
Decapterus macrosoma;Finfish
Dentex dentex;Finfish
Dentex gibbosus;Finfish
Dentex tumifrons;Finfish
Dicentrarchus labrax;Finfish
Dicentrarchus punctatus;Finfish
Diplodus puntazzo;Finfish
Diplodus vulgaris;Finfish
Eleutheronema tetradactylum;Finfish
Epinephelus akaara;Finfish
Epinephelus areolatus;Finfish
Epinephelus bruneus;Finfish
Epinephelus chlorostigma;Finfish
Epinephelus coioides;Finfish
Epinephelus fuscoguttatus;Finfish
Epinephelus lanceolatus;Finfish
Epinephelus malabaricus;Finfish
Epinephelus tauvina;Finfish
Gadus morhua;Finfish
Helicolenus dactylopterus;Finfish
Hexagrammos otakii;Finfish
Hippoglossus hippoglossus;Finfish
Huso huso;Finfish
Konosirus punctatus;Finfish
Larimichthys crocea;Finfish
Lateolabrax japonicus;Finfish
Lates calcarifer;Finfish
Lethrinus miniatus;Finfish
Lutjanus argentimaculatus;Finfish
Lutjanus bohar;Finfish
Lutjanus erythropterus;Finfish
Lutjanus guttatus;Finfish
Lutjanus johnii;Finfish
Lutjanus malabaricus;Finfish
Lutjanus purpureus;Finfish
Megalops atlanticus;Finfish
Melanogrammus aeglefinus;Finfish
Micropogonias furnieri;Finfish
Miichthys miiuy;Finfish
