"","EEZ","seaBasn","country","Average","Max"
"3","American Samoa Exclusive Economic Zone","South Pacific Ocean","United States",6.97915092582079,8.2923610758136
"4","Amsterdam Island & St. Paul Island Exclusive Economic Zone","Indian Ocean","France",8.01803523958497,8.2923610758136
"12","Australian Exclusive Economic Zone","Arafura Sea","Australia",7.24068473357265,8.2923610758136
"16","Bangladeshi Exclusive Economic Zone","Bay of Bengal","Bangladesh",8.0313940419362,8.2923610758136
"18","Bassas da India Exclusive Economic Zone","Mozambique Channel","France",8.02509600309712,8.2923610758136
"28","Bruneian Exclusive Economic Zone","South China Sea","Brunei",6.9307263139559,8.2923610758136
"35","Chagos Archipelago Exclusive Economic Zone","Indian Ocean","Mauritius",7.19622383784974,8.2923610758136
"36","Chilean Exclusive Economic Zone","South Atlantic Ocean","Chile",6.29093917770391,8.2923610758136
"37","Chilean Exclusive Economic Zone (Easter Island)","South Pacific Ocean","Chile",7.92621140977556,8.2923610758136
"38","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)","South Pacific Ocean","Chile",4.71407102540186,8.2923610758136
"39","Chinese Exclusive Economic Zone","Eastern China Sea","China",7.60197153268143,8.2923610758136
"41","Clipperton Exclusive Economic Zone","North Pacific Ocean","France",8.2923610758136,8.2923610758136
"42","Cocos Islands Exclusive Economic Zone","Indian Ocean","Australia",4.98135956540507,8.2923610758136
"43","Colombian Exclusive Economic Zone","Caribbean Sea","Colombia",8.17610468974227,8.2923610758136
"48","Comoran Exclusive Economic Zone","Indian Ocean","Comores",7.00376243691653,8.2923610758136
"50","Cook Islands Exclusive Economic Zone","South Pacific Ocean","New Zealand",7.70221970895602,8.2923610758136
"51","Costa Rican Exclusive Economic Zone","Caribbean Sea","Costa Rica",8.11786825895754,8.2923610758136
"63","East Timorian Exclusive Economic Zone","Banda Sea","East Timor",7.50756240804263,8.2923610758136
"64","Ecuadorian Exclusive Economic Zone","North Pacific Ocean","Ecuador",7.64134902914585,8.2923610758136
"65","Ecuadorian Exclusive Economic Zone (Galapagos)","North Pacific Ocean","Ecuador",7.50743561642916,8.2923610758136
"67","El Salvador Exclusive Economic Zone","North Pacific Ocean","El Salvador",8.01302500580739,8.2923610758136
"69","Eritrean Exclusive Economic Zone","Red Sea","Eritrea",8.2923610758136,8.2923610758136
"72","Fijian Exclusive Economic Zone","South Pacific Ocean","Fiji",7.38616145792004,8.2923610758136
"76","French Polynesian Exclusive Economic Zone","South Pacific Ocean","France",7.68869588667036,8.2923610758136
"86","Guam Exclusive Economic Zone","North Pacific Ocean","United States",6.95557102428087,8.2923610758136
"87","Guatemalan Exclusive Economic Zone","Caribbean Sea","Guatemala",7.91642306050585,8.2923610758136
"94","Honduran Exclusive Economic Zone","Caribbean Sea","Honduras",8.2923610758136,8.2923610758136
"97","Ile Europa Exclusive Economic Zone","Mozambique Channel","France",8.02509600309712,8.2923610758136
"98","Indian Exclusive Economic Zone","Arabian Sea","India",7.4198280450197,8.2923610758136
"99","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","Andaman Sea","India",6.93761822526319,8.2923610758136
"100","Indonesian Exclusive Economic Zone","Andaman Sea","Indonesia",7.77379954532147,8.2923610758136
"101","Iranian Exclusive Economic Zone","Arabian Sea","Iran",8.27165484476054,8.2923610758136
"109","Japanese Exclusive Economic Zone","Eastern China Sea","Japan",6.87374575379456,8.2923610758136
"110","Jarvis Island Exclusive Economic Zone","North Pacific Ocean","United States",8.28315830645668,8.2923610758136
"112","Johnston Atoll Exclusive Economic Zone","North Pacific Ocean","United States",5.15032010044496,7.13428883814212
"114","Joint regime area Australia / Papua New Guinea","Coral Sea","Papua New Guinea",7.33170194567999,8.2923610758136
"125","Joint regime area Japan / Korea","Eastern China Sea","South Korea",5.33314695097474,8.2923610758136
"134","Juan de Nova Exclusive Economic Zone","Mozambique Channel","France",8.27855692177823,8.2923610758136
"135","Kenyan Exclusive Economic Zone","Indian Ocean","Kenya",6.98468888061226,8.2923610758136
"137","Kiribati Exclusive Economic Zone (Gilbert Islands)","North Pacific Ocean","Kiribati",7.7542990361011,8.2923610758136
"138","Kiribati Exclusive Economic Zone (Line Islands)","North Pacific Ocean","Kiribati",8.28447298779338,8.2923610758136
"139","Kiribati Exclusive Economic Zone (Phoenix Islands)","North Pacific Ocean","Kiribati",8.2923610758136,8.2923610758136
"146","Madagascan Exclusive Economic Zone","Indian Ocean","Madagascar",7.49908443736225,8.2923610758136
"147","Malaysian Exclusive Economic Zone","Celebes Sea","Malaysia",6.7763749281768,8.2923610758136
"148","Maldives Exclusive Economic Zone","Arabian Sea","Maldives",7.73676684668985,8.2923610758136
"150","Marshall Islands Exclusive Economic Zone","North Pacific Ocean","Marshall Islands",7.79661144003119,8.2923610758136
"153","Mauritian Exclusive Economic Zone","Indian Ocean","Republic of Mauritius",7.34755903139016,8.2923610758136
"154","Mexican Exclusive Economic Zone","Caribbean Sea","Mexico",7.67685182137387,8.2923610758136
"155","Micronesian Exclusive Economic Zone","North Pacific Ocean","Micronesia",7.79301438082541,8.2923610758136
"160","Mozambican Exclusive Economic Zone","Indian Ocean","Mozambique",7.82831359364448,8.2923610758136
"161","Myanmar Exclusive Economic Zone","Andaman Sea","Myanmar",7.31091840827398,8.2923610758136
"164","New Caledonian Exclusive Economic Zone","Coral Sea","France",7.45616573704688,8.2923610758136
"165","New Zealand Exclusive Economic Zone","South Pacific Ocean","New Zealand",6.99228327669292,8.2923610758136
"166","Nicaraguan Exclusive Economic Zone","Caribbean Sea","Nicaragua",8.12956859157385,8.2923610758136
"168","Niue Exclusive Economic Zone","South Pacific Ocean","New Zealand",5.96303385519166,8.2923610758136
"169","Norfolk Island Exclusive Economic Zone","South Pacific Ocean","Australia",7.08081668784272,8.2923610758136
"170","North Korean Exclusive Economic Zone","Japan Sea","North Korea",5.45893237650556,8.2923610758136
"171","Northern Mariana Exclusive Economic Zone","North Pacific Ocean","United States",7.44262040363566,8.2923610758136
"173","Oecussi Ambeno Exclusive Economic Zone","Savu Sea","East Timor",8.27165484476054,8.2923610758136
"174","Omani Exclusive Economic Zone","Arabian Sea","Oman",8.05203045515175,8.2923610758136
"181","Overlapping claim Glorioso Islands: France / Madagascar","Indian Ocean","Madagascar",7.71004432294191,8.2923610758136
"185","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu","South Pacific Ocean","France",8.2923610758136,8.2923610758136
"186","Overlapping claim Mayotte: France / Comoros","Indian Ocean","France",6.83892141493265,8.2923610758136
"192","Overlapping claim Senkaku Islands: Japan / China / Taiwan","Eastern China Sea","Taiwan",7.36732602299331,8.2923610758136
"193","Overlapping claim South China Sea","South China Sea","China",6.44937704952243,8.2923610758136
"199","Overlapping claim: Kenya / Somalia","Indian Ocean","Kenya",6.7805451871609,8.2923610758136
"205","Pakistani Exclusive Economic Zone","Arabian Sea","Pakistan",5.61179471684258,8.2923610758136
"206","Palau Exclusive Economic Zone","North Pacific Ocean","Palau",8.17551384395672,8.2923610758136
"208","Palmyra Atoll Exclusive Economic Zone","North Pacific Ocean","United States",8.28009071667105,8.2923610758136
"209","Panamanian Exclusive Economic Zone","Caribbean Sea","Panama",8.17179961411488,8.2923610758136
"210","Papua New Guinean Exclusive Economic Zone","Arafura Sea","Papua New Guinea",7.71926561195048,8.2923610758136
