"","EEZ","seaBasn","country","Average","Max"
"19","Belgian Exclusive Economic Zone","North Sea","Belgium",6.88207029704561,8.2923610758136
"29","Bulgarian Exclusive Economic Zone","Black Sea","Bulgaria",7.16294668205918,8.2923610758136
"32","Canadian Exclusive Economic Zone","Arctic Ocean","Canada",4.95857344541479,8.2923610758136
"57","Danish Exclusive Economic Zone","Baltic Sea","Denmark",3.85969388591278,8.2923610758136
"62","Dutch Exclusive Economic Zone","North Sea","Netherlands",4.25527094152761,8.2923610758136
"70","Estonian Exclusive Economic Zone","Baltic Sea","Estonia",6.51546889294567,8.2923610758136
"71","Faeroe Exclusive Economic Zone","North Atlantic Ocean","Denmark",4.80066828409965,8.2923610758136
"73","Finnish Exclusive Economic Zone","Baltic Sea","Finland",5.8786800322238,8.2923610758136
"74","French Exclusive Economic Zone","Bay of Biscay","France",6.11898224802011,8.2923610758136
"79","Georgian Exclusive Economic Zone","Black Sea","Georgia",7.54019170190269,8.2923610758136
"80","German Exclusive Economic Zone","Baltic Sea","Germany",4.23668503752101,8.2923610758136
"83","Greenlandic Exclusive Economic Zone","Arctic Ocean","Denmark",4.40451499884925,8.2923610758136
"88","Guernsey Exclusive Economic Zone","English Channel","United Kingdom",6.41508253248173,8.2923610758136
"96","Icelandic Exclusive Economic Zone","Greenland Sea","Iceland",4.84675863127757,8.2923610758136
"103","Irish Exclusive Economic Zone","Celtic Sea","Ireland",6.3739389779154,8.2923610758136
"108","Jan Mayen Exclusive Economic Zone","Greenland Sea","Norway",5.54074222408279,7.40104773839877
"111","Jersey Exclusive Economic Zone","English Channel","United Kingdom",6.53036037606283,8.2923610758136
"130","Joint regime area Sweden / Norway","Skagerrak","Norway",7.98687244008627,8.20953615160139
"131","Joint regime area United Kingdom / Denmark (Faeroe Islands)","North Atlantic Ocean","United Kingdom",4.48679702255222,5.42203970824828
"141","Latvian Exclusive Economic Zone","Baltic Sea","Latvia",5.76940650294041,8.2923610758136
"145","Lithuanian Exclusive Economic Zone","Baltic Sea","Lithuania",5.41421787826464,8.2923610758136
"172","Norwegian Exclusive Economic Zone","Barentsz Sea","Norway",4.78346301494311,8.2923610758136
"195","Overlapping claim Ukrainian Exclusive Economic Zone","Black Sea","Ukraine",6.51597012272675,8.2923610758136
"214","Polish Exclusive Economic Zone","Baltic Sea","Poland",3.34201290163695,8.2923610758136
"215","Portuguese Exclusive Economic Zone","North Atlantic Ocean","Portugal",7.34626254381355,8.2923610758136
"216","Portuguese Exclusive Economic Zone (Azores)","North Atlantic Ocean","Portugal",7.95780025698296,8.2923610758136
"221","Romanian Exclusive economic Zone","Black Sea","Romania",7.26314700568182,8.2923610758136
"222","Russian Exclusive economic Zone","Arctic Ocean","Russia",5.41927271810656,8.2923610758136
"229","Saint-Pierre and Miquelon Exclusive Economic Zone","Gulf of St. Lawrence","France",5.64968811447687,8.2923610758136
"245","Spanish Exclusive Economic Zone","Alboran Sea","Spain",6.04703486075729,8.2923610758136
"252","Swedish Exclusive Economic Zone","Baltic Sea","Sweden",5.25421888097804,8.2923610758136
"263","Turkish Exclusive Economic Zone","Aegean Sea","Turkey",7.00819576940984,8.2923610758136
"267","United Kingdom Exclusive Economic Zone","Bristol Channel","United Kingdom",5.45762210579568,8.2923610758136
"268","United States Exclusive Economic Zone","Bay of Fundy","United States",5.85048381703501,8.2923610758136
