"","EEZ","seaBasn","country","Average","Max"
"32","Canadian Exclusive Economic Zone","Arctic Ocean","Canada",0.513311823497511,1.75404696333321
"39","Chinese Exclusive Economic Zone","Eastern China Sea","China",1.18170476803715,1.51190196838389
"82","Greek Exclusive Economic Zone","Adriatic Sea","Greece",1.49100737098399,1.49100737098399
"105","Italian Exclusive Economic Zone","Adriatic Sea","Italy",3.66361367313489,3.97663497283841
"109","Japanese Exclusive Economic Zone","Eastern China Sea","Japan",1.09760848062014,2.74093891911424
"132","Joint regime area United States / Russia","Arctic Ocean","United States",0.464057393584811,2.4721920939176
"154","Mexican Exclusive Economic Zone","Caribbean Sea","Mexico",0.117576654361149,0.24258106578228
"183","Overlapping claim Kuril Islands: Japan / Russia","North Pacific Ocean","Japan",1.04419089607293,2.58226952353761
"222","Russian Exclusive economic Zone","Arctic Ocean","Russia",0.603485281716372,2.61154157101568
"254","Taiwanese Exclusive Economic Zone","Eastern China Sea","Taiwan",1.18170476803715,1.51190196838389
"268","United States Exclusive Economic Zone","Bay of Fundy","United States",0.414661452493383,1.43088672075328
"269","United States Exclusive Economic Zone (Alaska)","Arctic Ocean","United States",0.520242718578613,2.4721920939176
"270","United States Exclusive Economic Zone (Hawaii)","North Pacific Ocean","United States",1.18170476803715,1.51190196838389
