"","EEZ","seaBasn","country","Average","Max"
"32","Canadian Exclusive Economic Zone","Arctic Ocean","Canada",4.91292167517768,8.2923610758136
"39","Chinese Exclusive Economic Zone","Eastern China Sea","China",8.2923610758136,8.2923610758136
"82","Greek Exclusive Economic Zone","Adriatic Sea","Greece",8.2923610758136,8.2923610758136
"105","Italian Exclusive Economic Zone","Adriatic Sea","Italy",8.25094861370749,8.2923610758136
"109","Japanese Exclusive Economic Zone","Eastern China Sea","Japan",6.74832589916275,8.2923610758136
"132","Joint regime area United States / Russia","Arctic Ocean","United States",5.04205680011326,8.2923610758136
"154","Mexican Exclusive Economic Zone","Caribbean Sea","Mexico",6.5889348958004,8.2923610758136
"183","Overlapping claim Kuril Islands: Japan / Russia","North Pacific Ocean","Japan",5.81129486622247,8.2923610758136
"222","Russian Exclusive economic Zone","Arctic Ocean","Russia",5.45677496304896,8.2923610758136
"254","Taiwanese Exclusive Economic Zone","Eastern China Sea","Taiwan",8.2923610758136,8.2923610758136
"268","United States Exclusive Economic Zone","Bay of Fundy","United States",6.26922764827782,8.2923610758136
"269","United States Exclusive Economic Zone (Alaska)","Arctic Ocean","United States",5.21130125949313,8.2923610758136
"270","United States Exclusive Economic Zone (Hawaii)","North Pacific Ocean","United States",8.2923610758136,8.2923610758136
