"Species","EEZ","p2","p4","Average","Max"
"Acetes japonicus","Australian Exclusive Economic Zone",0,0,0.0010164058670078,0.0190292801593212
"Acetes japonicus","Bangladeshi Exclusive Economic Zone",0.0512820512820513,0,0.236681863728443,2.46398027515302
"Acetes japonicus","Bruneian Exclusive Economic Zone",0,0,0.000546433835308097,0.0099034525426184
"Acetes japonicus","Cambodian Exclusive Economic Zone",0,0,0.00295516293661406,0.0290298732457869
"Acetes japonicus","Chinese Exclusive Economic Zone",0.00792393026941363,0,0.0935184668537979,3.55143388332332
"Acetes japonicus","East Timorian Exclusive Economic Zone",0,0,0.0034599240510422,0.0190292801593212
"Acetes japonicus","Indian Exclusive Economic Zone",0,0,0.0142673059112506,0.421253321582215
"Acetes japonicus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.00403684245298611,0.125632089072354
"Acetes japonicus","Indonesian Exclusive Economic Zone",0,0,0.00410216231370452,0.562082521138616
"Acetes japonicus","Iranian Exclusive Economic Zone",0,0,0.165834722420427,1.30513043338048
"Acetes japonicus","Japanese Exclusive Economic Zone",0,0,0.0564158986774852,1.28145117049732
"Acetes japonicus","Joint regime area Australia / Papua New Guinea",0,0,0.000204891107422512,0.000396128912855024
"Acetes japonicus","Joint regime area Japan / Korea",0,0,0.0157684180041125,0.0770921999392175
"Acetes japonicus","Kuwaiti Exclusive Economic Zone",0,0,0.420790051501988,1.06018824171747
"Acetes japonicus","Malaysian Exclusive Economic Zone",0,0,0.0037355516690568,0.368228204426094
"Acetes japonicus","Maldives Exclusive Economic Zone",0,0,0.000630668096390985,0.00329936646215511
"Acetes japonicus","Myanmar Exclusive Economic Zone",0,0,0.0165712189496897,0.590659426222855
"Acetes japonicus","North Korean Exclusive Economic Zone",0,0,0.117422154243547,0.674900849911834
"Acetes japonicus","Oecussi Ambeno Exclusive Economic Zone",0,0,3.55336582243159e-05,4.45979815282896e-05
"Acetes japonicus","Omani Exclusive Economic Zone",0,0,0.10646141869765,1.30513043338048
"Acetes japonicus","Overlapping claim Liancourt Rocks: Japan / South Korea",0,0,0.0208492674906397,0.0289400122113537
"Acetes japonicus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.00787510515278532,0.0460251141763116
"Acetes japonicus","Overlapping claim South China Sea",0,0,0.00037090095226083,0.00359929481419189
"Acetes japonicus","Overlapping claim: Iran / United Arab Emirates",0,0,0.553885306736105,1.30513043338048
"Acetes japonicus","Pakistani Exclusive Economic Zone",0,0,0.00074609758658373,0.0112452065550831
"Acetes japonicus","Palau Exclusive Economic Zone",0,0,0.000360083450201625,0.000378016326395337
"Acetes japonicus","Papua New Guinean Exclusive Economic Zone",0,0,0.000219687505747661,0.0030763853839877
"Acetes japonicus","Philippines Exclusive Economic Zone",0,0,0.00804428048222854,1.41728244471689
"Acetes japonicus","Seychellois Exclusive Economic Zone",0,0,1.23106674884524e-05,5.66499079117407e-05
"Acetes japonicus","Somali Exclusive Economic Zone",0,0,0.0061535293633736,0.244376053897352
"Acetes japonicus","South Korean Exclusive Economic Zone",0,0,0.0574798005347976,1.28145117049732
"Acetes japonicus","Sri Lankan Exclusive Economic Zone",0,0,0.0370829536651088,0.421253321582215
"Acetes japonicus","Taiwanese Exclusive Economic Zone",0,0,0.0280061934866012,1.09804182629605
"Acetes japonicus","Thailand Exclusive Economic Zone",0,0,0.00481999533138454,0.10965721579522
"Acetes japonicus","United Arab Emirates Exclusive Economic Zone",0,0,0.304460906483907,1.30513043338048
"Acetes japonicus","Vietnamese Exclusive Economic Zone",0,0,0.0159279675257731,0.742316239255673
"Acetes japonicus","Yemeni Exclusive Economic Zone",0,0,0.00665178624359413,0.244376053897352
