"x","y","sigmaNovelty","cell","EEZ"
127.875,39.875,0.540069497709443,3222,"North Korean Exclusive Economic Zone"
127.625,39.625,0.245431111945886,3222,"North Korean Exclusive Economic Zone"
127.875,39.625,0.183587184330124,3222,"North Korean Exclusive Economic Zone"
141.875,38.875,0.0351202727696404,3359,"Japanese Exclusive Economic Zone"
141.625,38.625,0.044777365453323,3359,"Japanese Exclusive Economic Zone"
141.875,38.625,0.0616759533052527,3359,"Japanese Exclusive Economic Zone"
142.125,38.625,0.0959390875414335,3359,"Japanese Exclusive Economic Zone"
141.125,38.375,0.233042765718312,3359,"Japanese Exclusive Economic Zone"
141.375,38.375,0.0973474297606295,3359,"Japanese Exclusive Economic Zone"
141.625,38.375,0.14044209292412,3359,"Japanese Exclusive Economic Zone"
141.875,38.375,0.0410675786337459,3359,"Japanese Exclusive Economic Zone"
142.125,38.375,0.0506126543197638,3359,"Japanese Exclusive Economic Zone"
136.875,38.125,0.012644409720159,3304,"Japanese Exclusive Economic Zone"
137.125,38.125,0.0126469993634096,3304,"Japanese Exclusive Economic Zone"
141.125,38.125,0.130090675279469,3359,"Japanese Exclusive Economic Zone"
141.375,38.125,0.0424895156704814,3359,"Japanese Exclusive Economic Zone"
141.625,38.125,0.0988171868245481,3359,"Japanese Exclusive Economic Zone"
141.875,38.125,0.076204290802498,3359,"Japanese Exclusive Economic Zone"
130.625,37.875,0.0141371634280412,3249,"South Korean Exclusive Economic Zone"
130.875,37.875,0.00772032123992141,3249,"South Korean Exclusive Economic Zone"
136.625,37.875,0.0418753298041474,3304,"Japanese Exclusive Economic Zone"
136.875,37.875,0.0308090420138631,3304,"Japanese Exclusive Economic Zone"
137.125,37.875,0.025511591832693,3304,"Japanese Exclusive Economic Zone"
137.375,37.875,0.0329728200030009,3331,"Japanese Exclusive Economic Zone"
141.125,37.875,0.0664734614716342,3359,"Japanese Exclusive Economic Zone"
141.375,37.875,0.0691422140798155,3359,"Japanese Exclusive Economic Zone"
141.625,37.875,0.0834467477397698,3359,"Japanese Exclusive Economic Zone"
130.375,37.625,0.0049003004863256,3249,"South Korean Exclusive Economic Zone"
130.625,37.625,0.00578404102272589,3249,"South Korean Exclusive Economic Zone"
130.875,37.625,0.000246583229975031,3249,"South Korean Exclusive Economic Zone"
131.125,37.625,0.0043185401262971,3249,"South Korean Exclusive Economic Zone"
136.375,37.625,0.0142965775500994,3304,"Japanese Exclusive Economic Zone"
136.625,37.625,0.0101388985615203,3304,"Japanese Exclusive Economic Zone"
136.875,37.625,0.0134868199694286,3304,"Japanese Exclusive Economic Zone"
137.125,37.625,0.018431882901925,3331,"Japanese Exclusive Economic Zone"
137.375,37.625,0.0146215220212118,3331,"Japanese Exclusive Economic Zone"
137.625,37.625,0.0125695382897653,3331,"Japanese Exclusive Economic Zone"
141.125,37.625,0.0625220039301322,3359,"Japanese Exclusive Economic Zone"
141.375,37.625,0.0915474506574002,3359,"Japanese Exclusive Economic Zone"
141.625,37.625,0.0729159509476657,3359,"Japanese Exclusive Economic Zone"
130.375,37.375,0.0210069975325958,3249,"South Korean Exclusive Economic Zone"
130.625,37.375,0.000415595166952861,3249,"South Korean Exclusive Economic Zone"
130.875,37.375,0.0138307114812728,3249,"South Korean Exclusive Economic Zone"
131.125,37.375,0.0305333354971329,3249,"South Korean Exclusive Economic Zone"
131.625,37.375,0.0177521539938857,3249,"South Korean Exclusive Economic Zone"
131.875,37.375,0.0289400122113537,3276,"Overlapping claim Liancourt Rocks: Japan / South Korea"
136.375,37.375,0.0085733119188137,3304,"Japanese Exclusive Economic Zone"
136.625,37.375,0.0134218515301283,3304,"Japanese Exclusive Economic Zone"
137.375,37.375,0.151441245411037,3331,"Japanese Exclusive Economic Zone"
137.625,37.375,0.101327000303524,3331,"Japanese Exclusive Economic Zone"
137.875,37.375,0.2507210251984,3331,"Japanese Exclusive Economic Zone"
141.125,37.375,0.0289767708864383,3359,"Japanese Exclusive Economic Zone"
141.375,37.375,0.0511430277633727,3359,"Japanese Exclusive Economic Zone"
141.625,37.375,0.00908443148873803,3359,"Japanese Exclusive Economic Zone"
129.375,37.125,0.674900849911834,3221,NA
129.625,37.125,0.611327832712975,3221,"South Korean Exclusive Economic Zone"
130.625,37.125,0.020504276981048,3248,"South Korean Exclusive Economic Zone"
130.875,37.125,0.00375382634936942,3248,"South Korean Exclusive Economic Zone"
131.625,37.125,0.0197757546837268,3248,"South Korean Exclusive Economic Zone"
131.875,37.125,0.0169291490735928,3276,"Overlapping claim Liancourt Rocks: Japan / South Korea"
136.375,37.125,0.00244436283992437,3303,"Japanese Exclusive Economic Zone"
136.625,37.125,0.0165933569635988,3303,"Japanese Exclusive Economic Zone"
137.125,37.125,0.204235146376591,3331,"Japanese Exclusive Economic Zone"
137.375,37.125,0.262111718338789,3331,"Japanese Exclusive Economic Zone"
137.625,37.125,0.389065052529177,3331,"Japanese Exclusive Economic Zone"
137.875,37.125,0.463145100403472,3331,"Japanese Exclusive Economic Zone"
141.125,37.125,0.0192217561135362,3359,"Japanese Exclusive Economic Zone"
141.375,37.125,0.0188693718061482,3359,"Japanese Exclusive Economic Zone"
141.625,37.125,0.0117097978518099,3359,"Japanese Exclusive Economic Zone"
129.625,36.875,0.653156465466562,3221,"South Korean Exclusive Economic Zone"
129.875,36.875,0.0143993867862527,3248,"South Korean Exclusive Economic Zone"
136.125,36.875,0.000249793948098477,3303,"Japanese Exclusive Economic Zone"
136.375,36.875,0.0169430675164072,3303,"Japanese Exclusive Economic Zone"
