"x","y","sigmaNovelty","cell","EEZ"
11.625,79.125,0.00165953575214117,20,"Svalbard Exclusive Economic Zone"
11.875,79.125,0.0130739708145997,20,"Svalbard Exclusive Economic Zone"
17.625,77.375,0.0423125348660671,3160,"Svalbard Exclusive Economic Zone"
17.875,77.375,0.0294754674185496,3160,"Svalbard Exclusive Economic Zone"
14.375,77.125,0.00962241445847557,21,"Svalbard Exclusive Economic Zone"
14.625,77.125,0.00612231490287422,21,"Svalbard Exclusive Economic Zone"
14.875,77.125,0.00566404825569042,21,"Svalbard Exclusive Economic Zone"
17.625,77.125,0.0198210183183742,3160,"Svalbard Exclusive Economic Zone"
17.875,77.125,0.0124254582575214,3160,"Svalbard Exclusive Economic Zone"
28.875,77.125,0.0131087972181734,3132,"Svalbard Exclusive Economic Zone"
29.125,77.125,0.0358643151660803,3132,"Svalbard Exclusive Economic Zone"
29.375,77.125,0.0287792281101024,3132,"Svalbard Exclusive Economic Zone"
29.625,77.125,0.0281579831715306,3132,"Svalbard Exclusive Economic Zone"
29.875,77.125,0.0223123214956152,3132,"Svalbard Exclusive Economic Zone"
30.125,77.125,0.0491198930438119,3132,"Svalbard Exclusive Economic Zone"
30.375,77.125,0.0213454997819654,3132,"Svalbard Exclusive Economic Zone"
30.625,77.125,0.0309980733996084,3132,"Svalbard Exclusive Economic Zone"
14.125,76.875,0.00249297562155952,21,"Svalbard Exclusive Economic Zone"
14.375,76.875,0.00328003089050351,21,"Svalbard Exclusive Economic Zone"
14.625,76.875,0.00174685803746764,21,"Svalbard Exclusive Economic Zone"
14.875,76.875,0.00630348937576946,21,"Svalbard Exclusive Economic Zone"
15.125,76.875,0.006329416271869,21,"Svalbard Exclusive Economic Zone"
15.375,76.875,0.0090592028268033,21,"Svalbard Exclusive Economic Zone"
28.625,76.875,0.0165053956936984,3132,"Svalbard Exclusive Economic Zone"
28.875,76.875,0.0112678908449903,3132,"Svalbard Exclusive Economic Zone"
29.125,76.875,0.028123674314892,3132,"Svalbard Exclusive Economic Zone"
29.375,76.875,0.017381277966344,3132,"Svalbard Exclusive Economic Zone"
29.625,76.875,0.0107636328341959,3132,"Svalbard Exclusive Economic Zone"
29.875,76.875,0.00777678910704349,3132,"Svalbard Exclusive Economic Zone"
30.125,76.875,0.00448456280880415,3132,"Svalbard Exclusive Economic Zone"
30.375,76.875,0.00447292442845812,3132,"Svalbard Exclusive Economic Zone"
30.625,76.875,0.00783190207576145,3132,"Svalbard Exclusive Economic Zone"
30.875,76.875,0.00450965290188904,3132,"Svalbard Exclusive Economic Zone"
31.625,76.875,0.00621363698409468,3132,"Svalbard Exclusive Economic Zone"
31.875,76.875,0.00878267549925283,3132,"Svalbard Exclusive Economic Zone"
33.125,76.875,0.0341127249382004,3132,"Svalbard Exclusive Economic Zone"
33.375,76.875,0.029049348161,3132,"Svalbard Exclusive Economic Zone"
14.125,76.625,0.000315507887984137,21,"Svalbard Exclusive Economic Zone"
14.375,76.625,0.00101626728729184,21,"Svalbard Exclusive Economic Zone"
14.625,76.625,0.000251307693451338,21,"Svalbard Exclusive Economic Zone"
14.875,76.625,2.98323091992719e-05,21,"Svalbard Exclusive Economic Zone"
15.125,76.625,0.000573405480515772,21,"Svalbard Exclusive Economic Zone"
15.375,76.625,0.00166814428214575,21,"Svalbard Exclusive Economic Zone"
15.625,76.625,0.00520046792421844,21,"Svalbard Exclusive Economic Zone"
15.875,76.625,0.00102372214374486,21,"Svalbard Exclusive Economic Zone"
16.125,76.625,0.000264470775189698,21,"Svalbard Exclusive Economic Zone"
17.125,76.625,6.33718022244623e-05,21,"Svalbard Exclusive Economic Zone"
17.875,76.625,0.006884891200184,21,"Svalbard Exclusive Economic Zone"
18.125,76.625,0.00253812907115684,3133,"Svalbard Exclusive Economic Zone"
18.375,76.625,0.00331619683409147,3133,"Svalbard Exclusive Economic Zone"
18.625,76.625,0.000922475292914598,3133,"Svalbard Exclusive Economic Zone"
28.375,76.625,0.00706981334850043,3132,"Svalbard Exclusive Economic Zone"
28.625,76.625,0.000570610607879269,3132,"Svalbard Exclusive Economic Zone"
28.875,76.625,0.00215565407703335,3132,"Svalbard Exclusive Economic Zone"
29.125,76.625,0.00350871342296055,3132,"Svalbard Exclusive Economic Zone"
29.375,76.625,0.0274033348172011,3132,"Svalbard Exclusive Economic Zone"
29.625,76.625,0.0101318397318539,3132,"Svalbard Exclusive Economic Zone"
29.875,76.625,0.00412694016110792,3132,"Svalbard Exclusive Economic Zone"
30.125,76.625,0.00480669000626788,3132,"Svalbard Exclusive Economic Zone"
30.375,76.625,0.00497466516774079,3132,"Svalbard Exclusive Economic Zone"
30.625,76.625,0.0216735750314742,3132,"Svalbard Exclusive Economic Zone"
30.875,76.625,0.00538233172166028,3132,"Svalbard Exclusive Economic Zone"
31.125,76.625,0.0156770861140661,3132,"Svalbard Exclusive Economic Zone"
31.375,76.625,0.00542983162812606,3132,"Svalbard Exclusive Economic Zone"
31.625,76.625,0.0118485647723166,3132,"Svalbard Exclusive Economic Zone"
31.875,76.625,0.0117760690549043,3132,"Svalbard Exclusive Economic Zone"
32.125,76.625,0.00194124058414955,3132,"Svalbard Exclusive Economic Zone"
32.375,76.625,0.00139132260559092,3132,"Svalbard Exclusive Economic Zone"
32.625,76.625,0.000595768385507375,3132,"Svalbard Exclusive Economic Zone"
32.875,76.625,0.000253063991631394,3132,"Svalbard Exclusive Economic Zone"
33.125,76.625,0.00192074238948712,3132,"Svalbard Exclusive Economic Zone"
33.375,76.625,0.00287704579681587,3132,"Svalbard Exclusive Economic Zone"
14.375,76.375,0.0200774934236946,21,"Svalbard Exclusive Economic Zone"
14.625,76.375,0.0148592030600784,21,"Svalbard Exclusive Economic Zone"
14.875,76.375,0.00328275874274768,21,"Svalbard Exclusive Economic Zone"
15.125,76.375,0.00207759956072824,21,"Svalbard Exclusive Economic Zone"
15.375,76.375,0.00619647191811675,21,"Svalbard Exclusive Economic Zone"
15.625,76.375,0.00595976923857234,21,"Svalbard Exclusive Economic Zone"
15.875,76.375,0.000454510164424279,21,"Svalbard Exclusive Economic Zone"
16.125,76.375,0.00462722544887097,21,"Svalbard Exclusive Economic Zone"
16.375,76.375,0.0181466330315992,21,"Svalbard Exclusive Economic Zone"
16.625,76.375,0.0150858551184216,21,"Svalbard Exclusive Economic Zone"
16.875,76.375,0.00556540612564991,21,"Svalbard Exclusive Economic Zone"
17.125,76.375,0.00793875217844998,3133,"Svalbard Exclusive Economic Zone"
17.625,76.375,0.0616111059172945,3133,"Svalbard Exclusive Economic Zone"
17.875,76.375,0.0391384387264482,3133,"Svalbard Exclusive Economic Zone"
18.125,76.375,0.0342788352205958,3133,"Svalbard Exclusive Economic Zone"
18.375,76.375,0.0226589654264807,3133,"Svalbard Exclusive Economic Zone"
18.625,76.375,0.0344634989126427,3133,"Svalbard Exclusive Economic Zone"
18.875,76.375,0.010847589316543,3133,"Svalbard Exclusive Economic Zone"
28.125,76.375,0.00139308385365086,3132,"Svalbard Exclusive Economic Zone"
28.375,76.375,0.000697041310860637,3132,"Svalbard Exclusive Economic Zone"
28.625,76.375,0.00876978832127814,3132,"Svalbard Exclusive Economic Zone"
