"Species","EEZ","p2","p4","Average","Max"
"Anguilla japonica","Chinese Exclusive Economic Zone",0,0,0.0373706947806682,1.66757253685467
"Anguilla japonica","Japanese Exclusive Economic Zone",0.00154559505409583,0,0.0571895279238215,3.72102740094411
"Anguilla japonica","Joint regime area Japan / Korea",0,0,0.00473375818825812,0.0518987958751453
"Anguilla japonica","Micronesian Exclusive Economic Zone",0,0,0.0281752370241969,0.0624298778200908
"Anguilla japonica","North Korean Exclusive Economic Zone",0.00689655172413793,0,0.225724293416445,3.72102740094411
"Anguilla japonica","Overlapping claim Liancourt Rocks: Japan / South Korea",0,0,0.00878640985196042,0.0177531113097571
"Anguilla japonica","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.00602140783427282,0.0434788798151919
"Anguilla japonica","Overlapping claim South China Sea",0,0,0.00465386337148874,0.0272453812092585
"Anguilla japonica","Philippines Exclusive Economic Zone",0,0,0.0224853455430952,1.41728776920319
"Anguilla japonica","Russian Exclusive economic Zone",0.0131004366812227,0,0.133912595557353,2.70281076274091
"Anguilla japonica","South Korean Exclusive Economic Zone",0.00113250283125708,0,0.0874229362345754,3.72102740094411
"Anguilla japonica","Taiwanese Exclusive Economic Zone",0,0,0.0207390988096005,1.09803069049523
"Anguilla japonica","Vietnamese Exclusive Economic Zone",0,0,0.0307791201035636,0.659505712109718
