"x","y","sigmaNovelty","cell","EEZ"
139.875,45.125,0.0294704478752579,3334,"Japanese Exclusive Economic Zone"
140.125,45.125,0.00776198496641021,3334,"Japanese Exclusive Economic Zone"
140.375,45.125,0.0423694151262434,3334,"Japanese Exclusive Economic Zone"
140.625,45.125,0.0171553155775258,3362,"Japanese Exclusive Economic Zone"
140.875,45.125,0.0205201522420496,3362,"Japanese Exclusive Economic Zone"
141.125,45.125,0.624945615367378,3362,"Japanese Exclusive Economic Zone"
139.625,44.875,0.0315789644053521,3334,"Japanese Exclusive Economic Zone"
139.875,44.875,0.011850474221024,3334,"Japanese Exclusive Economic Zone"
140.125,44.875,0.0202385731195712,3334,"Japanese Exclusive Economic Zone"
140.375,44.875,0.0111936466709798,3361,"Japanese Exclusive Economic Zone"
140.625,44.875,0.0547788030020852,3361,"Japanese Exclusive Economic Zone"
140.875,44.875,0.0118578809939442,3361,"Japanese Exclusive Economic Zone"
141.125,44.875,0.0778502132680533,3361,"Japanese Exclusive Economic Zone"
141.375,44.875,0.166851373308733,3361,"Japanese Exclusive Economic Zone"
139.625,44.625,0.0172434397341666,3334,"Japanese Exclusive Economic Zone"
139.875,44.625,0.00295076390761737,3334,"Japanese Exclusive Economic Zone"
140.125,44.625,0.0338662779595431,3361,"Japanese Exclusive Economic Zone"
140.375,44.625,0.0160701803690526,3361,"Japanese Exclusive Economic Zone"
140.625,44.625,0.104548192430293,3361,"Japanese Exclusive Economic Zone"
140.875,44.625,0.00819578806292718,3361,"Japanese Exclusive Economic Zone"
141.125,44.625,0.234401463452019,3361,"Japanese Exclusive Economic Zone"
141.375,44.625,0.298173686174336,3361,"Japanese Exclusive Economic Zone"
141.625,44.625,0.525898492920651,3361,"Japanese Exclusive Economic Zone"
139.875,44.375,0.00604118104926665,3361,"Japanese Exclusive Economic Zone"
140.125,44.375,0.0882539530649843,3361,"Japanese Exclusive Economic Zone"
140.375,44.375,0.0286507744013828,3361,"Japanese Exclusive Economic Zone"
140.625,44.375,0.068488384450961,3361,"Japanese Exclusive Economic Zone"
140.875,44.375,0.00567097699238411,3361,"Japanese Exclusive Economic Zone"
141.125,44.375,0.156350051442487,3361,"Japanese Exclusive Economic Zone"
141.375,44.375,0.205011527418542,3361,"Japanese Exclusive Economic Zone"
141.625,44.375,0.244019052517021,3361,"Japanese Exclusive Economic Zone"
139.875,44.125,0.0322636710633413,3361,"Japanese Exclusive Economic Zone"
140.125,44.125,0.0898570112724214,3361,"Japanese Exclusive Economic Zone"
140.375,44.125,0.132917774176927,3361,"Japanese Exclusive Economic Zone"
140.625,44.125,0.163527533674555,3361,"Japanese Exclusive Economic Zone"
140.875,44.125,0.0454449291051791,3361,"Japanese Exclusive Economic Zone"
141.125,44.125,0.152311020778501,3361,"Japanese Exclusive Economic Zone"
141.375,44.125,0.225518203835722,3361,"Japanese Exclusive Economic Zone"
141.625,44.125,0.275045158935782,3361,"Japanese Exclusive Economic Zone"
139.875,43.875,0.0326673050283527,3361,"Japanese Exclusive Economic Zone"
140.125,43.875,0.0460140801963876,3361,"Japanese Exclusive Economic Zone"
140.375,43.875,0.0107035649077577,3361,"Japanese Exclusive Economic Zone"
140.625,43.875,0.177437541199548,3361,"Japanese Exclusive Economic Zone"
140.875,43.875,0.160279118925032,3361,"Japanese Exclusive Economic Zone"
141.125,43.875,0.063895723981854,3361,"Japanese Exclusive Economic Zone"
141.375,43.875,0.214642140382727,3361,"Japanese Exclusive Economic Zone"
140.125,43.625,0.0290961627118357,3361,"Japanese Exclusive Economic Zone"
140.375,43.625,0.0694015312414432,3361,"Japanese Exclusive Economic Zone"
140.625,43.625,0.00985690747789191,3361,"Japanese Exclusive Economic Zone"
140.875,43.625,0.416500733285177,3361,"Japanese Exclusive Economic Zone"
141.125,43.625,0.177479583898232,3361,"Japanese Exclusive Economic Zone"
140.375,43.375,0.102788070038549,3361,"Japanese Exclusive Economic Zone"
140.625,43.375,0.672081139389137,3361,"Japanese Exclusive Economic Zone"
140.875,43.375,0.452826216763174,3361,"Japanese Exclusive Economic Zone"
141.125,43.375,0.568492248214072,3361,"Japanese Exclusive Economic Zone"
141.375,43.375,0.765616626897936,3361,"Japanese Exclusive Economic Zone"
139.875,43.125,0.0737730190270207,3333,"Japanese Exclusive Economic Zone"
140.125,43.125,0.209906022093099,3361,"Japanese Exclusive Economic Zone"
140.375,43.125,0.338305982579818,3361,"Japanese Exclusive Economic Zone"
139.625,42.875,0.230699281989312,3333,"Japanese Exclusive Economic Zone"
139.875,42.875,0.19163379313648,3333,"Japanese Exclusive Economic Zone"
140.125,42.875,0.259342846995858,3333,"Japanese Exclusive Economic Zone"
139.375,42.625,0.148612300685172,3333,"Japanese Exclusive Economic Zone"
139.625,42.625,0.160444655089725,3333,"Japanese Exclusive Economic Zone"
141.625,42.625,0.164937933688947,3361,"Japanese Exclusive Economic Zone"
143.625,42.625,2.70281076274091,3388,"Japanese Exclusive Economic Zone"
143.875,42.625,2.57635145762059,3388,"Japanese Exclusive Economic Zone"
144.125,42.625,2.3162554917372,3388,"Japanese Exclusive Economic Zone"
139.125,42.375,0.0192994650685166,3333,"Japanese Exclusive Economic Zone"
