"Species","EEZ","p2","p4","Average","Max"
"Anguilla rostrata","Anguilla Exclusive Economic Zone",0,0,9.63720880118677e-05,0.000276096006337878
"Anguilla rostrata","Antigua and Barbuda Exclusive Economic Zone",0,0,4.125406907906e-05,0.000192254633218316
"Anguilla rostrata","Argentinean Exclusive Economic Zone",0,0,0.105640281416183,0.402439432191737
"Anguilla rostrata","Aruban Exclusive Economic Zone",0,0,0.000459545489728058,0.00218705075250687
"Anguilla rostrata","Bahamas Exclusive Economic Zone",0,0,0.00970061363703465,0.163718289342106
"Anguilla rostrata","Barbados Exclusive Economic Zone",0,0,0.000358040474762278,0.00201797326728959
"Anguilla rostrata","Belizean Exclusive Economic Zone",0,0,0.0217954068854069,0.024392993508664
"Anguilla rostrata","Bermudian Exclusive Economic Zone",0,0,0.00964638089695744,0.0279206373712632
"Anguilla rostrata","Bonaire Exclusive Economic Zone",0,0,0.00102533284335954,0.00197784289292044
"Anguilla rostrata","Brazilian Exclusive Economic Zone",0,0,0.0653453862411467,0.204677232286161
"Anguilla rostrata","British Virgin Islands Exclusive Economic Zone",0,0,0.00108835241905967,0.0056660945596118
"Anguilla rostrata","Canadian Exclusive Economic Zone",0,0,0.0688004791109191,1.67688844362222
"Anguilla rostrata","Cayman Islands Exclusive Economic Zone",0,0,0.0184036709916419,0.035957394886479
"Anguilla rostrata","Colombian Exclusive Economic Zone",0,0,0.0735943485805029,0.496373550683669
"Anguilla rostrata","Costa Rican Exclusive Economic Zone",0,0,0.00181276200641233,0.00299602113535143
"Anguilla rostrata","Cuban Exclusive Economic Zone",0,0,0.0175216504186441,0.278525264000115
"Anguilla rostrata","Curaçaoan Exclusive Economic Zone",0,0,0.000614070763801715,0.00218705075250687
"Anguilla rostrata","Dominican Exclusive Economic Zone",0,0,3.63700767697748e-05,0.000287019629823192
"Anguilla rostrata","Dominican Republic Exclusive Economic Zone",0,0,0.00391604422172666,0.0306159279493208
"Anguilla rostrata","French Guiana Exclusive Economic Zone",0,0,0.000375476826683072,0.00216219233213602
"Anguilla rostrata","Greenlandic Exclusive Economic Zone",0,0,0.190109031937124,0.275981670868845
"Anguilla rostrata","Grenadian Exclusive Economic Zone",0,0,0.000816760883175145,0.00547679779271324
"Anguilla rostrata","Guadeloupean Exclusive Economic Zone",0,0,3.72359059116043e-05,0.000287019629823192
"Anguilla rostrata","Guatemalan Exclusive Economic Zone",0,0,0.289224348827422,0.289224348827422
"Anguilla rostrata","Guyanese Exclusive Economic Zone",0,0,0.00331509495610387,0.0633111468107455
"Anguilla rostrata","Haitian Exclusive Economic Zone",0,0,0.000838037892524453,0.00189570804047218
"Anguilla rostrata","Honduran Exclusive Economic Zone",0,0,0.0125174455016736,0.0495352188005729
"Anguilla rostrata","Jamaican Exclusive Economic Zone",0,0,0.00727294900212473,0.011932216636333
"Anguilla rostrata","Martinican Exclusive Economic Zone",0,0,6.81071376358513e-05,0.0012510491205834
"Anguilla rostrata","Mexican Exclusive Economic Zone",0,0,0.00896792646672181,0.352795943713092
"Anguilla rostrata","Montserrat Exclusive Economic Zone",0,0,2.34993205562789e-05,7.25714450794854e-05
"Anguilla rostrata","Nicaraguan Exclusive Economic Zone",0,0,0.0885223016414837,0.289224348827422
"Anguilla rostrata","Overlapping claim: Puerto Rico / Dominican Republic",0,0,0.00451474228887655,0.00533929249585777
"Anguilla rostrata","Panamanian Exclusive Economic Zone",0,0,0.00151128070489699,0.00299602113535143
"Anguilla rostrata","Portuguese Exclusive Economic Zone (Azores)",0,0,0.620016894352833,0.758677595734301
"Anguilla rostrata","Puerto Rican Exclusive Economic Zone",0,0,0.00173405308364245,0.0056660945596118
"Anguilla rostrata","Saba Exclusive Economic Zone",0,0,5.0023588013601e-05,0.000146756837072595
"Anguilla rostrata","Saint Kitts and Nevis Exclusive Economic Zone",0,0,3.49118017084184e-05,0.000146756837072595
"Anguilla rostrata","Saint Lucia Exclusive Economic Zone",0,0,0.000585044893712245,0.00134994077088157
"Anguilla rostrata","Saint Vincent and the Grenadines Exclusive Economic Zone",0,0,0.000448347650165167,0.00134994077088157
"Anguilla rostrata","Saint-Barthélemy Exclusive Economic Zone",0,0,7.28740724959908e-05,0.000192254633218316
"Anguilla rostrata","Saint-Martin Exclusive Economic Zone",0,0,1.6073550943084e-05,3.57765222217142e-05
"Anguilla rostrata","Saint-Pierre and Miquelon Exclusive Economic Zone",0,0,0.0047540754307929,0.0488475061059364
"Anguilla rostrata","Sint-Eustatius Exclusive Economic Zone",0,0,3.68283811658557e-05,0.000146756837072595
"Anguilla rostrata","Sint-Maarten Exclusive Economic Zone",0,0,3.16766504073505e-06,3.16766504073505e-06
"Anguilla rostrata","Surinamese Exclusive Economic Zone",0,0,0.000276055980339685,0.00216219233213602
"Anguilla rostrata","Trinidad and Tobago Exclusive Economic Zone",0,0,0.00630679238665497,0.0518621077714901
"Anguilla rostrata","Turks and Caicos Exclusive Economic Zone",0,0,0.00873187796624886,0.0306159279493208
"Anguilla rostrata","United States Exclusive Economic Zone",0.00371057513914657,0,0.0550671105085202,2.64459035423851
"Anguilla rostrata","Venezuelan Exclusive Economic Zone",0,0,0.0129875300682698,0.689443030029311
"Anguilla rostrata","Virgin Islander Exclusive Economic Zone",0,0,0.00133394233697678,0.0056660945596118
