"x","y","sigmaNovelty","cell","EEZ"
-70.125,43.625,0.548881677981614,595,"United States Exclusive Economic Zone"
-70.625,42.875,0.229372493624919,595,"United States Exclusive Economic Zone"
-70.375,42.625,0.0459300360605714,595,"United States Exclusive Economic Zone"
-70.875,42.375,0.346562878536916,595,"United States Exclusive Economic Zone"
-70.625,42.375,0.453122999446398,595,"United States Exclusive Economic Zone"
-70.375,42.375,0.0469751994915639,595,"United States Exclusive Economic Zone"
-70.125,42.375,0.0752634717478442,595,"United States Exclusive Economic Zone"
-70.625,42.125,0.318297587703379,595,"United States Exclusive Economic Zone"
-70.375,42.125,0.0916051194969543,595,"United States Exclusive Economic Zone"
-70.125,42.125,0.0428360375968055,595,"United States Exclusive Economic Zone"
-69.875,42.125,0.143016102925614,595,"United States Exclusive Economic Zone"
-70.375,41.875,0.727142886440941,736,"United States Exclusive Economic Zone"
-70.125,41.875,0.706400522410721,736,"United States Exclusive Economic Zone"
-69.875,41.875,0.076087285653251,736,"United States Exclusive Economic Zone"
-71.375,41.625,0.0712883236601399,736,"United States Exclusive Economic Zone"
-70.875,41.625,0.547087547580081,736,"United States Exclusive Economic Zone"
-70.125,41.625,0.537596253223741,736,"United States Exclusive Economic Zone"
-69.875,41.625,0.170295512207279,736,"United States Exclusive Economic Zone"
-71.375,41.375,0.00110478823643121,736,"United States Exclusive Economic Zone"
-71.125,41.375,0.186934547445255,736,"United States Exclusive Economic Zone"
-70.875,41.375,0.075024151848067,736,"United States Exclusive Economic Zone"
-70.375,41.375,0.122933592514295,736,"United States Exclusive Economic Zone"
-70.125,41.375,0.0114842448827122,736,"United States Exclusive Economic Zone"
-69.875,41.375,0.182382252248679,736,"United States Exclusive Economic Zone"
-73.125,41.125,0.213186500993134,622,"United States Exclusive Economic Zone"
-72.875,41.125,0.884791229268203,622,"United States Exclusive Economic Zone"
-72.625,41.125,1.01439096556848,622,"United States Exclusive Economic Zone"
-72.375,41.125,0.734298259755641,622,"United States Exclusive Economic Zone"
-72.125,41.125,0.116018075252781,622,"United States Exclusive Economic Zone"
-71.875,41.125,0.358683591830092,622,"United States Exclusive Economic Zone"
-71.625,41.125,0.0988681148645717,622,"United States Exclusive Economic Zone"
-71.375,41.125,0.241952413340751,736,"United States Exclusive Economic Zone"
-71.125,41.125,0.455061119373231,736,"United States Exclusive Economic Zone"
-70.875,41.125,0.0897471886061672,736,"United States Exclusive Economic Zone"
-70.625,41.125,0.0413916109991021,736,"United States Exclusive Economic Zone"
-70.375,41.125,0.0346542213429167,736,"United States Exclusive Economic Zone"
-70.125,41.125,0.0283084672440946,736,"United States Exclusive Economic Zone"
-72.375,40.875,0.134300382293895,622,NA
-72.125,40.875,0.288977718233305,622,"United States Exclusive Economic Zone"
-71.875,40.875,0.104992654096155,622,"United States Exclusive Economic Zone"
-71.625,40.875,0.0579352401306164,736,"United States Exclusive Economic Zone"
-71.375,40.875,0.116721697430427,736,"United States Exclusive Economic Zone"
-71.125,40.875,0.163703760544016,736,"United States Exclusive Economic Zone"
-70.875,40.875,0.0276029996743926,736,"United States Exclusive Economic Zone"
-70.625,40.875,0.141371545432505,736,"United States Exclusive Economic Zone"
-70.375,40.875,0.0901005221024681,736,"United States Exclusive Economic Zone"
-73.875,40.625,0.17385830856099,622,"United States Exclusive Economic Zone"
-73.125,40.625,0.0890804580671451,622,"United States Exclusive Economic Zone"
-72.875,40.625,0.00697752985714965,622,"United States Exclusive Economic Zone"
-72.625,40.625,0.0505036998129329,622,"United States Exclusive Economic Zone"
-72.375,40.625,0.0386503006327264,622,"United States Exclusive Economic Zone"
-72.125,40.625,0.0934738260317674,622,"United States Exclusive Economic Zone"
-73.875,40.375,0.169600300356407,622,"United States Exclusive Economic Zone"
-73.625,40.375,0.182469844389009,622,"United States Exclusive Economic Zone"
-73.375,40.375,0.0887681742823302,622,"United States Exclusive Economic Zone"
-73.125,40.375,0.0454560485547092,622,"United States Exclusive Economic Zone"
-72.875,40.375,0.0289923688389136,622,"United States Exclusive Economic Zone"
-72.625,40.375,0.0316012247221857,622,"United States Exclusive Economic Zone"
-72.375,40.375,0.038128917740686,622,"United States Exclusive Economic Zone"
-73.875,40.125,0.0553102274973964,649,"United States Exclusive Economic Zone"
-73.625,40.125,0.0653932416587592,622,"United States Exclusive Economic Zone"
-74.125,39.875,0.0442981948419221,649,"United States Exclusive Economic Zone"
-73.875,39.875,0.0492635727518438,649,"United States Exclusive Economic Zone"
