"Species","EEZ","p2","p4","Average","Max"
"Argopecten ventricosus","Canadian Exclusive Economic Zone",0.112903225806452,0,0.979428884769051,2.93546649735068
"Argopecten ventricosus","Chilean Exclusive Economic Zone",0.0104166666666667,0,0.301464239765497,3.4297474360941
"Argopecten ventricosus","Colombian Exclusive Economic Zone",0,0,0.0237838804201162,0.216413401994263
"Argopecten ventricosus","Costa Rican Exclusive Economic Zone",0,0,0.0097400514270398,0.0800576928533632
"Argopecten ventricosus","Ecuadorian Exclusive Economic Zone",0,0,0.0572060369773002,0.567713949488075
"Argopecten ventricosus","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.0935392770143031,0.805962880902306
"Argopecten ventricosus","El Salvador Exclusive Economic Zone",0,0,0.014735372504149,0.0825670054401517
"Argopecten ventricosus","Guatemalan Exclusive Economic Zone",0,0,0.0138882705243425,0.103683793994816
"Argopecten ventricosus","Honduran Exclusive Economic Zone",0,0,0.0342752307817001,0.0825670054401517
"Argopecten ventricosus","Jarvis Island Exclusive Economic Zone",0,0,0.541877608040487,0.733280968133808
"Argopecten ventricosus","Joint regime area Ecuador / Colombia",0,0,0.000452093284342667,0.000757769796630462
"Argopecten ventricosus","Joint regime area Peru / Ecuador",0,0,0.337327798050324,0.567713949488075
"Argopecten ventricosus","Kiribati Exclusive Economic Zone (Line Islands)",0,0,0.541877608040487,0.733280968133808
"Argopecten ventricosus","Mexican Exclusive Economic Zone",0,0,0.0559119940784296,1.70947607254231
"Argopecten ventricosus","Nicaraguan Exclusive Economic Zone",0,0,0.0139214426205263,0.0825670054401517
"Argopecten ventricosus","Panamanian Exclusive Economic Zone",0,0,0.0196906160507111,0.12712805268735
"Argopecten ventricosus","Peruvian Exclusive Economic Zone",0,0,0.423880677255535,1.73394540557194
"Argopecten ventricosus","United States Exclusive Economic Zone",0.0040650406504065,0,0.14158701769531,2.43239594638656
"Argopecten ventricosus","United States Exclusive Economic Zone (Alaska)",0.0681818181818182,0,0.804723010048766,2.03652245198489
