"x","y","sigmaNovelty","cell","EEZ"
1.375,51.875,0.199332885132946,838,"United Kingdom Exclusive Economic Zone"
1.125,51.625,0.208228800523972,838,"United Kingdom Exclusive Economic Zone"
1.375,51.625,0.198943117744727,838,"United Kingdom Exclusive Economic Zone"
-4.375,51.375,0.116887186846503,864,"United Kingdom Exclusive Economic Zone"
-4.125,51.375,0.0964219801520105,864,"United Kingdom Exclusive Economic Zone"
-4.625,51.125,0.077608866629423,864,"United Kingdom Exclusive Economic Zone"
-4.375,51.125,0.0182134701456281,864,"United Kingdom Exclusive Economic Zone"
-4.875,50.875,0.011102849791351,864,"United Kingdom Exclusive Economic Zone"
-4.625,50.875,0.0293682203473738,864,"United Kingdom Exclusive Economic Zone"
-4.875,50.625,0.125431139293864,864,"United Kingdom Exclusive Economic Zone"
-10.375,49.875,0.00574381896232941,863,"Irish Exclusive Economic Zone"
-10.125,49.875,0.00464956047552068,863,"Irish Exclusive Economic Zone"
-9.375,49.875,0.0131194310989376,863,"Irish Exclusive Economic Zone"
-9.125,49.875,0.0060052677266804,863,"Irish Exclusive Economic Zone"
-6.375,49.875,0.000979734302238796,864,"United Kingdom Exclusive Economic Zone"
-6.125,49.875,0.0102032792900451,864,"United Kingdom Exclusive Economic Zone"
-10.625,49.625,0.00481067485686826,863,"Irish Exclusive Economic Zone"
-10.375,49.625,0.00484601061338519,863,"Irish Exclusive Economic Zone"
-10.125,49.625,0.0029226235205124,863,"Irish Exclusive Economic Zone"
-9.875,49.625,0.006756836530813,863,"Irish Exclusive Economic Zone"
-9.375,49.625,0.0163894761462162,863,"Irish Exclusive Economic Zone"
-9.125,49.625,0.0142177941730884,863,"Irish Exclusive Economic Zone"
-8.875,49.625,0.0166849965701284,863,"Irish Exclusive Economic Zone"
-6.375,49.625,0.0148724609116774,864,"United Kingdom Exclusive Economic Zone"
-6.125,49.625,0.0269345022062772,864,"United Kingdom Exclusive Economic Zone"
-10.625,49.375,0.00476765896366479,890,"Irish Exclusive Economic Zone"
-10.375,49.375,0.0048599190667838,863,"Irish Exclusive Economic Zone"
-10.125,49.375,0.00289832296800174,863,"Irish Exclusive Economic Zone"
-9.875,49.375,0.00463545242388649,863,"Irish Exclusive Economic Zone"
-9.125,49.375,0.00891452829885819,863,"Irish Exclusive Economic Zone"
-8.875,49.375,0.0111559888962549,863,"United Kingdom Exclusive Economic Zone"
-8.625,49.375,0.0144668856213742,891,"United Kingdom Exclusive Economic Zone"
-10.375,49.125,0.00402625639897188,890,"Irish Exclusive Economic Zone"
-10.125,49.125,0.00398989167688048,890,"Irish Exclusive Economic Zone"
-8.875,49.125,0.0120754654233641,891,"United Kingdom Exclusive Economic Zone"
-8.625,49.125,0.0160998853296205,891,"United Kingdom Exclusive Economic Zone"
-5.125,49.125,0.0515680411328172,892,"French Exclusive Economic Zone"
-4.875,49.125,0.0248072069568214,892,"French Exclusive Economic Zone"
-4.625,49.125,0.0125547883621238,892,"French Exclusive Economic Zone"
-4.375,49.125,0.0063919105264776,892,"French Exclusive Economic Zone"
-4.125,49.125,0.0208908373430131,892,"French Exclusive Economic Zone"
-3.875,49.125,0.00983507344978563,892,"French Exclusive Economic Zone"
-3.625,49.125,0.00573267213956182,892,"French Exclusive Economic Zone"
-3.375,49.125,0.00750820027290549,892,"French Exclusive Economic Zone"
-3.125,49.125,0.0267802536994945,892,"French Exclusive Economic Zone"
-2.875,49.125,0.0612180577292152,892,"French Exclusive Economic Zone"
-2.625,49.125,0.101057481561063,892,"French Exclusive Economic Zone"
-2.375,49.125,0.0974663573202143,892,"Jersey Exclusive Economic Zone"
-5.375,48.875,0.0473226325901088,891,"French Exclusive Economic Zone"
-5.125,48.875,0.0173753387077265,891,"French Exclusive Economic Zone"
