"Species","EEZ","p2","p4","Average","Max"
"Callinectes sapidus","Anguilla Exclusive Economic Zone",0,0,5.51836219830282e-05,0.000261832053170409
"Callinectes sapidus","Antigua and Barbuda Exclusive Economic Zone",0,0,3.48728034617431e-05,0.000261832053170409
"Callinectes sapidus","Argentinean Exclusive Economic Zone",0,0,0.0521734936385083,0.174929772961331
"Callinectes sapidus","Aruban Exclusive Economic Zone",0,0,8.70492178497191e-05,0.000735484124613712
"Callinectes sapidus","Bahamas Exclusive Economic Zone",0,0,0.00692018707130513,0.163723565001883
"Callinectes sapidus","Barbados Exclusive Economic Zone",0,0,0.000336887667150421,0.00201667933685194
"Callinectes sapidus","Belizean Exclusive Economic Zone",0,0,0.0110081301979411,0.106030957957108
"Callinectes sapidus","Bermudian Exclusive Economic Zone",0,0,0.0266503656255294,0.0414981910319078
"Callinectes sapidus","Bonaire Exclusive Economic Zone",0,0,6.77045122483864e-05,0.000198530287433643
"Callinectes sapidus","Brazilian Exclusive Economic Zone",0,0,0.0389021914677404,0.729496114978308
"Callinectes sapidus","British Virgin Islands Exclusive Economic Zone",0,0,0.000223931423953414,0.00121990463186203
"Callinectes sapidus","Canadian Exclusive Economic Zone",0,0,0.0982786867400221,1.43849438215673
"Callinectes sapidus","Cayman Islands Exclusive Economic Zone",0,0,0.00986432141837424,0.0123781623080203
"Callinectes sapidus","Colombian Exclusive Economic Zone",0,0,0.0261167177882375,0.49636918913293
"Callinectes sapidus","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,0.000210163710488638,0.000210163710488638
"Callinectes sapidus","Colombian Exclusive Economic Zone (Quitasueño)",0,0,0.00135168133349161,0.00161053439220015
"Callinectes sapidus","Colombian Exclusive Economic Zone (Serrana)",0,0,0.000568475051713483,0.000829411548034404
"Callinectes sapidus","Colombian Exclusive Economic Zone (Serranilla)",0,0,0.000329932677490243,0.000366864939706509
"Callinectes sapidus","Costa Rican Exclusive Economic Zone",0,0,0.00295436410275884,0.0546275639246298
"Callinectes sapidus","Cuban Exclusive Economic Zone",0,0,0.0135710727578831,0.278559317679717
"Callinectes sapidus","Curaçaoan Exclusive Economic Zone",0,0,4.25220780440237e-05,9.62647103901165e-05
"Callinectes sapidus","Dominican Exclusive Economic Zone",0,0,3.51494350644174e-05,0.00028713602764015
"Callinectes sapidus","Dominican Republic Exclusive Economic Zone",0,0,0.000336316462046198,0.00305387785264236
"Callinectes sapidus","French Guiana Exclusive Economic Zone",0,0,0.00375496572982406,0.143723025114293
"Callinectes sapidus","Grenadian Exclusive Economic Zone",0,0,0.0010952804237884,0.015221203977147
"Callinectes sapidus","Guadeloupean Exclusive Economic Zone",0,0,3.5853851156445e-05,0.00028713602764015
"Callinectes sapidus","Guatemalan Exclusive Economic Zone",0,0,0.188943760128429,0.333507346084164
"Callinectes sapidus","Guyanese Exclusive Economic Zone",0,0,0.00613300340111773,0.173799484276063
"Callinectes sapidus","Haitian Exclusive Economic Zone",0,0,0.000148625496173609,0.00140603404829895
"Callinectes sapidus","Honduran Exclusive Economic Zone",0,0,0.0163380482686911,0.1001994765173
"Callinectes sapidus","Jamaican Exclusive Economic Zone",0,0,0.00156527599221517,0.0108738045592976
"Callinectes sapidus","Joint regime area Argentina / Uruguay",0,0,0.0425895305908039,0.174929772961331
"Callinectes sapidus","Joint regime area Colombia / Jamaica",0,0,0.000266146132143981,0.000393140461602237
"Callinectes sapidus","Martinican Exclusive Economic Zone",0,0,3.22058195371806e-05,0.00028713602764015
"Callinectes sapidus","Mexican Exclusive Economic Zone",0,0,0.00663609462767189,0.333507346084164
"Callinectes sapidus","Montserrat Exclusive Economic Zone",0,0,2.25375749439674e-05,7.27599563862919e-05
"Callinectes sapidus","Nicaraguan Exclusive Economic Zone",0,0,0.0162483139020913,0.333507346084164
"Callinectes sapidus","Overlapping claim Navassa Island: USA / Haiti / Jamaica",0,0,1.28646772885885e-06,1.76039808748554e-06
"Callinectes sapidus","Overlapping claim: Puerto Rico / Dominican Republic",0,0,0.000134251288364424,0.000336428271947497
"Callinectes sapidus","Panamanian Exclusive Economic Zone",0,0,0.00949247755361943,0.25935000988884
"Callinectes sapidus","Puerto Rican Exclusive Economic Zone",0,0,0.000139093827960236,0.00114123560809239
"Callinectes sapidus","Saba Exclusive Economic Zone",0,0,4.65148768287297e-05,0.000128964170663688
"Callinectes sapidus","Saint Kitts and Nevis Exclusive Economic Zone",0,0,2.72609381463294e-05,9.58151856237416e-05
"Callinectes sapidus","Saint Lucia Exclusive Economic Zone",0,0,0.000556588214580699,0.00142405741512821
"Callinectes sapidus","Saint Vincent and the Grenadines Exclusive Economic Zone",0,0,0.000538230209933444,0.00142405741512821
"Callinectes sapidus","Saint-Barthélemy Exclusive Economic Zone",0,0,8.8405069686278e-05,0.000261832053170409
"Callinectes sapidus","Saint-Martin Exclusive Economic Zone",0,0,1.5626632620637e-05,3.57662165417175e-05
"Callinectes sapidus","Sint-Eustatius Exclusive Economic Zone",0,0,2.78788475910353e-05,8.87405265605697e-05
"Callinectes sapidus","Sint-Maarten Exclusive Economic Zone",0,0,3.16472026268187e-06,3.16472026268187e-06
"Callinectes sapidus","Surinamese Exclusive Economic Zone",0,0,0.00203717158073519,0.104048091339903
"Callinectes sapidus","Trinidad and Tobago Exclusive Economic Zone",0,0,0.00490638480494774,0.0341764464233138
"Callinectes sapidus","Turks and Caicos Exclusive Economic Zone",0,0,0.000752490461863381,0.00235791443343772
"Callinectes sapidus","United States Exclusive Economic Zone",0.00557880055788006,0,0.0699480354746519,2.64458739925949
"Callinectes sapidus","Uruguayan Exclusive Economic Zone",0,0,0.0933303948367133,0.643759417275825
"Callinectes sapidus","Venezuelan Exclusive Economic Zone",0,0,0.0101677919212502,0.689442598334636
"Callinectes sapidus","Virgin Islander Exclusive Economic Zone",0,0,0.000192457310985343,0.00121990463186203
