"Species","EEZ","p2","p4","Average","Max"
"Carangoides malabaricus","Australian Exclusive Economic Zone",0,0,0.00542231215035712,0.677222664212466
"Carangoides malabaricus","Bahraini Exclusive Economic Zone",0,0,0.075918546775066,0.128897591885303
"Carangoides malabaricus","Bangladeshi Exclusive Economic Zone",0.25,0,0.690100797992238,2.46397378333507
"Carangoides malabaricus","Bassas da India Exclusive Economic Zone",0,0,0.000528050014624628,0.00162898405527983
"Carangoides malabaricus","Bruneian Exclusive Economic Zone",0,0,0.00032399871861575,0.00590649832240273
"Carangoides malabaricus","Cambodian Exclusive Economic Zone",0,0,0.00133269408914605,0.0138597893829715
"Carangoides malabaricus","Chagos Archipelago Exclusive Economic Zone",0,0,8.11074897695965e-05,0.000400445706992792
"Carangoides malabaricus","Chinese Exclusive Economic Zone",0,0,0.0231068183635969,1.587783790294
"Carangoides malabaricus","Christmas Island Exclusive Economic Zone",0,0,4.8688115778197e-05,6.60823413451601e-05
"Carangoides malabaricus","Cocos Islands Exclusive Economic Zone",0,0,0.0019357257813671,0.00783399054394269
"Carangoides malabaricus","Comoran Exclusive Economic Zone",0,0,9.16216756663741e-05,0.000308025425047016
"Carangoides malabaricus","Djiboutian Exclusive Economic Zone",0,0,0.00591237256928884,0.0366497159104922
"Carangoides malabaricus","East Timorian Exclusive Economic Zone",0,0,0.003208635040642,0.0149837365189506
"Carangoides malabaricus","Egyptian Exclusive Economic Zone",0,0,4.9797758248351e-06,5.61031285456448e-06
"Carangoides malabaricus","Eritrean Exclusive Economic Zone",0,0,0.019838999250041,0.337678999317996
"Carangoides malabaricus","Fijian Exclusive Economic Zone",0,0,0.00265707222158358,0.115757685837618
"Carangoides malabaricus","Guam Exclusive Economic Zone",0,0,2.32682514645704e-05,5.04929579403828e-05
"Carangoides malabaricus","Howland and Baker Islands Exclusive Economic Zone",0,0,0.00999915727848875,0.0190563622486059
"Carangoides malabaricus","Ile Europa Exclusive Economic Zone",0,0,0.000589197138586449,0.00162898405527983
"Carangoides malabaricus","Indian Exclusive Economic Zone",0,0,0.00980880382950048,0.410872116254379
"Carangoides malabaricus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.00242553050339783,0.113356404941248
"Carangoides malabaricus","Indonesian Exclusive Economic Zone",0,0,0.00253658820508431,0.368227851307399
"Carangoides malabaricus","Iranian Exclusive Economic Zone",0,0,0.127576482727367,1.06018720888555
"Carangoides malabaricus","Japanese Exclusive Economic Zone",0,0,0.0274651398000664,1.08674029300712
"Carangoides malabaricus","Joint regime area Australia / Papua New Guinea",0,0,0.000390227651897551,0.00110214565546998
"Carangoides malabaricus","Joint regime area Japan / Korea",0,0,0.00691686134423064,0.0518940015548243
"Carangoides malabaricus","Juan de Nova Exclusive Economic Zone",0,0,8.19773680060017e-05,0.000172979341597579
"Carangoides malabaricus","Kenyan Exclusive Economic Zone",0,0,0.000441235227704654,0.00384894817782823
"Carangoides malabaricus","Kiribati Exclusive Economic Zone (Gilbert Islands)",0,0,0.00216297095999341,0.368227851307399
"Carangoides malabaricus","Kiribati Exclusive Economic Zone (Phoenix Islands)",0,0,0.017072035108085,0.0190563622486059
"Carangoides malabaricus","Kuwaiti Exclusive Economic Zone",0,0,0.420782881505482,1.06018720888555
"Carangoides malabaricus","Madagascan Exclusive Economic Zone",0,0,0.00056743895050694,0.0239657822451906
"Carangoides malabaricus","Malaysian Exclusive Economic Zone",0,0,0.00206098216052159,0.368227851307399
"Carangoides malabaricus","Maldives Exclusive Economic Zone",0,0,0.00047289910014037,0.00218179698514826
"Carangoides malabaricus","Marshall Islands Exclusive Economic Zone",0,0,0.000478343454161676,0.0112351647262651
"Carangoides malabaricus","Mauritian Exclusive Economic Zone",0,0,0.000209463747251311,0.00239524820183574
"Carangoides malabaricus","Micronesian Exclusive Economic Zone",0,0,0.00229132180707835,0.0144876531177264
"Carangoides malabaricus","Mozambican Exclusive Economic Zone",0,0,0.00251416414003167,0.10437813732894
"Carangoides malabaricus","Myanmar Exclusive Economic Zone",0,0,0.00780139572510654,0.235669794795856
"Carangoides malabaricus","Nauruan Exclusive Economic Zone",0,0,0.00178131359127994,0.00786202656303946
"Carangoides malabaricus","New Caledonian Exclusive Economic Zone",0,0,0.000188007144423843,0.0088269215007269
"Carangoides malabaricus","New Zealand Exclusive Economic Zone",0,0,0.0307212838662539,0.926504940847464
"Carangoides malabaricus","Northern Mariana Exclusive Economic Zone",0,0,2.32682514645704e-05,5.04929579403828e-05
"Carangoides malabaricus","Oecussi Ambeno Exclusive Economic Zone",0,0,4.77736578213388e-05,7.73487957356632e-05
"Carangoides malabaricus","Omani Exclusive Economic Zone",0,0,0.0799593447303695,0.624893258791899
"Carangoides malabaricus","Overlapping claim Glorioso Islands: France / Madagascar",0,0,7.29431302719679e-05,0.000307716329577985
"Carangoides malabaricus","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,0.00024889166434982,0.000293745256584
"Carangoides malabaricus","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.00011775209311597,0.000263423965435576
"Carangoides malabaricus","Overlapping claim Mayotte: France / Comoros",0,0,9.30434250667186e-05,0.000308025425047016
"Carangoides malabaricus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.00437885675170608,0.0434730135422836
"Carangoides malabaricus","Overlapping claim South China Sea",0,0,0.000565610540499164,0.00564065731308971
