"x","y","sigmaNovelty","cell","EEZ"
129.625,32.875,0.0406409107863438,3247,"Japanese Exclusive Economic Zone"
129.875,32.875,0.017853065555376,3247,"Japanese Exclusive Economic Zone"
129.625,32.625,0.00735876398998379,3247,"Japanese Exclusive Economic Zone"
129.875,32.625,0.0247940973028886,3247,"Japanese Exclusive Economic Zone"
49.375,30.125,0.158987935493852,2366,"Iranian Exclusive Economic Zone"
123.375,30.125,0.00316716581780402,3163,"Chinese Exclusive Economic Zone"
123.625,30.125,0.000927460294733129,3163,"Chinese Exclusive Economic Zone"
123.875,30.125,0.00695461238699222,3163,"Chinese Exclusive Economic Zone"
124.125,30.125,0.000187718087196696,3191,"Chinese Exclusive Economic Zone"
124.375,30.125,0.00663079982847405,3191,"Chinese Exclusive Economic Zone"
124.625,30.125,0.00153498454786384,3191,"Chinese Exclusive Economic Zone"
124.875,30.125,0.000887860089716834,3191,"Chinese Exclusive Economic Zone"
125.125,30.125,0.000539856628545977,3191,"Chinese Exclusive Economic Zone"
125.375,30.125,0.0173068587533322,3191,"Chinese Exclusive Economic Zone"
125.625,30.125,0.00289745130941281,3191,"Chinese Exclusive Economic Zone"
125.875,30.125,0.00914935303841527,3191,"Chinese Exclusive Economic Zone"
126.125,30.125,0.0136086689241835,3191,"Chinese Exclusive Economic Zone"
126.375,30.125,0.013467840559916,3191,"Joint regime area Japan / Korea"
126.625,30.125,0.0162352579124525,3191,"Joint regime area Japan / Korea"
126.875,30.125,0.0229642836524331,3191,"Joint regime area Japan / Korea"
127.125,30.125,0.0081578339812923,3218,"Joint regime area Japan / Korea"
-115.875,29.875,0.295555388225702,608,"Mexican Exclusive Economic Zone"
-114.375,29.875,0.064009580759156,608,"Mexican Exclusive Economic Zone"
-114.125,29.875,0.0716246559101986,608,"Mexican Exclusive Economic Zone"
-113.375,29.875,0.0595685119065588,609,"Mexican Exclusive Economic Zone"
-113.125,29.875,0.0120486061405805,609,"Mexican Exclusive Economic Zone"
32.625,29.875,0.000287704929634185,2202,"Egyptian Exclusive Economic Zone"
48.125,29.875,0.312591050506585,2366,"Kuwaiti Exclusive Economic Zone"
48.375,29.875,1.0122299805979,2366,"Kuwaiti Exclusive Economic Zone"
49.125,29.875,0.294346290116569,2366,"Iranian Exclusive Economic Zone"
49.375,29.875,0.125915312635424,2366,"Iranian Exclusive Economic Zone"
49.625,29.875,0.0220281236625336,2366,"Iranian Exclusive Economic Zone"
49.875,29.875,0.0750415876742972,2366,"Iranian Exclusive Economic Zone"
123.125,29.875,0.0132673842697496,3163,"Chinese Exclusive Economic Zone"
123.375,29.875,0.000689022108236542,3163,"Chinese Exclusive Economic Zone"
123.625,29.875,0.0012901584510068,3163,"Chinese Exclusive Economic Zone"
123.875,29.875,0.0124511527265661,3163,"Chinese Exclusive Economic Zone"
124.125,29.875,0.00437544891024067,3191,"Chinese Exclusive Economic Zone"
124.375,29.875,0.0115181419612595,3191,"Chinese Exclusive Economic Zone"
124.625,29.875,0.0043998908674117,3191,"Chinese Exclusive Economic Zone"
124.875,29.875,0.0300280434487432,3191,"Chinese Exclusive Economic Zone"
125.125,29.875,0.0176046224193975,3191,"Chinese Exclusive Economic Zone"
125.375,29.875,0.0146673359964235,3191,"Chinese Exclusive Economic Zone"
125.625,29.875,0.0066376665533225,3191,"Chinese Exclusive Economic Zone"
125.875,29.875,0.0110472323154303,3191,"Chinese Exclusive Economic Zone"
126.125,29.875,0.0233624841062952,3191,"Japanese Exclusive Economic Zone"
126.375,29.875,0.0256173331946946,3191,"Japanese Exclusive Economic Zone"
126.625,29.875,0.0296925130141525,3191,"Joint regime area Japan / Korea"
126.875,29.875,0.000195080228413995,3218,"Joint regime area Japan / Korea"
127.125,29.875,0.00142070718159183,3218,"Joint regime area Japan / Korea"
127.375,29.875,0.00076844086734156,3218,"Joint regime area Japan / Korea"
129.625,29.875,0.000195939858465805,3246,"Japanese Exclusive Economic Zone"
129.875,29.875,0.000196272424153278,3246,NA
-116.125,29.625,0.0188264072965377,608,"Mexican Exclusive Economic Zone"
-115.875,29.625,0.206037631019049,608,"Mexican Exclusive Economic Zone"
-115.625,29.625,0.227966965733451,608,"Mexican Exclusive Economic Zone"
-113.875,29.625,0.0695696492680467,608,"Mexican Exclusive Economic Zone"
-113.625,29.625,0.0501044602229722,609,"Mexican Exclusive Economic Zone"
-113.375,29.625,0.0150122359177071,609,"Mexican Exclusive Economic Zone"
-113.125,29.625,0.000788501701722351,609,"Mexican Exclusive Economic Zone"
-112.625,29.625,0.0262718018273365,609,"Mexican Exclusive Economic Zone"
32.375,29.625,0.000174976676599596,2202,"Egyptian Exclusive Economic Zone"
32.625,29.625,0.000270526441039945,2202,"Egyptian Exclusive Economic Zone"
48.375,29.625,0.83030767458319,2366,"Kuwaiti Exclusive Economic Zone"
48.875,29.625,0.345062035654451,2366,"Iranian Exclusive Economic Zone"
49.125,29.625,0.140487041489965,2366,"Iranian Exclusive Economic Zone"
49.375,29.625,0.00881379094410051,2366,"Iranian Exclusive Economic Zone"
49.625,29.625,0.0171078076845621,2366,"Iranian Exclusive Economic Zone"
49.875,29.625,0.0234952888266051,2366,"Iranian Exclusive Economic Zone"
50.125,29.625,0.0181357760272791,2366,"Iranian Exclusive Economic Zone"
50.375,29.625,0.00610904392800485,2393,"Iranian Exclusive Economic Zone"
122.875,29.625,0.171482110589248,3163,"Chinese Exclusive Economic Zone"
123.125,29.625,0.00961382048267146,3163,"Chinese Exclusive Economic Zone"
123.375,29.625,0.00318158949068541,3163,"Chinese Exclusive Economic Zone"
123.625,29.625,0.00148970962718038,3163,"Chinese Exclusive Economic Zone"
123.875,29.625,0.0120787843549291,3163,"Chinese Exclusive Economic Zone"
124.125,29.625,0.0135084664467404,3163,"Chinese Exclusive Economic Zone"
124.375,29.625,0.0142449908972476,3191,"Chinese Exclusive Economic Zone"
