"Species","EEZ","p2","p4","Average","Max"
"Carcinus aestuarii","Albanian Exclusive Economic Zone",0,0,0.047715541264179,0.552756533476795
"Carcinus aestuarii","Algerian Exclusive Economic Zone",0,0,0.00183526062956366,0.0244892224679246
"Carcinus aestuarii","Croatian Exclusive Economic Zone",0,0,0.0636515823966277,0.787301679449273
"Carcinus aestuarii","Cypriote Exclusive Economic Zone",0,0,0.0140615866527876,0.0610593942478714
"Carcinus aestuarii","Egyptian Exclusive Economic Zone",0,0,0.0389727833067783,0.329451954440856
"Carcinus aestuarii","French Exclusive Economic Zone",0,0,0.0446573251327031,1.33549676608655
"Carcinus aestuarii","Greek Exclusive Economic Zone",0,0,0.0463012847011394,0.982933240487727
"Carcinus aestuarii","Israeli Exclusive Economic Zone",0,0,0.0582991213349136,0.225313486584333
"Carcinus aestuarii","Italian Exclusive Economic Zone",0,0,0.0210838726233393,1.31652906787306
"Carcinus aestuarii","Joint regime area Croatia / Slovenia",0,0,0.609125664288553,0.609125664288553
"Carcinus aestuarii","Joint regime area Italy / France",0,0,1.44522453179967e-05,1.44522453179967e-05
"Carcinus aestuarii","Libyan Exclusive Economic Zone",0,0,0.00777989910969156,0.446933703957399
"Carcinus aestuarii","Maltese Exclusive Economic Zone",0,0,0.00103545444700228,0.00422611914946995
"Carcinus aestuarii","Monégasque Exclusive Economic Zone",0,0,0.0070970398205361,0.00941819400866684
"Carcinus aestuarii","Montenegrin Exclusive economic Zone",0,0,0.0413407252213015,0.501674293118495
"Carcinus aestuarii","Moroccan Exclusive Economic Zone",0,0,0.0115222146959612,0.136512832352228
"Carcinus aestuarii","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.000991488192776677,0.000991488192776677
"Carcinus aestuarii","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.00397439265236772,0.00397439265236772
"Carcinus aestuarii","Overlapping claim Melilla: Spain / Morocco",0,0,6.97558177713263e-05,6.97558177713263e-05
"Carcinus aestuarii","Overlapping claim Western Saharan Exclusive Economic Zone",0,0,0.0476785316220277,0.173817183125318
"Carcinus aestuarii","Portuguese Exclusive Economic Zone",0,0,0.009500055937025,0.0166817798995507
"Carcinus aestuarii","Portuguese Exclusive Economic Zone (Azores)",0,0,0.0491648746281875,0.10263858903524
"Carcinus aestuarii","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.00437686117162953,0.0101240612545518
"Carcinus aestuarii","Slovenian Exclusive Economic Zone",0,0,0.123447661868963,0.123447661868963
"Carcinus aestuarii","South African Exclusive Economic Zone",0,0,0.0676590477085997,0.124543613738828
"Carcinus aestuarii","Spanish Exclusive Economic Zone",0,0,0.0193842117087585,1.33549676608655
"Carcinus aestuarii","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.022935350701794,0.399880995455289
"Carcinus aestuarii","Syrian Exclusive Economic Zone",0,0,0.463832583668722,0.956203824516463
"Carcinus aestuarii","Tunisian Exclusive Economic Zone",0,0,0.0313691119941685,0.798208859998317
"Carcinus aestuarii","Turkish Exclusive Economic Zone",0,0,0.0946913322162927,0.956203824516463
