"x","y","sigmaNovelty","cell","EEZ"
13.125,45.625,0.643736846317441,1565,"Italian Exclusive Economic Zone"
13.375,45.625,0.414154188244679,1593,"Italian Exclusive Economic Zone"
13.625,45.625,0.123447661868963,1593,"Slovenian Exclusive Economic Zone"
12.875,45.375,0.91894595823563,1565,"Italian Exclusive Economic Zone"
13.125,45.375,0.524840689401589,1565,"Italian Exclusive Economic Zone"
13.375,45.375,0.609125664288553,1593,"Croatian Exclusive Economic Zone"
13.375,45.125,0.684930667558319,1593,"Croatian Exclusive Economic Zone"
14.375,45.125,0.00828277664017401,1593,"Croatian Exclusive Economic Zone"
13.125,44.875,0.232119138814331,1592,"Croatian Exclusive Economic Zone"
13.375,44.875,0.58181058831785,1592,"Croatian Exclusive Economic Zone"
13.625,44.875,0.143009350577912,1592,"Croatian Exclusive Economic Zone"
14.125,44.875,0.123198024651391,1592,"Croatian Exclusive Economic Zone"
14.625,44.875,0.0911487012653373,1593,"Croatian Exclusive Economic Zone"
14.875,44.875,0.0911206998070734,1593,"Croatian Exclusive Economic Zone"
12.875,44.625,1.31652906787306,1592,"Italian Exclusive Economic Zone"
13.125,44.625,0.402322953014881,1592,"Croatian Exclusive Economic Zone"
13.375,44.625,0.096621644882904,1592,"Croatian Exclusive Economic Zone"
13.625,44.625,0.0349743334261165,1592,"Croatian Exclusive Economic Zone"
13.875,44.625,0.0652206713289165,1592,"Croatian Exclusive Economic Zone"
14.125,44.625,0.199402719710058,1592,"Croatian Exclusive Economic Zone"
14.375,44.625,0.183909567420801,1592,NA
14.625,44.625,0.240531767334851,1592,"Croatian Exclusive Economic Zone"
14.875,44.625,0.0872127397017453,1592,"Croatian Exclusive Economic Zone"
8.875,44.375,0.00919928853108611,1564,"Italian Exclusive Economic Zone"
12.875,44.375,0.856871735387095,1592,"Italian Exclusive Economic Zone"
13.125,44.375,0.285894703352277,1592,"Italian Exclusive Economic Zone"
13.375,44.375,0.0242001639729662,1592,"Croatian Exclusive Economic Zone"
13.625,44.375,0.0411710104513168,1592,"Croatian Exclusive Economic Zone"
13.875,44.375,0.0250029104492082,1592,"Croatian Exclusive Economic Zone"
14.125,44.375,0.0603037767793931,1592,"Croatian Exclusive Economic Zone"
14.375,44.375,0.150853036123257,1592,"Croatian Exclusive Economic Zone"
14.625,44.375,0.297700391867171,1592,"Croatian Exclusive Economic Zone"
14.875,44.375,0.435247805221736,1592,"Croatian Exclusive Economic Zone"
8.375,44.125,0.00796037950405145,1564,"Italian Exclusive Economic Zone"
8.625,44.125,0.000313938440895015,1564,"Italian Exclusive Economic Zone"
8.875,44.125,0.00260330837176077,1564,"Italian Exclusive Economic Zone"
9.125,44.125,0.000275090284865222,1564,"Italian Exclusive Economic Zone"
9.375,44.125,0.00319566946094466,1564,"Italian Exclusive Economic Zone"
9.625,44.125,0.00531722173834309,1564,"Italian Exclusive Economic Zone"
12.875,44.125,0.641372888191808,1592,"Italian Exclusive Economic Zone"
13.125,44.125,0.63257020425214,1592,"Italian Exclusive Economic Zone"
13.375,44.125,0.0069773690555539,1592,"Italian Exclusive Economic Zone"
13.625,44.125,0.103511125241036,1592,"Italian Exclusive Economic Zone"
13.875,44.125,0.0137661113403671,1592,"Croatian Exclusive Economic Zone"
14.125,44.125,0.00473818226788138,1592,"Croatian Exclusive Economic Zone"
14.375,44.125,0.00322008469452155,1592,"Croatian Exclusive Economic Zone"
14.625,44.125,0.0168710276057066,1592,"Croatian Exclusive Economic Zone"
14.875,44.125,0.0535143579149125,1592,"Croatian Exclusive Economic Zone"
8.125,43.875,0.00535663617163138,1564,"Italian Exclusive Economic Zone"
8.375,43.875,0.00312918604123331,1564,"Italian Exclusive Economic Zone"
8.625,43.875,0.000309247868653261,1564,"Italian Exclusive Economic Zone"
8.875,43.875,0.000232880961328731,1564,"Italian Exclusive Economic Zone"
9.125,43.875,0.000308921384415144,1564,"Italian Exclusive Economic Zone"
9.375,43.875,0.00191084291141391,1564,"Italian Exclusive Economic Zone"
9.625,43.875,0.00388140190032715,1564,"Italian Exclusive Economic Zone"
9.875,43.875,0.0145377276443215,1564,"Italian Exclusive Economic Zone"
10.125,43.875,0.000824341474353249,1564,"Italian Exclusive Economic Zone"
13.125,43.875,0.787301679449273,1592,"Italian Exclusive Economic Zone"
13.375,43.875,0.0582092326361352,1592,"Italian Exclusive Economic Zone"
13.625,43.875,0.0731449692311732,1592,"Italian Exclusive Economic Zone"
13.875,43.875,0.00432911843989664,1592,"Italian Exclusive Economic Zone"
14.125,43.875,0.00116226525051795,1592,"Italian Exclusive Economic Zone"
14.375,43.875,0.00139295026601052,1592,"Croatian Exclusive Economic Zone"
14.625,43.875,0.00163597942004937,1592,"Croatian Exclusive Economic Zone"
14.875,43.875,0.00125842777641564,1592,"Croatian Exclusive Economic Zone"
15.125,43.875,0.0238737085703361,1620,"Croatian Exclusive Economic Zone"
15.375,43.875,0.00160920473527172,1620,"Croatian Exclusive Economic Zone"
7.375,43.625,0.0261309154566261,1536,"French Exclusive Economic Zone"
7.625,43.625,0.00941819400866684,1564,"Italian Exclusive Economic Zone"
7.875,43.625,0.00431339331468616,1564,"Italian Exclusive Economic Zone"
8.125,43.625,0.000943185028717129,1564,"Italian Exclusive Economic Zone"
8.375,43.625,0.00273993293736421,1564,"Italian Exclusive Economic Zone"
9.375,43.625,0.00171490867530212,1564,"Italian Exclusive Economic Zone"
9.625,43.625,0.00136176863467248,1564,"Italian Exclusive Economic Zone"
9.875,43.625,0.000296369385536916,1564,"Italian Exclusive Economic Zone"
10.125,43.625,0.00440545428601386,1564,"Italian Exclusive Economic Zone"
13.625,43.625,0.0558414932649738,1592,"Italian Exclusive Economic Zone"
13.875,43.625,0.0766712845588469,1592,"Italian Exclusive Economic Zone"
14.125,43.625,0.00730148502477516,1592,"Italian Exclusive Economic Zone"
14.375,43.625,0.000736241961276699,1592,"Italian Exclusive Economic Zone"
14.625,43.625,0.000503202401422948,1592,"Croatian Exclusive Economic Zone"
14.875,43.625,3.91419609942078e-05,1592,"Croatian Exclusive Economic Zone"
15.125,43.625,0.0021300268102304,1620,"Croatian Exclusive Economic Zone"
15.375,43.625,0.00629881518112954,1620,"Croatian Exclusive Economic Zone"
15.625,43.625,0.000754651676854896,1620,"Croatian Exclusive Economic Zone"
15.875,43.625,0.00117185314339534,1620,"Croatian Exclusive Economic Zone"
3.875,43.375,0.121704179294929,1535,"French Exclusive Economic Zone"
4.125,43.375,0.0834248228445363,1535,"French Exclusive Economic Zone"
4.375,43.375,0.458430952501823,1536,"French Exclusive Economic Zone"
6.875,43.375,0.0202456845389406,1536,"French Exclusive Economic Zone"
7.125,43.375,0.00421764277539542,1536,"French Exclusive Economic Zone"
7.375,43.375,0.0069398668545813,1536,"French Exclusive Economic Zone"
7.625,43.375,0.00477588563240536,1564,"French Exclusive Economic Zone"
7.875,43.375,0.00384967085347064,1564,"Italian Exclusive Economic Zone"
8.125,43.375,0.00340162488207575,1564,"Italian Exclusive Economic Zone"
9.125,43.375,0.000861545773576861,1564,"French Exclusive Economic Zone"
9.375,43.375,0.00154144671552753,1564,"Italian Exclusive Economic Zone"
9.625,43.375,0.00308720446208351,1564,"Italian Exclusive Economic Zone"
9.875,43.375,0.000593489049503465,1564,"Italian Exclusive Economic Zone"
10.125,43.375,0.00435584714884759,1564,"Italian Exclusive Economic Zone"
10.375,43.375,0.00470964516577082,1564,"Italian Exclusive Economic Zone"
13.875,43.375,0.104063313953702,1592,"Italian Exclusive Economic Zone"
