"Species","EEZ","p2","p4","Average","Max"
"Carcinus maenas","Belgian Exclusive Economic Zone",0,0,0.142426703001984,0.458263659437136
"Carcinus maenas","Canadian Exclusive Economic Zone",0,0,0.316819457024354,1.74247416688606
"Carcinus maenas","Danish Exclusive Economic Zone",0,0,0.0379455979022926,0.838223006624808
"Carcinus maenas","Dutch Exclusive Economic Zone",0,0,0.0602263739687771,0.998084122669912
"Carcinus maenas","Faeroe Exclusive Economic Zone",0.00809716599190283,0,0.0429018634823346,2.87075849990567
"Carcinus maenas","French Exclusive Economic Zone",0,0,0.0242538009886121,0.522407557146854
"Carcinus maenas","German Exclusive Economic Zone",0,0,0.0522740649075816,0.838223006624808
"Carcinus maenas","Greek Exclusive Economic Zone",0,0,0.883878823168594,0.955771073629663
"Carcinus maenas","Greenlandic Exclusive Economic Zone",0,0,0.0282727167926165,0.58467524627932
"Carcinus maenas","Guernsey Exclusive Economic Zone",0,0,0.0270898376656666,0.0887740854816745
"Carcinus maenas","Icelandic Exclusive Economic Zone",0.00615384615384615,0,0.0565264401379243,2.87075849990567
"Carcinus maenas","Irish Exclusive Economic Zone",0,0,0.0162972443503935,0.114677678216408
"Carcinus maenas","Jersey Exclusive Economic Zone",0,0,0.076990968960033,0.0974902418438429
"Carcinus maenas","Joint regime area Sweden / Norway",0,0,0.101817016947808,0.16673979563103
"Carcinus maenas","Joint regime area United Kingdom / Denmark (Faeroe Islands)",0,0,0.0175843312971178,0.0376569479502649
"Carcinus maenas","Libyan Exclusive Economic Zone",0,0,0.883878823168594,0.955771073629663
"Carcinus maenas","Moroccan Exclusive Economic Zone",0,0,0.0415629736509933,0.313105526274199
"Carcinus maenas","Norwegian Exclusive Economic Zone",0,0,0.0289060191330247,0.4355189236591
"Carcinus maenas","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0498212674038916,0.0498212674038916
"Carcinus maenas","Portuguese Exclusive Economic Zone",0,0,0.0652649845667161,0.343403277099422
"Carcinus maenas","Portuguese Exclusive Economic Zone (Azores)",0,0,0.0147278714911432,0.128823782095704
"Carcinus maenas","Spanish Exclusive Economic Zone",0,0,0.0309839211203584,0.343403277099422
"Carcinus maenas","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.00386759910904375,0.0106632029264799
"Carcinus maenas","Swedish Exclusive Economic Zone",0,0,0.11442429109841,0.838223006624808
"Carcinus maenas","United Kingdom Exclusive Economic Zone",0,0,0.0209661300728574,0.98801573075807
"Carcinus maenas","United States Exclusive Economic Zone",0,0,0.208217777578158,1.0372010798607
