"Species","EEZ","p2","p4","Average","Max"
"Cerastoderma glaucum","Albanian Exclusive Economic Zone",0,0,0.0765400540331129,0.552797087937244
"Cerastoderma glaucum","Algerian Exclusive Economic Zone",0,0,0.00258997048367004,0.0259762647071438
"Cerastoderma glaucum","Belgian Exclusive Economic Zone",0,0,0.142408086761037,0.458244667069375
"Cerastoderma glaucum","Bulgarian Exclusive Economic Zone",0,0,0.0753389018630208,0.446278992485546
"Cerastoderma glaucum","Croatian Exclusive Economic Zone",0,0,0.0690051349478253,0.787307982993534
"Cerastoderma glaucum","Cypriote Exclusive Economic Zone",0,0,0.0705533766673346,0.208273585266022
"Cerastoderma glaucum","Danish Exclusive Economic Zone",0,0,0.0641729845138727,0.672011404474621
"Cerastoderma glaucum","Dutch Exclusive Economic Zone",0,0,0.0602204929924202,0.998069911046061
"Cerastoderma glaucum","Egyptian Exclusive Economic Zone",0,0,0.104917442935655,0.186327606909242
"Cerastoderma glaucum","Estonian Exclusive Economic Zone",0,0,0.0782493386359719,0.741993815443443
"Cerastoderma glaucum","Faeroe Exclusive Economic Zone",0,0,0.0390861498509444,0.760683907129918
"Cerastoderma glaucum","Finnish Exclusive Economic Zone",0,0,0.0637614865065637,1.13120314110499
"Cerastoderma glaucum","French Exclusive Economic Zone",0,0,0.0370063920641348,1.26189580629101
"Cerastoderma glaucum","Georgian Exclusive Economic Zone",0.0606060606060606,0,0.349414643426302,2.66721015788476
"Cerastoderma glaucum","German Exclusive Economic Zone",0,0,0.072880654117748,0.839215961059345
"Cerastoderma glaucum","Greek Exclusive Economic Zone",0,0,0.0877272839601849,1.55566731999959
"Cerastoderma glaucum","Guernsey Exclusive Economic Zone",0,0,0.0288986860830628,0.0887737568798617
"Cerastoderma glaucum","Icelandic Exclusive Economic Zone",0,0,0.0110220946140702,0.0156853154628255
"Cerastoderma glaucum","Irish Exclusive Economic Zone",0,0,0.0178228927398008,0.233789504528782
"Cerastoderma glaucum","Israeli Exclusive Economic Zone",0,0,0.0381735307114479,0.0785868055450098
"Cerastoderma glaucum","Italian Exclusive Economic Zone",0,0,0.0447273085996285,1.40351030586668
"Cerastoderma glaucum","Jersey Exclusive Economic Zone",0,0,0.076990067437623,0.0974895679826087
"Cerastoderma glaucum","Joint regime area Croatia / Slovenia",0,0,0.60916057021571,0.60916057021571
"Cerastoderma glaucum","Joint regime area Italy / France",0,0,1.44490595437165e-05,1.44490595437165e-05
"Cerastoderma glaucum","Joint regime area Sweden / Norway",0,0,0.101764147692952,0.166642409141633
"Cerastoderma glaucum","Joint regime area United Kingdom / Denmark (Faeroe Islands)",0,0,0.0455297480578932,0.0455297480578932
"Cerastoderma glaucum","Latvian Exclusive Economic Zone",0,0,0.11295505559027,0.450411600048028
"Cerastoderma glaucum","Lebanese Exclusive Economic Zone",0,0,0.117996204822846,0.213378645553967
"Cerastoderma glaucum","Libyan Exclusive Economic Zone",0,0,0.0379422904300588,0.46413910186533
"Cerastoderma glaucum","Lithuanian Exclusive Economic Zone",0,0,0.300622416342629,0.834616509592142
"Cerastoderma glaucum","Maltese Exclusive Economic Zone",0,0,0.00229796901655497,0.00838859013737918
"Cerastoderma glaucum","Monégasque Exclusive Economic Zone",0,0,0.00709705333263226,0.00942107399540889
"Cerastoderma glaucum","Montenegrin Exclusive economic Zone",0,0,0.0560560211288966,0.501687497026423
"Cerastoderma glaucum","Moroccan Exclusive Economic Zone",0,0,0.00402068844025306,0.0214357621907597
"Cerastoderma glaucum","Norwegian Exclusive Economic Zone",0,0,0.0457445539973307,0.655996298520288
"Cerastoderma glaucum","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.000991499073715874,0.000991499073715874
"Cerastoderma glaucum","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0419436224935496,0.0498234467948869
"Cerastoderma glaucum","Overlapping claim Melilla: Spain / Morocco",0,0,6.96624323269346e-05,6.96624323269346e-05
"Cerastoderma glaucum","Overlapping claim Ukrainian Exclusive Economic Zone",0,0,0.259530558168762,1.8487823372349
"Cerastoderma glaucum","Polish Exclusive Economic Zone",0,0,0.130300229371704,0.839215961059345
"Cerastoderma glaucum","Portuguese Exclusive Economic Zone",0,0,0.0728340791441712,0.343423442848111
"Cerastoderma glaucum","Romanian Exclusive economic Zone",0,0,0.413545210057654,1.6507498748941
"Cerastoderma glaucum","Russian Exclusive economic Zone",0,0,0.163308936823937,1.8487823372349
"Cerastoderma glaucum","Slovenian Exclusive Economic Zone",0,0,0.12345190317551,0.12345190317551
"Cerastoderma glaucum","Spanish Exclusive Economic Zone",0,0,0.0308840841508132,1.26189580629101
"Cerastoderma glaucum","Swedish Exclusive Economic Zone",0,0,0.0887100835401025,1.13120314110499
"Cerastoderma glaucum","Syrian Exclusive Economic Zone",0,0,0.805850543501011,0.95619759608888
"Cerastoderma glaucum","Tunisian Exclusive Economic Zone",0,0,0.0392572138365045,0.799915478162771
"Cerastoderma glaucum","Turkish Exclusive Economic Zone",0.04149377593361,0,0.260483870307349,3.13871799253796
"Cerastoderma glaucum","United Kingdom Exclusive Economic Zone",0,0,0.0300823459624515,0.760683907129918
