"x","y","sigmaNovelty","cell","EEZ"
-70.875,41.625,0.725864282440207,736,"United States Exclusive Economic Zone"
-71.375,41.375,0.00110056301732819,736,"United States Exclusive Economic Zone"
-71.125,41.375,0.256572815097499,736,"United States Exclusive Economic Zone"
-70.875,41.375,0.0751400957406498,736,"United States Exclusive Economic Zone"
-70.375,41.375,0.123096756742763,736,"United States Exclusive Economic Zone"
-71.375,41.125,0.241738488211827,736,"United States Exclusive Economic Zone"
-71.125,41.125,0.464030375457932,736,"United States Exclusive Economic Zone"
-70.875,41.125,0.162741808168964,736,"United States Exclusive Economic Zone"
-70.625,41.125,0.0752919378794323,736,"United States Exclusive Economic Zone"
-72.375,40.875,0.198588359443743,622,NA
-72.125,40.875,0.288975341899743,622,"United States Exclusive Economic Zone"
-71.125,40.875,0.163447304884823,736,"United States Exclusive Economic Zone"
-70.875,40.875,0.084531744414652,736,"United States Exclusive Economic Zone"
-73.875,40.625,0.173820611358779,622,"United States Exclusive Economic Zone"
-72.375,40.625,0.0386385250205016,622,"United States Exclusive Economic Zone"
-72.125,40.625,0.0934462191764215,622,"United States Exclusive Economic Zone"
-67.375,40.375,0.202924069099606,764,"United States Exclusive Economic Zone"
-67.125,40.375,0.278480988243944,764,"United States Exclusive Economic Zone"
-67.375,40.125,0.0370300207348439,764,"United States Exclusive Economic Zone"
-67.125,40.125,0.335282778549168,764,"United States Exclusive Economic Zone"
-75.375,39.125,0.0941629210522002,649,"United States Exclusive Economic Zone"
-75.125,39.125,0.079778466617939,649,"United States Exclusive Economic Zone"
-74.625,39.125,0.0393742562918588,649,"United States Exclusive Economic Zone"
-75.125,38.875,0.0877273230549859,649,"United States Exclusive Economic Zone"
-74.875,38.875,0.0568005327315065,649,"United States Exclusive Economic Zone"
-74.875,38.625,0.0376000672618617,649,"United States Exclusive Economic Zone"
-74.875,38.375,0.0359178337225493,649,"United States Exclusive Economic Zone"
-74.625,38.375,0.0339703449572469,649,"United States Exclusive Economic Zone"
-71.875,38.375,0.00408897128296225,735,"United States Exclusive Economic Zone"
-71.625,38.375,0.00621449544178675,735,"United States Exclusive Economic Zone"
-76.125,38.125,0.236312048946709,676,"United States Exclusive Economic Zone"
-75.875,38.125,0.225005824539439,676,"United States Exclusive Economic Zone"
-75.125,38.125,0.00596165965126663,734,"United States Exclusive Economic Zone"
-74.875,38.125,0.0214007789882939,734,"United States Exclusive Economic Zone"
-74.625,38.125,0.00139189994324842,734,"United States Exclusive Economic Zone"
-71.875,38.125,0.0098515414108519,735,"United States Exclusive Economic Zone"
-71.625,38.125,0.0131410428725844,735,"United States Exclusive Economic Zone"
-76.125,37.875,0.253969327926416,676,"United States Exclusive Economic Zone"
-75.875,37.875,0.26643716419649,676,"United States Exclusive Economic Zone"
-75.375,37.875,0.0233051658770492,676,"United States Exclusive Economic Zone"
-75.125,37.875,0.047350451585586,734,"United States Exclusive Economic Zone"
-74.875,37.875,0.0213595928892769,734,"United States Exclusive Economic Zone"
-76.125,37.625,0.295554120703294,676,"United States Exclusive Economic Zone"
-75.625,37.625,0.308651122681246,676,"United States Exclusive Economic Zone"
-75.375,37.625,0.00162666817936981,734,"United States Exclusive Economic Zone"
-76.375,37.375,0.157819811260215,676,"United States Exclusive Economic Zone"
-76.125,37.375,0.298017972978431,676,"United States Exclusive Economic Zone"
-75.625,37.375,0.355894728450587,676,"United States Exclusive Economic Zone"
-75.375,37.375,0.296393676115541,734,"United States Exclusive Economic Zone"
-75.125,37.375,0.0382258928389265,734,"United States Exclusive Economic Zone"
-76.625,37.125,0.332394318894545,676,NA
-76.125,37.125,0.288400604735656,676,"United States Exclusive Economic Zone"
-75.875,37.125,0.281025089428905,676,"United States Exclusive Economic Zone"
-75.625,37.125,0.241644653554925,676,"United States Exclusive Economic Zone"
-75.375,37.125,0.0643904126915316,734,"United States Exclusive Economic Zone"
-75.125,37.125,0.0394767176598577,734,"United States Exclusive Economic Zone"
-74.875,37.125,0.0465310860231688,734,"United States Exclusive Economic Zone"
-75.875,36.875,0.0557172967736816,676,"United States Exclusive Economic Zone"
