"x","y","sigmaNovelty","cell","EEZ"
17.125,74.875,1.6235547609396,3133,"Svalbard Exclusive Economic Zone"
17.375,74.875,1.26804325893029,3133,"Svalbard Exclusive Economic Zone"
17.125,74.625,5.42208524964851,3133,"Svalbard Exclusive Economic Zone"
17.375,74.625,0.967735818383358,3133,"Svalbard Exclusive Economic Zone"
21.875,71.125,0.0167362674960426,3079,"Norwegian Exclusive Economic Zone"
22.125,71.125,0.0177634562433842,3079,"Norwegian Exclusive Economic Zone"
22.375,71.125,0.00520153122632302,3079,"Norwegian Exclusive Economic Zone"
22.625,71.125,0.00107765379090465,3078,"Norwegian Exclusive Economic Zone"
22.875,71.125,0.000499279713594708,3078,"Norwegian Exclusive Economic Zone"
23.125,71.125,0.000281919277692286,3078,"Norwegian Exclusive Economic Zone"
23.375,71.125,0.000136199030958242,3078,"Norwegian Exclusive Economic Zone"
23.625,71.125,0.00222369126062578,3078,"Norwegian Exclusive Economic Zone"
23.875,71.125,0.00131652033416835,3078,"Norwegian Exclusive Economic Zone"
24.125,71.125,0.0031807857896325,3078,"Norwegian Exclusive Economic Zone"
21.625,70.875,0.00428727322834266,3079,"Norwegian Exclusive Economic Zone"
21.875,70.875,0.000423245550947088,3079,"Norwegian Exclusive Economic Zone"
22.125,70.875,0.00233500687369091,3079,"Norwegian Exclusive Economic Zone"
22.375,70.875,0.0185225955083779,3079,"Norwegian Exclusive Economic Zone"
22.625,70.875,0.0269256055356683,3079,"Norwegian Exclusive Economic Zone"
22.875,70.875,0.00794101334757445,3078,"Norwegian Exclusive Economic Zone"
23.125,70.875,0.000622174777818695,3078,"Norwegian Exclusive Economic Zone"
23.375,70.875,0.000568555972737312,3078,"Norwegian Exclusive Economic Zone"
23.625,70.875,0.00534644001415962,3078,"Norwegian Exclusive Economic Zone"
23.875,70.875,0.0183477967346518,3078,"Norwegian Exclusive Economic Zone"
24.125,70.875,0.00868605890833961,3078,"Norwegian Exclusive Economic Zone"
24.375,70.875,0.0230127901326879,3078,"Norwegian Exclusive Economic Zone"
18.375,70.625,0.0207880917157368,3079,"Norwegian Exclusive Economic Zone"
18.625,70.625,0.0193363452029964,3079,"Norwegian Exclusive Economic Zone"
18.875,70.625,0.0261382805887757,3079,"Norwegian Exclusive Economic Zone"
19.125,70.625,0.0151436018590544,3079,"Norwegian Exclusive Economic Zone"
19.375,70.625,0.00802339813102484,3079,"Norwegian Exclusive Economic Zone"
19.625,70.625,0.00871569298010191,3079,"Norwegian Exclusive Economic Zone"
19.875,70.625,0.0101640575417383,3079,"Norwegian Exclusive Economic Zone"
20.125,70.625,0.0197824427181801,3079,"Norwegian Exclusive Economic Zone"
20.375,70.625,0.0303417377915788,3079,"Norwegian Exclusive Economic Zone"
20.625,70.625,0.0216931358395693,3079,"Norwegian Exclusive Economic Zone"
21.375,70.625,0.00945861395841595,3079,"Norwegian Exclusive Economic Zone"
21.625,70.625,0.00801051991908455,3079,"Norwegian Exclusive Economic Zone"
21.875,70.625,0.00623635969189319,3079,"Norwegian Exclusive Economic Zone"
23.125,70.625,0.0323092094942625,3079,"Norwegian Exclusive Economic Zone"
23.375,70.625,0.018149329391633,3078,"Norwegian Exclusive Economic Zone"
23.625,70.625,0.0240116118125171,3078,"Norwegian Exclusive Economic Zone"
24.125,70.625,0.0200420971069496,3078,"Norwegian Exclusive Economic Zone"
18.125,70.375,0.0127609845653108,3079,"Norwegian Exclusive Economic Zone"
18.375,70.375,0.0122083334658714,3079,"Norwegian Exclusive Economic Zone"
18.625,70.375,0.0121496575845639,3079,"Norwegian Exclusive Economic Zone"
18.875,70.375,0.0106417865825168,3079,"Norwegian Exclusive Economic Zone"
19.125,70.375,0.0128076034595302,3079,"Norwegian Exclusive Economic Zone"
19.375,70.375,0.022764572087549,3079,"Norwegian Exclusive Economic Zone"
19.625,70.375,0.0196926953972049,3079,"Norwegian Exclusive Economic Zone"
19.875,70.375,0.02897186034514,3079,"Norwegian Exclusive Economic Zone"
20.125,70.375,0.0296232837602465,3079,"Norwegian Exclusive Economic Zone"
20.375,70.375,0.0325107272665789,3079,"Norwegian Exclusive Economic Zone"
20.625,70.375,0.021894664241506,3079,"Norwegian Exclusive Economic Zone"
20.875,70.375,0.0128745628197318,3079,"Norwegian Exclusive Economic Zone"
21.375,70.375,0.0223872583955095,3079,"Norwegian Exclusive Economic Zone"
21.625,70.375,0.021043223266009,3079,"Norwegian Exclusive Economic Zone"
21.875,70.375,0.0205144110306169,3079,"Norwegian Exclusive Economic Zone"
22.125,70.375,0.0110044943611487,3079,"Norwegian Exclusive Economic Zone"
22.375,70.375,0.00153259979520036,3079,"Norwegian Exclusive Economic Zone"
22.875,70.375,0.0247513939717825,3079,"Norwegian Exclusive Economic Zone"
17.375,70.125,0.000184958236418879,3079,"Norwegian Exclusive Economic Zone"
17.625,70.125,8.96475980343829e-05,3079,"Norwegian Exclusive Economic Zone"
17.875,70.125,0.0021364328772892,3079,"Norwegian Exclusive Economic Zone"
18.125,70.125,0.00455921657496442,3079,"Norwegian Exclusive Economic Zone"
18.375,70.125,0.00931743615108926,3079,"Norwegian Exclusive Economic Zone"
18.625,70.125,0.0218123463349485,3079,"Norwegian Exclusive Economic Zone"
18.875,70.125,0.0125918904491592,3079,"Norwegian Exclusive Economic Zone"
19.625,70.125,0.0470991393784659,3079,"Norwegian Exclusive Economic Zone"
20.125,70.125,0.0428425997534412,3079,"Norwegian Exclusive Economic Zone"
20.375,70.125,0.0811411158942343,3079,"Norwegian Exclusive Economic Zone"
21.125,70.125,0.081073564798867,3079,"Norwegian Exclusive Economic Zone"
21.375,70.125,0.0292852169840055,3079,"Norwegian Exclusive Economic Zone"
23.125,70.125,0.08242060766395,3051,"Norwegian Exclusive Economic Zone"
17.125,69.875,0.000153539816194342,3079,"Norwegian Exclusive Economic Zone"
17.375,69.875,0.00229044826456481,3079,"Norwegian Exclusive Economic Zone"
17.625,69.875,0.000993442316764253,3079,"Norwegian Exclusive Economic Zone"
17.875,69.875,0.000565001184863286,3079,"Norwegian Exclusive Economic Zone"
18.125,69.875,0.00540486709353435,3079,"Norwegian Exclusive Economic Zone"
18.375,69.875,0.0211333755788618,3079,"Norwegian Exclusive Economic Zone"
18.625,69.875,0.00295363952386259,3079,"Norwegian Exclusive Economic Zone"
18.875,69.875,0.00324610270966661,3079,"Norwegian Exclusive Economic Zone"
19.875,69.875,0.0465636724050242,3079,"Norwegian Exclusive Economic Zone"
15.375,69.625,0.151163257918842,24,"Norwegian Exclusive Economic Zone"
15.625,69.625,0.155060154647588,24,"Norwegian Exclusive Economic Zone"
15.875,69.625,0.164961221636209,3052,"Norwegian Exclusive Economic Zone"
16.125,69.625,0.147240997276329,3052,"Norwegian Exclusive Economic Zone"
16.375,69.625,0.0405279218650788,3052,"Norwegian Exclusive Economic Zone"
16.625,69.625,0.00980035720365532,3052,"Norwegian Exclusive Economic Zone"
16.875,69.625,0.000477489880573367,3052,"Norwegian Exclusive Economic Zone"
17.125,69.625,0.00047237531458162,3079,"Norwegian Exclusive Economic Zone"
17.375,69.625,0.00655862281970882,3079,"Norwegian Exclusive Economic Zone"
17.625,69.625,0.00496469176998625,3079,"Norwegian Exclusive Economic Zone"
17.875,69.625,0.00767017185781745,3079,"Norwegian Exclusive Economic Zone"
18.125,69.625,0.0253743457161488,3079,"Norwegian Exclusive Economic Zone"
18.875,69.625,0.00573236545867231,3079,"Norwegian Exclusive Economic Zone"
15.125,69.375,0.234390325409655,24,"Norwegian Exclusive Economic Zone"
15.375,69.375,0.187912939069574,3052,"Norwegian Exclusive Economic Zone"
15.625,69.375,0.117314026328675,3052,"Norwegian Exclusive Economic Zone"
15.875,69.375,0.106680895440803,3052,"Norwegian Exclusive Economic Zone"
16.125,69.375,0.0367379896061204,3052,"Norwegian Exclusive Economic Zone"
16.375,69.375,0.0100311966368435,3052,"Norwegian Exclusive Economic Zone"
16.625,69.375,0.00637032278179788,3052,"Norwegian Exclusive Economic Zone"
17.375,69.375,0.0194781472980245,3052,"Norwegian Exclusive Economic Zone"
14.375,69.125,0.214102001833004,24,"Norwegian Exclusive Economic Zone"
14.625,69.125,0.236086778801988,24,"Norwegian Exclusive Economic Zone"
14.875,69.125,0.13626564992253,3052,"Norwegian Exclusive Economic Zone"
