"x","y","sigmaNovelty","cell","EEZ"
-80.875,-2.125,0.368208926202881,4051,"Ecuadorian Exclusive Economic Zone"
-81.125,-2.375,0.0287512363807072,4051,"Ecuadorian Exclusive Economic Zone"
-80.875,-2.375,0.104102217151342,4051,"Ecuadorian Exclusive Economic Zone"
-81.125,-2.625,0.00468833816327065,4051,"Ecuadorian Exclusive Economic Zone"
-80.875,-2.625,0.0601985739392847,4051,"Ecuadorian Exclusive Economic Zone"
-80.625,-2.625,0.351653372287225,4051,"Ecuadorian Exclusive Economic Zone"
-80.125,-2.625,0.417569565893093,4051,"Ecuadorian Exclusive Economic Zone"
-81.125,-2.875,0.00662856916496149,4051,"Ecuadorian Exclusive Economic Zone"
-80.875,-2.875,0.100493114699391,4051,"Ecuadorian Exclusive Economic Zone"
-80.625,-2.875,0.0901614632967671,4051,"Ecuadorian Exclusive Economic Zone"
-80.375,-2.875,0.448795945104145,4051,"Ecuadorian Exclusive Economic Zone"
-80.125,-2.875,0.0886517339054505,4051,NA
-79.875,-2.875,0.0628853257407775,4051,"Ecuadorian Exclusive Economic Zone"
-81.125,-3.125,0.0490958432629288,4051,"Ecuadorian Exclusive Economic Zone"
-80.875,-3.125,0.460530775200451,4051,"Ecuadorian Exclusive Economic Zone"
-80.625,-3.125,0.166092896226913,4051,"Ecuadorian Exclusive Economic Zone"
-80.375,-3.125,0.0868611950452536,4051,"Ecuadorian Exclusive Economic Zone"
-80.125,-3.125,0.0534913675881667,4051,"Ecuadorian Exclusive Economic Zone"
-81.125,-3.375,0.189608456889911,4051,"Ecuadorian Exclusive Economic Zone"
-80.875,-3.375,0.305115074766283,4051,"Ecuadorian Exclusive Economic Zone"
-80.625,-3.375,0.139193129304106,4051,"Ecuadorian Exclusive Economic Zone"
-80.375,-3.375,0.526244160021097,4051,"Ecuadorian Exclusive Economic Zone"
-81.375,-3.625,0.303159741200544,4051,"Peruvian Exclusive Economic Zone"
-81.125,-3.625,0.0680533143379984,4051,"Peruvian Exclusive Economic Zone"
-80.875,-3.625,0.284727627392629,4078,"Peruvian Exclusive Economic Zone"
-80.625,-3.625,0.600966674792716,4078,"Peruvian Exclusive Economic Zone"
-81.625,-3.875,0.208475330218656,4078,"Peruvian Exclusive Economic Zone"
-81.375,-3.875,0.180793279043654,4078,"Peruvian Exclusive Economic Zone"
-81.125,-3.875,0.151223696585151,4078,"Peruvian Exclusive Economic Zone"
-80.875,-3.875,0.0420546211574416,4078,"Peruvian Exclusive Economic Zone"
-81.625,-4.125,0.0808691612578878,4078,"Peruvian Exclusive Economic Zone"
-81.375,-4.125,0.290503997125213,4078,"Peruvian Exclusive Economic Zone"
-81.125,-4.125,0.106089847810156,4078,"Peruvian Exclusive Economic Zone"
-81.375,-4.375,0.713467248080505,4078,"Peruvian Exclusive Economic Zone"
-81.125,-5.375,0.187577490636657,4078,"Peruvian Exclusive Economic Zone"
-81.375,-5.625,0.0425516254251333,4078,"Peruvian Exclusive Economic Zone"
-81.125,-5.625,0.400866523269536,4078,"Peruvian Exclusive Economic Zone"
-80.875,-5.625,0.665994190363814,4078,"Peruvian Exclusive Economic Zone"
-81.375,-5.875,0.752568668601105,4078,"Peruvian Exclusive Economic Zone"
-81.125,-6.125,0.47525476501266,4105,"Peruvian Exclusive Economic Zone"
-80.625,-6.375,0.789229338071775,4105,NA
-80.875,-6.625,0.00190174805586273,4105,"Peruvian Exclusive Economic Zone"
-80.625,-6.625,0.25037695891945,4105,"Peruvian Exclusive Economic Zone"
-80.375,-6.625,0.189995195629481,4105,"Peruvian Exclusive Economic Zone"
-81.125,-6.875,0.364940242772694,4105,"Peruvian Exclusive Economic Zone"
-80.875,-6.875,0.0796690061762726,4105,"Peruvian Exclusive Economic Zone"
-80.625,-6.875,0.293216738048597,4105,"Peruvian Exclusive Economic Zone"
-80.375,-6.875,0.0724854839838899,4105,"Peruvian Exclusive Economic Zone"
-80.125,-6.875,0.139468025335503,4105,"Peruvian Exclusive Economic Zone"
-81.125,-7.125,0.418464120554828,4105,"Peruvian Exclusive Economic Zone"
-80.875,-7.125,0.445112392717421,4105,"Peruvian Exclusive Economic Zone"
-80.625,-7.125,0.444734665356964,4105,"Peruvian Exclusive Economic Zone"
-80.375,-7.125,0.183302046160518,4105,"Peruvian Exclusive Economic Zone"
-80.125,-7.125,0.356278672816518,4105,"Peruvian Exclusive Economic Zone"
