"Species","EEZ","p2","p4","Average","Max"
"Crassostrea rhizophorae","Anguilla Exclusive Economic Zone",0,0,6.81418779439935e-05,0.000138055912934555
"Crassostrea rhizophorae","Antigua and Barbuda Exclusive Economic Zone",0,0,2.64060595744363e-05,6.94679896997553e-05
"Crassostrea rhizophorae","Aruban Exclusive Economic Zone",0,0,0.000386945902907142,0.00188429230673272
"Crassostrea rhizophorae","Bahamas Exclusive Economic Zone",0,0,0.00719124201015954,0.16370129410787
"Crassostrea rhizophorae","Barbados Exclusive Economic Zone",0,0,0.000203539318845952,0.00165647296671852
"Crassostrea rhizophorae","Belizean Exclusive Economic Zone",0,0,0.0115465742405435,0.106030376688375
"Crassostrea rhizophorae","Bonaire Exclusive Economic Zone",0,0,0.000296183316081813,0.00165497991854323
"Crassostrea rhizophorae","Brazilian Exclusive Economic Zone",0,0,0.0145074521007246,0.22946279504691
"Crassostrea rhizophorae","British Virgin Islands Exclusive Economic Zone",0,0,0.000324991928262513,0.000753158416659917
"Crassostrea rhizophorae","Cayman Islands Exclusive Economic Zone",0,0,0.00986597334735838,0.0123791247665046
"Crassostrea rhizophorae","Colombian Exclusive Economic Zone",0,0,0.0323404372407269,0.496373268729651
"Crassostrea rhizophorae","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,0.000238805186901797,0.000238805186901797
"Crassostrea rhizophorae","Colombian Exclusive Economic Zone (Quitasueño)",0,0,0.00134379434719159,0.00161041674786562
"Crassostrea rhizophorae","Colombian Exclusive Economic Zone (Serrana)",0,0,0.00061011632481114,0.000829522388938631
"Crassostrea rhizophorae","Costa Rican Exclusive Economic Zone",0,0,0.00295413782527507,0.0546118112283119
"Crassostrea rhizophorae","Cuban Exclusive Economic Zone",0,0,0.0125846352046799,0.278597646972864
"Crassostrea rhizophorae","Curaçaoan Exclusive Economic Zone",0,0,0.000316007468754342,0.00188429230673272
"Crassostrea rhizophorae","Dominican Exclusive Economic Zone",0,0,3.86161414353582e-05,0.000287418520170073
"Crassostrea rhizophorae","Dominican Republic Exclusive Economic Zone",0,0,0.000779469952483905,0.00486000427731926
"Crassostrea rhizophorae","French Guiana Exclusive Economic Zone",0,0,0.00673248252459032,0.125902437091487
"Crassostrea rhizophorae","Grenadian Exclusive Economic Zone",0,0,0.00206932947535484,0.0347662945135473
"Crassostrea rhizophorae","Guadeloupean Exclusive Economic Zone",0,0,3.50786942511529e-05,0.000287418520170073
"Crassostrea rhizophorae","Guatemalan Exclusive Economic Zone",0,0,0.18894071697645,0.33350230375081
"Crassostrea rhizophorae","Guyanese Exclusive Economic Zone",0,0,0.00700955844054166,0.173800019950612
"Crassostrea rhizophorae","Haitian Exclusive Economic Zone",0,0,0.000676186446193386,0.00266416418965249
"Crassostrea rhizophorae","Honduran Exclusive Economic Zone",0,0,0.0188913133933977,0.111550428982085
"Crassostrea rhizophorae","Jamaican Exclusive Economic Zone",0,0,0.00226707436746327,0.0108742545399698
"Crassostrea rhizophorae","Joint regime area Colombia / Jamaica",0,0,0.000219543676635025,0.000238805186901797
"Crassostrea rhizophorae","Martinican Exclusive Economic Zone",0,0,3.60301583643125e-05,0.000287418520170073
"Crassostrea rhizophorae","Mexican Exclusive Economic Zone",0,0,0.0102327881026243,0.33350230375081
"Crassostrea rhizophorae","Montserrat Exclusive Economic Zone",0,0,2.98272697164965e-05,7.31656073940899e-05
"Crassostrea rhizophorae","Nicaraguan Exclusive Economic Zone",0,0,0.0241696952864525,0.33350230375081
"Crassostrea rhizophorae","Panamanian Exclusive Economic Zone",0,0,0.0101354975908103,0.259345064414277
"Crassostrea rhizophorae","Puerto Rican Exclusive Economic Zone",0,0,0.000642898769681471,0.00352367430430355
"Crassostrea rhizophorae","Saba Exclusive Economic Zone",0,0,0.000487221550579283,0.000878933577192763
"Crassostrea rhizophorae","Saint Kitts and Nevis Exclusive Economic Zone",0,0,0.000197231070692266,0.000667399105003451
"Crassostrea rhizophorae","Saint Lucia Exclusive Economic Zone",0,0,0.00064893093067861,0.00178114872765737
"Crassostrea rhizophorae","Saint Vincent and the Grenadines Exclusive Economic Zone",0,0,0.000627160181128935,0.00178114872765737
"Crassostrea rhizophorae","Saint-Martin Exclusive Economic Zone",0,0,8.69676890782812e-05,0.000138055912934555
"Crassostrea rhizophorae","Sint-Eustatius Exclusive Economic Zone",0,0,0.000265309292335338,0.000667399105003451
"Crassostrea rhizophorae","Surinamese Exclusive Economic Zone",0,0,0.00438320828350978,0.125902437091487
"Crassostrea rhizophorae","Trinidad and Tobago Exclusive Economic Zone",0,0,0.00300125007931197,0.0297751850017374
"Crassostrea rhizophorae","Turks and Caicos Exclusive Economic Zone",0,0,0.00115617178461681,0.00271721639101564
"Crassostrea rhizophorae","United States Exclusive Economic Zone",0,0,0.00799512280556346,0.16370129410787
"Crassostrea rhizophorae","Venezuelan Exclusive Economic Zone",0,0,0.0112837934006668,0.689438305945044
"Crassostrea rhizophorae","Virgin Islander Exclusive Economic Zone",0,0,0.00051182866891618,0.00111059547470385
