"Species","EEZ","p2","p4","Average","Max"
"Crassostrea virginica","Algerian Exclusive Economic Zone",0,0,0.00577994289864302,0.0819639300686843
"Crassostrea virginica","Argentinean Exclusive Economic Zone",0,0,0.0407554905886871,1.16071530470066
"Crassostrea virginica","Aruban Exclusive Economic Zone",0,0,0.00259115033998604,0.0126343574096616
"Crassostrea virginica","Bahamas Exclusive Economic Zone",0,0,0.00657294574782689,0.163723972581539
"Crassostrea virginica","Barbados Exclusive Economic Zone",0,0,0.000473074612154622,0.00291588916000736
"Crassostrea virginica","Belizean Exclusive Economic Zone",0,0,0.0116360363415244,0.106031010010383
"Crassostrea virginica","Bermudian Exclusive Economic Zone",0,0,0.026650168810967,0.0414990455346881
"Crassostrea virginica","Bonaire Exclusive Economic Zone",0,0,0.00232148157077372,0.0140855305545417
"Crassostrea virginica","Brazilian Exclusive Economic Zone",0,0,0.0415717148257542,0.729496216237769
"Crassostrea virginica","British Virgin Islands Exclusive Economic Zone",0,0,0.0102037703963822,0.0102037703963822
"Crassostrea virginica","Canadian Exclusive Economic Zone",0.00167785234899329,0,0.0770576178467168,2.57794500745522
"Crassostrea virginica","Cayman Islands Exclusive Economic Zone",0,0,0.00754904516486208,0.00754904516486208
"Crassostrea virginica","Chilean Exclusive Economic Zone",0,0,0.0676740644406527,1.0817355928369
"Crassostrea virginica","Colombian Exclusive Economic Zone",0,0,0.034915854406211,0.496342663753971
"Crassostrea virginica","Colombian Exclusive Economic Zone (Quitasueño)",0,0,0.00134418080918585,0.00161089410244431
"Crassostrea virginica","Costa Rican Exclusive Economic Zone",0,0,0.00352060427726133,0.0752277172181458
"Crassostrea virginica","Croatian Exclusive Economic Zone",0,0,0.158212797457553,0.787304170554595
"Crassostrea virginica","Cuban Exclusive Economic Zone",0,0,0.013010190524972,0.2785044531554
"Crassostrea virginica","Curaçaoan Exclusive Economic Zone",0,0,0.00326178450714679,0.0140855305545417
"Crassostrea virginica","Dominican Exclusive Economic Zone",0,0,2.83409190373058e-05,0.000194100982353305
"Crassostrea virginica","Dominican Republic Exclusive Economic Zone",0,0,0.00582010972290858,0.0148169048645532
"Crassostrea virginica","Egyptian Exclusive Economic Zone",0,0,0.0350902957729104,0.076141442319209
"Crassostrea virginica","French Guiana Exclusive Economic Zone",0,0,0.00418382442536816,0.166409285445352
"Crassostrea virginica","Greek Exclusive Economic Zone",0,0,0.0584727742178284,0.303253320753404
"Crassostrea virginica","Grenadian Exclusive Economic Zone",0,0,0.00181072794367283,0.034759370781949
"Crassostrea virginica","Guadeloupean Exclusive Economic Zone",0,0,2.39664357747772e-05,5.66462885411629e-05
"Crassostrea virginica","Guatemalan Exclusive Economic Zone",0,0,0.188943960826902,0.333507796864134
"Crassostrea virginica","Guyanese Exclusive Economic Zone",0,0,0.00613338334850649,0.173789497574044
"Crassostrea virginica","Honduran Exclusive Economic Zone",0,0,0.0166366620521964,0.0975317194712281
"Crassostrea virginica","Italian Exclusive Economic Zone",0,0,0.148782535482936,1.4035235741413
"Crassostrea virginica","Jamaican Exclusive Economic Zone",0,0,0.00192172198390591,0.00494004401800722
