"Species","EEZ","p2","p4","Average","Max"
"Cromileptes altivelis","Australian Exclusive Economic Zone",0,0,0.00344308155562147,0.115765829484224
"Cromileptes altivelis","Bruneian Exclusive Economic Zone",0,0,0.000401736609260689,0.00990223443108224
"Cromileptes altivelis","Cambodian Exclusive Economic Zone",0,0,0.00136052638188746,0.0138753248078109
"Cromileptes altivelis","Chinese Exclusive Economic Zone",0,0,0.0172484744545471,1.58778201161561
"Cromileptes altivelis","Christmas Island Exclusive Economic Zone",0,0,0.000256913308040855,0.000565057583431552
"Cromileptes altivelis","Cocos Islands Exclusive Economic Zone",0,0,0.00180325700356029,0.00783168763707487
"Cromileptes altivelis","East Timorian Exclusive Economic Zone",0,0,0.00282691066529559,0.0149839813474032
"Cromileptes altivelis","Guam Exclusive Economic Zone",0,0,6.17874850777813e-05,0.000327173310750306
"Cromileptes altivelis","Indian Exclusive Economic Zone",0,0,0.0228074688536903,0.611046207506233
"Cromileptes altivelis","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.00161540213618347,0.0202850647350691
"Cromileptes altivelis","Indonesian Exclusive Economic Zone",0,0,0.00293229270402337,0.562085845604936
"Cromileptes altivelis","Japanese Exclusive Economic Zone",0,0,0.0114601686774075,1.16830318856656
"Cromileptes altivelis","Joint regime area Australia / Papua New Guinea",0,0,0.000361124069787351,0.00110202400244369
"Cromileptes altivelis","Joint regime area Japan / Korea",0,0,0.000627270867667053,0.00310194546817271
"Cromileptes altivelis","Malaysian Exclusive Economic Zone",0,0,0.0022065201811864,0.368228566916931
"Cromileptes altivelis","Maldives Exclusive Economic Zone",0,0,0.00042150580960683,0.00122705442073765
"Cromileptes altivelis","Marshall Islands Exclusive Economic Zone",0,0,0.000312292655397023,0.00411903604002129
"Cromileptes altivelis","Micronesian Exclusive Economic Zone",0,0,0.00114464988740489,0.0194515562012659
"Cromileptes altivelis","Myanmar Exclusive Economic Zone",0,0,0.00332869044377775,0.055549785463237
"Cromileptes altivelis","Nauruan Exclusive Economic Zone",0,0,0.00150939711515548,0.00655238246245465
"Cromileptes altivelis","New Caledonian Exclusive Economic Zone",0,0,0.000181159493736403,0.00882455860490853
"Cromileptes altivelis","Northern Mariana Exclusive Economic Zone",0,0,0.000280748795412362,0.00129824224047161
"Cromileptes altivelis","Oecussi Ambeno Exclusive Economic Zone",0,0,4.77938344000406e-05,7.72706332409247e-05
"Cromileptes altivelis","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,9.21071168968737e-05,0.000169460536196946
"Cromileptes altivelis","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.00195146442308642,0.0338200981458897
"Cromileptes altivelis","Overlapping claim South China Sea",0,0,0.000541349613019037,0.0058223583717932
"Cromileptes altivelis","Palau Exclusive Economic Zone",0,0,0.000739922691049883,0.00335962131386005
"Cromileptes altivelis","Papua New Guinean Exclusive Economic Zone",0,0,0.000579259624539712,0.129596383707904
"Cromileptes altivelis","Philippines Exclusive Economic Zone",0,0,0.00355510518555848,1.41727941845591
"Cromileptes altivelis","Solomon Islands Exclusive Economic Zone",0,0,0.00158144910763096,0.0283114990298691
"Cromileptes altivelis","South Korean Exclusive Economic Zone",0,0,0.0190156777264321,0.224744292955078
"Cromileptes altivelis","Sri Lankan Exclusive Economic Zone",0,0,0.0288662144589155,0.611046207506233
"Cromileptes altivelis","Taiwanese Exclusive Economic Zone",0,0,0.012914609320895,1.09803095094759
"Cromileptes altivelis","Thailand Exclusive Economic Zone",0,0,0.00521895711943631,0.308896411266662
"Cromileptes altivelis","Vanuatu Exclusive Economic Zone",0,0,0.00019199728508588,0.0016822868541603
"Cromileptes altivelis","Vietnamese Exclusive Economic Zone",0,0,0.0125363055889038,0.742313593800828
"Cromileptes altivelis","Wake Island Exclusive Economic Zone",0,0,0.000151433035066204,0.000341637756033324
