"Species","EEZ","p2","p4","Average","Max"
"Dentex dentex","Albanian Exclusive Economic Zone",0,0,0.0471970902498038,0.552827355473279
"Dentex dentex","Algerian Exclusive Economic Zone",0,0,0.000959118766062507,0.0245002139057986
"Dentex dentex","Bulgarian Exclusive Economic Zone",0,0,0.0977413602152054,0.863750735783288
"Dentex dentex","Croatian Exclusive Economic Zone",0,0,0.0634541847016713,0.787298120678082
"Dentex dentex","Cypriote Exclusive Economic Zone",0,0,0.015566974754871,0.27435956574078
"Dentex dentex","Egyptian Exclusive Economic Zone",0,0,0.0303253452363226,0.329407535755346
"Dentex dentex","French Exclusive Economic Zone",0,0,0.0256089815895173,1.26207784439375
"Dentex dentex","Greek Exclusive Economic Zone",0,0,0.0279895784467604,0.982915725754754
"Dentex dentex","Guernsey Exclusive Economic Zone",0,0,0.0271049380513783,0.0887272398807136
"Dentex dentex","Irish Exclusive Economic Zone",0,0,0.0172863923802266,0.356631019704599
"Dentex dentex","Israeli Exclusive Economic Zone",0,0,0.0341049921567584,0.220404476152213
"Dentex dentex","Italian Exclusive Economic Zone",0,0,0.0208595241469787,1.40350876152276
"Dentex dentex","Jersey Exclusive Economic Zone",0,0,0.0769456906640189,0.0974411031274427
"Dentex dentex","Joint regime area Croatia / Slovenia",0,0,0.609168033757183,0.609168033757183
"Dentex dentex","Joint regime area Italy / France",0,0,1.44785973214265e-05,1.44785973214265e-05
"Dentex dentex","Lebanese Exclusive Economic Zone",0,0,0.113278967477609,0.626969422502315
"Dentex dentex","Libyan Exclusive Economic Zone",0,0,0.00286771598818819,0.446730070879135
"Dentex dentex","Maltese Exclusive Economic Zone",0,0,0.000832574542095372,0.00458048211391742
"Dentex dentex","Mauritanian Exclusive Economic Zone",0,0,0.570013275167917,0.622573061915373
"Dentex dentex","Monégasque Exclusive Economic Zone",0,0,0.00491479091095623,0.00943967947767675
"Dentex dentex","Montenegrin Exclusive economic Zone",0,0,0.0365418789902021,0.501777943640669
"Dentex dentex","Moroccan Exclusive Economic Zone",0,0,0.0154471041463104,0.313069705264407
"Dentex dentex","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.000987249183747286,0.000987249183747286
"Dentex dentex","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.00802534289442922,0.0120793557733596
"Dentex dentex","Overlapping claim Melilla: Spain / Morocco",0,0,6.92960672623375e-05,6.92960672623375e-05
"Dentex dentex","Overlapping claim Ukrainian Exclusive Economic Zone",0,0,0.33947675962009,1.65071191221361
"Dentex dentex","Overlapping claim Western Saharan Exclusive Economic Zone",0,0,0.0437809070945773,0.622573061915373
"Dentex dentex","Palestinian Exclusive Economic Zone",0,0,0.0670759372356818,0.125756669527588
"Dentex dentex","Portuguese Exclusive Economic Zone",0,0,0.0440980638116429,0.343397155619007
"Dentex dentex","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.00169980782387297,0.0251303687604261
"Dentex dentex","Romanian Exclusive economic Zone",0,0,0.37002182564321,1.65071191221361
"Dentex dentex","Russian Exclusive economic Zone",0,0,0.312332855176071,1.65071191221361
"Dentex dentex","Slovenian Exclusive Economic Zone",0,0,0.123394689566995,0.123394689566995
"Dentex dentex","Spanish Exclusive Economic Zone",0,0,0.0182976567529749,1.26207784439375
"Dentex dentex","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.0165923158510616,0.285606097797398
"Dentex dentex","Syrian Exclusive Economic Zone",0,0,0.379995514920078,0.956204041203698
"Dentex dentex","Tunisian Exclusive Economic Zone",0,0,0.0284478508988039,0.798201849626858
"Dentex dentex","Turkish Exclusive Economic Zone",0.0308285163776493,0,0.202475461023235,3.12350381309723
"Dentex dentex","United Kingdom Exclusive Economic Zone",0,0,0.0280046362307345,0.205115232907066
