"x","y","sigmaNovelty","cell","EEZ"
127.875,39.875,0.539996798988792,3222,"North Korean Exclusive Economic Zone"
130.125,39.875,0.803311673849157,3249,"North Korean Exclusive Economic Zone"
130.375,39.875,0.960564413502673,3249,"North Korean Exclusive Economic Zone"
139.625,39.875,0.0751013451954379,3332,"Japanese Exclusive Economic Zone"
139.875,39.875,0.0285281989610986,3332,"Japanese Exclusive Economic Zone"
127.625,39.625,0.24536572535743,3222,"North Korean Exclusive Economic Zone"
127.875,39.625,0.183600966418871,3222,"North Korean Exclusive Economic Zone"
130.125,39.625,0.270771244450733,3249,"North Korean Exclusive Economic Zone"
130.375,39.625,0.479026978261994,3249,"North Korean Exclusive Economic Zone"
139.375,39.625,0.0344069839875744,3332,"Japanese Exclusive Economic Zone"
139.625,39.625,0.0332540724695227,3332,"Japanese Exclusive Economic Zone"
139.875,39.625,0.0485252607180199,3332,"Japanese Exclusive Economic Zone"
138.625,39.375,0.0732318131484611,3332,"Japanese Exclusive Economic Zone"
138.875,39.375,0.0363912612587779,3332,"Japanese Exclusive Economic Zone"
139.375,39.375,0.0209707804027007,3332,"Japanese Exclusive Economic Zone"
139.625,39.375,0.0595849144035051,3332,"Japanese Exclusive Economic Zone"
139.875,39.375,0.0695090444835341,3332,"Japanese Exclusive Economic Zone"
138.375,39.125,0.0117228523676922,3332,"Japanese Exclusive Economic Zone"
138.625,39.125,0.0116849273541839,3332,"Japanese Exclusive Economic Zone"
138.875,39.125,0.0180507785484673,3332,"Japanese Exclusive Economic Zone"
139.125,39.125,0.0134186096621265,3332,"Japanese Exclusive Economic Zone"
139.375,39.125,0.0352600345362279,3332,"Japanese Exclusive Economic Zone"
139.625,39.125,0.0790842237172033,3332,"Japanese Exclusive Economic Zone"
139.875,39.125,0.0895728358993751,3359,NA
141.875,39.125,0.391062003513484,3359,"Japanese Exclusive Economic Zone"
142.125,39.125,0.0249171709163782,3359,"Japanese Exclusive Economic Zone"
138.125,38.875,0.00976156826107549,3332,"Japanese Exclusive Economic Zone"
138.375,38.875,0.00629614996993415,3332,"Japanese Exclusive Economic Zone"
138.625,38.875,0.00911445164613592,3332,"Japanese Exclusive Economic Zone"
138.875,38.875,0.0160262995243267,3332,"Japanese Exclusive Economic Zone"
139.125,38.875,0.0245959928162737,3332,"Japanese Exclusive Economic Zone"
139.375,38.875,0.0670079012952006,3332,"Japanese Exclusive Economic Zone"
139.625,38.875,0.0675237334988052,3359,"Japanese Exclusive Economic Zone"
141.875,38.875,0.0351314409280506,3359,"Japanese Exclusive Economic Zone"
142.125,38.875,0.0546413516398031,3359,"Japanese Exclusive Economic Zone"
142.375,38.875,0.0529105040836301,3359,"Japanese Exclusive Economic Zone"
136.875,38.625,0.027217162942884,3304,"Japanese Exclusive Economic Zone"
137.125,38.625,0.0388409965541344,3304,"Japanese Exclusive Economic Zone"
137.875,38.625,0.00692491410332148,3331,"Japanese Exclusive Economic Zone"
138.125,38.625,0.0208383627489995,3331,"Japanese Exclusive Economic Zone"
138.375,38.625,0.0568017367301693,3332,"Japanese Exclusive Economic Zone"
138.625,38.625,0.0265016817201185,3332,"Japanese Exclusive Economic Zone"
138.875,38.625,0.0528299590958655,3332,"Japanese Exclusive Economic Zone"
139.125,38.625,0.171496549714897,3332,"Japanese Exclusive Economic Zone"
139.375,38.625,0.157546932321948,3332,"Japanese Exclusive Economic Zone"
141.625,38.625,0.0448017195983366,3359,"Japanese Exclusive Economic Zone"
141.875,38.625,0.0616794751091879,3359,"Japanese Exclusive Economic Zone"
142.125,38.625,0.095924835362894,3359,"Japanese Exclusive Economic Zone"
142.375,38.625,0.0594270459673546,3359,"Japanese Exclusive Economic Zone"
136.625,38.375,0.0132118330357053,3304,"Japanese Exclusive Economic Zone"
136.875,38.375,0.0257892873973319,3304,"Japanese Exclusive Economic Zone"
137.125,38.375,0.0363735481245919,3304,"Japanese Exclusive Economic Zone"
137.375,38.375,0.0215454507265953,3304,"Japanese Exclusive Economic Zone"
137.875,38.375,0.00231393828111434,3331,"Japanese Exclusive Economic Zone"
138.125,38.375,0.0269602232976878,3331,"Japanese Exclusive Economic Zone"
138.375,38.375,0.106205870473562,3331,"Japanese Exclusive Economic Zone"
138.625,38.375,0.124340090380274,3331,"Japanese Exclusive Economic Zone"
138.875,38.375,0.0913101757511505,3331,"Japanese Exclusive Economic Zone"
139.125,38.375,0.150034452663848,3331,"Japanese Exclusive Economic Zone"
139.375,38.375,0.137031699017242,3331,"Japanese Exclusive Economic Zone"
141.125,38.375,0.233014885272482,3359,"Japanese Exclusive Economic Zone"
141.375,38.375,0.0973648310851097,3359,"Japanese Exclusive Economic Zone"
141.625,38.375,0.140420737838045,3359,"Japanese Exclusive Economic Zone"
141.875,38.375,0.0410693018461903,3359,"Japanese Exclusive Economic Zone"
142.125,38.375,0.0506038682627525,3359,"Japanese Exclusive Economic Zone"
128.875,38.125,0.048255514998677,3221,"South Korean Exclusive Economic Zone"
129.125,38.125,0.146762323674505,3221,"South Korean Exclusive Economic Zone"
136.375,38.125,0.00481588937901939,3304,"Japanese Exclusive Economic Zone"
136.625,38.125,0.0118608930630525,3304,"Japanese Exclusive Economic Zone"
136.875,38.125,0.0126426270154588,3304,"Japanese Exclusive Economic Zone"
137.125,38.125,0.0126465820667582,3304,"Japanese Exclusive Economic Zone"
137.375,38.125,0.00537235249452953,3331,"Japanese Exclusive Economic Zone"
137.625,38.125,0.00631150438348694,3331,"Japanese Exclusive Economic Zone"
137.875,38.125,0.00322853525161945,3331,"Japanese Exclusive Economic Zone"
138.125,38.125,0.0225913445336401,3331,"Japanese Exclusive Economic Zone"
138.625,38.125,0.0441329462091957,3331,"Japanese Exclusive Economic Zone"
138.875,38.125,0.120962509896435,3331,"Japanese Exclusive Economic Zone"
139.125,38.125,0.199665696152438,3331,"Japanese Exclusive Economic Zone"
139.375,38.125,0.266581901562701,3331,"Japanese Exclusive Economic Zone"
141.125,38.125,0.130067048742937,3359,"Japanese Exclusive Economic Zone"
141.375,38.125,0.0425058052260139,3359,"Japanese Exclusive Economic Zone"
141.625,38.125,0.0987958448260946,3359,"Japanese Exclusive Economic Zone"
141.875,38.125,0.0761854604911129,3359,"Japanese Exclusive Economic Zone"
142.125,38.125,0.0734016594425379,3359,"Japanese Exclusive Economic Zone"
128.875,37.875,0.19119707864721,3221,"South Korean Exclusive Economic Zone"
129.125,37.875,0.413227109550519,3221,"South Korean Exclusive Economic Zone"
