"Species","EEZ","p2","p4","Average","Max"
"Dicentrarchus labrax","Algerian Exclusive Economic Zone",0,0,0.00392253814567873,0.0315813380494227
"Dicentrarchus labrax","Belgian Exclusive Economic Zone",0,0,0.142376975391026,0.458162924619773
"Dicentrarchus labrax","Bulgarian Exclusive Economic Zone",0,0,0.0412176620970489,0.132234760296697
"Dicentrarchus labrax","Croatian Exclusive Economic Zone",0,0,0.133135591931799,0.787305756020167
"Dicentrarchus labrax","Danish Exclusive Economic Zone",0,0,0.050859351220342,0.804486878578661
"Dicentrarchus labrax","Dutch Exclusive Economic Zone",0,0,0.0602181600518757,0.997983180305825
"Dicentrarchus labrax","Faeroe Exclusive Economic Zone",0.0113636363636364,0,0.0887870081839619,3.20710365564126
"Dicentrarchus labrax","French Exclusive Economic Zone",0,0,0.030752342261709,1.26226735116312
"Dicentrarchus labrax","Georgian Exclusive Economic Zone",0.0606060606060606,0,0.349392074997811,2.66715721056244
"Dicentrarchus labrax","German Exclusive Economic Zone",0,0,0.0638186852807562,0.804486878578661
"Dicentrarchus labrax","Guernsey Exclusive Economic Zone",0,0,0.0275954749505142,0.088724945721443
"Dicentrarchus labrax","Guinea Bissau Exclusive Economic Zone",0,0,0.782049647244571,1.78707524580339
"Dicentrarchus labrax","Icelandic Exclusive Economic Zone",0.00943396226415094,0,0.17885060679944,3.20710365564126
"Dicentrarchus labrax","Irish Exclusive Economic Zone",0,0,0.0152187769019439,0.151480817709882
"Dicentrarchus labrax","Italian Exclusive Economic Zone",0,0,0.09768116615902,1.35541653607872
"Dicentrarchus labrax","Jersey Exclusive Economic Zone",0,0,0.0769458814218432,0.097438869982616
"Dicentrarchus labrax","Joint regime area Croatia / Slovenia",0,0,0.60924585768356,0.60924585768356
"Dicentrarchus labrax","Joint regime area Senegal / Guinea Bissau",0,0,0.499004968558051,1.76118171250068
"Dicentrarchus labrax","Joint regime area Sweden / Norway",0,0,0.101745434551338,0.166623666050587
"Dicentrarchus labrax","Joint regime area United Kingdom / Denmark (Faeroe Islands)",0,0,0.00907343837028791,0.00907343837028791
"Dicentrarchus labrax","Libyan Exclusive Economic Zone",0,0,0.689353149550969,0.719372556040036
"Dicentrarchus labrax","Monégasque Exclusive Economic Zone",0,0,0.00994929915684823,0.0104558043526984
"Dicentrarchus labrax","Moroccan Exclusive Economic Zone",0,0,0.0187900253513195,0.313056179428932
"Dicentrarchus labrax","Norwegian Exclusive Economic Zone",0,0,0.0449184520861773,1.01893560973075
"Dicentrarchus labrax","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.000987913904530337,0.000987913904530337
"Dicentrarchus labrax","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.00803531194512267,0.0120929472676393
"Dicentrarchus labrax","Overlapping claim Melilla: Spain / Morocco",0,0,6.92196762614225e-05,6.92196762614225e-05
"Dicentrarchus labrax","Overlapping claim Ukrainian Exclusive Economic Zone",0,0,0.248150137539625,1.37850823435028
"Dicentrarchus labrax","Overlapping claim Western Saharan Exclusive Economic Zone",0,0,0.0370136933729097,0.102480431303007
"Dicentrarchus labrax","Portuguese Exclusive Economic Zone",0,0,0.0648390839543171,0.343392531616915
"Dicentrarchus labrax","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.279487661339003,0.535992924776076
"Dicentrarchus labrax","Romanian Exclusive economic Zone",0,0,0.0159879185370925,0.0299646354265329
"Dicentrarchus labrax","Russian Exclusive economic Zone",0,0,0.118404466238651,1.37850823435028
"Dicentrarchus labrax","Senegalese Exclusive Economic Zone",0,0,0.782049647244571,1.78707524580339
"Dicentrarchus labrax","Slovenian Exclusive Economic Zone",0,0,0.123449617172267,0.123449617172267
"Dicentrarchus labrax","Spanish Exclusive Economic Zone",0,0,0.0349813416782219,1.26226735116312
"Dicentrarchus labrax","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.0243208807582838,0.213281659199073
"Dicentrarchus labrax","Swedish Exclusive Economic Zone",0,0,0.110712597329961,0.804486878578661
"Dicentrarchus labrax","Tunisian Exclusive Economic Zone",0,0,0.0330078683079636,0.719372556040036
"Dicentrarchus labrax","Turkish Exclusive Economic Zone",0.0584795321637427,0,0.287698320634976,3.67177255357531
"Dicentrarchus labrax","United Kingdom Exclusive Economic Zone",0,0,0.0231610446430017,0.458162924619773
