"x","y","sigmaNovelty","cell","EEZ"
-1.875,48.875,0.0845326080564621,892,"French Exclusive Economic Zone"
-1.625,48.875,0.0924617464910452,892,"French Exclusive Economic Zone"
-1.625,48.625,0.088843259070152,892,NA
-2.625,47.125,0.0514701674650605,919,"French Exclusive Economic Zone"
-2.375,47.125,0.047632849415046,1481,"French Exclusive Economic Zone"
-4.875,46.875,0.00748569852213598,919,"French Exclusive Economic Zone"
-4.625,46.875,0.0181252699106457,919,"French Exclusive Economic Zone"
-2.875,46.875,0.0422325278713679,919,"French Exclusive Economic Zone"
-2.625,46.875,0.023798047652822,919,"French Exclusive Economic Zone"
-2.375,46.875,0.0547847353952241,1481,"French Exclusive Economic Zone"
-4.875,46.625,0.022682511983685,919,"French Exclusive Economic Zone"
-4.625,46.625,0.025372636483079,919,"French Exclusive Economic Zone"
-3.125,46.625,0.0105467948765237,919,"French Exclusive Economic Zone"
-2.875,46.625,0.030451255277252,919,"French Exclusive Economic Zone"
-2.625,46.625,0.0041801803895059,919,"French Exclusive Economic Zone"
-2.375,46.625,0.0466050581533632,1481,"French Exclusive Economic Zone"
-2.125,46.625,0.069582710898394,1481,"French Exclusive Economic Zone"
-1.875,46.625,0.0731177137271498,1481,"French Exclusive Economic Zone"
-3.875,46.375,0.00340218609737921,919,"French Exclusive Economic Zone"
-3.625,46.375,0.00230452773029729,919,"French Exclusive Economic Zone"
-3.125,46.375,0.0278494342238213,919,"French Exclusive Economic Zone"
-2.875,46.375,0.0107567725306895,919,"French Exclusive Economic Zone"
-2.625,46.375,0.0241028556933598,919,"French Exclusive Economic Zone"
-2.375,46.375,0.00485255142032253,1481,"French Exclusive Economic Zone"
-2.125,46.375,0.0377412217769546,1481,"French Exclusive Economic Zone"
-1.875,46.375,0.0714083662443079,1481,"French Exclusive Economic Zone"
-1.625,46.375,0.0702352281140711,1481,"French Exclusive Economic Zone"
-4.125,46.125,0.000458853296755537,919,"French Exclusive Economic Zone"
-3.875,46.125,0.00193405090880107,919,"French Exclusive Economic Zone"
-3.625,46.125,0.000184114600397123,919,"French Exclusive Economic Zone"
-3.375,46.125,0.00232044434633198,919,"French Exclusive Economic Zone"
-3.125,46.125,0.00856602228699513,919,"French Exclusive Economic Zone"
-2.875,46.125,0.00919156514953315,919,"French Exclusive Economic Zone"
-2.625,46.125,0.01056935582574,919,"French Exclusive Economic Zone"
-2.375,46.125,0.00416040752665723,919,"French Exclusive Economic Zone"
-2.125,46.125,0.0231117471616025,1481,"French Exclusive Economic Zone"
-1.875,46.125,0.0633176456422132,1481,"French Exclusive Economic Zone"
-1.625,46.125,0.070394630563437,1481,"French Exclusive Economic Zone"
-1.375,46.125,0.0780402334143199,1481,"French Exclusive Economic Zone"
-4.125,45.875,0.00189826581225753,919,"French Exclusive Economic Zone"
-3.875,45.875,0.00326892861881885,919,"French Exclusive Economic Zone"
-3.625,45.875,0.000181144316807818,919,"French Exclusive Economic Zone"
-3.375,45.875,0.000856997528716156,919,"French Exclusive Economic Zone"
-3.125,45.875,0.00527898850823034,919,"French Exclusive Economic Zone"
-2.875,45.875,0.00485012104267467,919,"French Exclusive Economic Zone"
-2.625,45.875,0.00338697791984094,919,"French Exclusive Economic Zone"
-2.375,45.875,0.0117056693058919,919,"French Exclusive Economic Zone"
-2.125,45.875,0.00371649036304315,1481,"French Exclusive Economic Zone"
-1.875,45.875,0.00407122432793006,1481,"French Exclusive Economic Zone"
-1.625,45.875,0.0481486931140435,1481,"French Exclusive Economic Zone"
-1.375,45.875,0.0329931317134835,1481,"French Exclusive Economic Zone"
-1.125,45.875,0.0836865720991619,1481,"French Exclusive Economic Zone"
-3.875,45.625,0.00437507135787215,919,"French Exclusive Economic Zone"
-3.625,45.625,0.00229043240841237,919,"French Exclusive Economic Zone"
-3.375,45.625,0.000234600614750064,919,"French Exclusive Economic Zone"
-3.125,45.625,0.00277187301916964,919,"French Exclusive Economic Zone"
-2.875,45.625,0.00341278712945792,919,"French Exclusive Economic Zone"
-2.625,45.625,0.00230405769160563,919,"French Exclusive Economic Zone"
-2.375,45.625,0.00328620047833929,1480,"French Exclusive Economic Zone"
-2.125,45.625,0.0135444359172904,1480,"French Exclusive Economic Zone"
-1.875,45.625,0.0120823950140355,1481,"French Exclusive Economic Zone"
-1.625,45.625,0.00355506298780767,1481,"French Exclusive Economic Zone"
-1.375,45.625,0.0588721561665291,1481,"French Exclusive Economic Zone"
-1.125,45.625,0.0802525101445968,1481,"French Exclusive Economic Zone"
13.125,45.625,0.643906449263198,1565,"Italian Exclusive Economic Zone"
13.375,45.625,0.414243111670017,1593,"Italian Exclusive Economic Zone"
13.625,45.625,0.123439178447134,1593,"Slovenian Exclusive Economic Zone"
-3.625,45.375,0.0027332638994356,919,"French Exclusive Economic Zone"
-3.375,45.375,0.00106160722103327,919,"French Exclusive Economic Zone"
-3.125,45.375,0.00124513742027304,1480,"French Exclusive Economic Zone"
-2.875,45.375,0.0030249783405643,1480,"French Exclusive Economic Zone"
-2.625,45.375,0.00422709941044718,1480,"French Exclusive Economic Zone"
-2.375,45.375,0.00358695402718732,1480,"French Exclusive Economic Zone"
-2.125,45.375,0.00225626846146717,1480,"French Exclusive Economic Zone"
-1.875,45.375,0.00524174635742816,1480,"French Exclusive Economic Zone"
-1.625,45.375,0.0073912633154414,1480,"French Exclusive Economic Zone"
-1.375,45.375,0.0311004924496373,1480,"French Exclusive Economic Zone"
12.375,45.375,1.40351815666308,1565,"Italian Exclusive Economic Zone"
12.625,45.375,1.10399186297913,1565,"Italian Exclusive Economic Zone"
12.875,45.375,0.918913704871261,1565,"Italian Exclusive Economic Zone"
13.125,45.375,0.52471210512737,1565,"Italian Exclusive Economic Zone"
13.375,45.375,0.609224528383549,1593,"Croatian Exclusive Economic Zone"
-2.875,45.125,0.00353210174878294,1480,"French Exclusive Economic Zone"
-2.625,45.125,0.00541343113123308,1480,"French Exclusive Economic Zone"
-2.375,45.125,0.00432245835487014,1480,"French Exclusive Economic Zone"
-2.125,45.125,0.00905060531544465,1480,"French Exclusive Economic Zone"
-1.875,45.125,0.00632581946867602,1480,"French Exclusive Economic Zone"
-1.625,45.125,0.00998305330282662,1480,"French Exclusive Economic Zone"
-1.375,45.125,0.0533998233514145,1480,"French Exclusive Economic Zone"
12.375,45.125,0.354158935776536,1565,"Italian Exclusive Economic Zone"
12.625,45.125,0.559296974605624,1565,"Italian Exclusive Economic Zone"
12.875,45.125,1.3202085960811,1565,"Italian Exclusive Economic Zone"
13.125,45.125,0.48895491133653,1592,"Croatian Exclusive Economic Zone"
13.375,45.125,0.684899936276094,1593,"Croatian Exclusive Economic Zone"
14.375,45.125,0.00828919052953147,1593,"Croatian Exclusive Economic Zone"
-2.625,44.875,0.00535421512032685,1480,"French Exclusive Economic Zone"
-2.375,44.875,0.0060461113212657,1480,"French Exclusive Economic Zone"
-2.125,44.875,0.00855620890641717,1480,"French Exclusive Economic Zone"
-1.875,44.875,0.0577542947118653,1480,"French Exclusive Economic Zone"
-1.625,44.875,0.0155828001834608,1480,"French Exclusive Economic Zone"
-1.375,44.875,0.0567155125805943,1480,"French Exclusive Economic Zone"
12.625,44.875,0.779234312543275,1592,"Italian Exclusive Economic Zone"
12.875,44.875,0.568695499198953,1592,"Italian Exclusive Economic Zone"
13.125,44.875,0.232114637463402,1592,"Croatian Exclusive Economic Zone"
13.375,44.875,0.581869244258997,1592,"Croatian Exclusive Economic Zone"
13.625,44.875,0.143007588338531,1592,"Croatian Exclusive Economic Zone"
14.125,44.875,0.123193646476373,1592,"Croatian Exclusive Economic Zone"
14.625,44.875,0.0911905973797345,1593,"Croatian Exclusive Economic Zone"
14.875,44.875,0.0911832649187957,1593,"Croatian Exclusive Economic Zone"
-2.375,44.625,0.0255383820138657,1480,"French Exclusive Economic Zone"
-2.125,44.625,0.0359615805109044,1480,"French Exclusive Economic Zone"
-1.625,44.625,0.00621962298873863,1480,"French Exclusive Economic Zone"
-1.375,44.625,0.0613268607935003,1480,"French Exclusive Economic Zone"
12.375,44.625,0.701853921848503,1592,"Italian Exclusive Economic Zone"
12.625,44.625,0.560207358802013,1592,"Italian Exclusive Economic Zone"
12.875,44.625,1.15796864512976,1592,"Italian Exclusive Economic Zone"
13.125,44.625,0.402450022953315,1592,"Croatian Exclusive Economic Zone"
13.375,44.625,0.0966026363344212,1592,"Croatian Exclusive Economic Zone"
13.625,44.625,0.0349752448848464,1592,"Croatian Exclusive Economic Zone"
13.875,44.625,0.0652269495514394,1592,"Croatian Exclusive Economic Zone"
14.125,44.625,0.199448290558088,1592,"Croatian Exclusive Economic Zone"
14.375,44.625,0.183953675531989,1592,NA
14.625,44.625,0.240537215932681,1592,"Croatian Exclusive Economic Zone"
14.875,44.625,0.0872324604009193,1592,"Croatian Exclusive Economic Zone"
-1.625,44.375,0.0120374716848385,1480,"French Exclusive Economic Zone"
-1.375,44.375,0.00976814417556423,1480,"French Exclusive Economic Zone"
8.875,44.375,0.00920840932238201,1564,"Italian Exclusive Economic Zone"
12.375,44.375,1.33383019512128,1592,"Italian Exclusive Economic Zone"
12.625,44.375,0.402745064678771,1592,"Italian Exclusive Economic Zone"
12.875,44.375,0.857005277863133,1592,"Italian Exclusive Economic Zone"
13.125,44.375,0.28601671126246,1592,"Italian Exclusive Economic Zone"
13.375,44.375,0.0242002992971785,1592,"Croatian Exclusive Economic Zone"
13.625,44.375,0.041171681929693,1592,"Croatian Exclusive Economic Zone"
13.875,44.375,0.0250128234637918,1592,"Croatian Exclusive Economic Zone"
14.125,44.375,0.060317388844991,1592,"Croatian Exclusive Economic Zone"
