"x","y","sigmaNovelty","cell","EEZ"
13.125,45.625,0.643950388589401,1565,"Italian Exclusive Economic Zone"
12.375,45.375,1.40352281254027,1565,"Italian Exclusive Economic Zone"
12.625,45.375,1.10399645387623,1565,"Italian Exclusive Economic Zone"
12.875,45.375,0.918934797244364,1565,"Italian Exclusive Economic Zone"
13.125,45.375,0.889330895190283,1565,"Italian Exclusive Economic Zone"
13.375,45.375,0.609234766333434,1593,"Croatian Exclusive Economic Zone"
12.375,45.125,0.354159391165008,1565,"Italian Exclusive Economic Zone"
12.625,45.125,0.559307001391774,1565,"Italian Exclusive Economic Zone"
12.875,45.125,1.32021311098887,1565,"Italian Exclusive Economic Zone"
13.125,45.125,0.511433245654532,1592,"Croatian Exclusive Economic Zone"
13.375,45.125,0.684904531842884,1593,"Croatian Exclusive Economic Zone"
14.375,45.125,0.00828981682753824,1593,"Croatian Exclusive Economic Zone"
36.625,45.125,0.0387541984456937,2318,"Russian Exclusive economic Zone"
12.625,44.875,0.779244904229047,1592,"Italian Exclusive Economic Zone"
12.875,44.875,0.568720061382348,1592,"Italian Exclusive Economic Zone"
13.125,44.875,0.732886361306604,1592,"Croatian Exclusive Economic Zone"
13.375,44.875,0.581876161795927,1592,"Croatian Exclusive Economic Zone"
13.625,44.875,0.143007459010849,1592,"Croatian Exclusive Economic Zone"
14.125,44.875,0.123191530851384,1592,"Croatian Exclusive Economic Zone"
14.625,44.875,0.0912018450175216,1593,"Croatian Exclusive Economic Zone"
14.875,44.875,0.0912028782103473,1593,"Croatian Exclusive Economic Zone"
35.375,44.875,0.0919829122547481,2290,"Overlapping claim Ukrainian Exclusive Economic Zone"
35.625,44.875,0.171496438741768,2290,"Overlapping claim Ukrainian Exclusive Economic Zone"
35.875,44.875,0.159577142808967,2290,"Overlapping claim Ukrainian Exclusive Economic Zone"
36.125,44.875,0.100470069204571,2290,"Overlapping claim Ukrainian Exclusive Economic Zone"
36.375,44.875,0.121286563907739,2290,"Overlapping claim Ukrainian Exclusive Economic Zone"
36.625,44.875,0.0566702303765667,2318,"Overlapping claim Ukrainian Exclusive Economic Zone"
36.875,44.875,0.177733729246853,2318,"Russian Exclusive economic Zone"
37.125,44.875,1.340566907265,2318,"Russian Exclusive economic Zone"
-8.625,44.625,0.0815736455156885,945,"Spanish Exclusive Economic Zone"
-8.375,44.625,0.0566366055761282,945,"Spanish Exclusive Economic Zone"
-8.125,44.625,0.0389181905019718,945,"Spanish Exclusive Economic Zone"
