"x","y","sigmaNovelty","cell","EEZ"
-147.875,61.125,0.107787942691531,142,"United States Exclusive Economic Zone (Alaska)"
-148.125,60.875,0.0777281979375336,142,"United States Exclusive Economic Zone (Alaska)"
-147.375,60.875,0.0216557900458667,142,"United States Exclusive Economic Zone (Alaska)"
-148.125,60.625,0.0644469150858484,142,"United States Exclusive Economic Zone (Alaska)"
-147.875,60.625,0.0887598692131332,142,"United States Exclusive Economic Zone (Alaska)"
-147.625,60.625,0.0370476196320863,142,"United States Exclusive Economic Zone (Alaska)"
-147.375,60.625,0.00926969329797653,142,"United States Exclusive Economic Zone (Alaska)"
-147.125,60.625,0.0193647502632142,142,"United States Exclusive Economic Zone (Alaska)"
-146.875,60.625,0.0528078594669912,142,"United States Exclusive Economic Zone (Alaska)"
-146.625,60.625,0.101708517224322,142,"United States Exclusive Economic Zone (Alaska)"
-146.375,60.625,0.138268582130274,142,"United States Exclusive Economic Zone (Alaska)"
-146.125,60.625,0.193021827045615,142,"United States Exclusive Economic Zone (Alaska)"
-145.875,60.625,0.170645812775158,142,"United States Exclusive Economic Zone (Alaska)"
-148.125,60.375,0.076148426923735,142,"United States Exclusive Economic Zone (Alaska)"
-147.875,60.375,0.0332969934351676,142,"United States Exclusive Economic Zone (Alaska)"
-147.375,60.375,0.0229529934563342,142,"United States Exclusive Economic Zone (Alaska)"
-146.875,60.375,0.146300432269015,142,"United States Exclusive Economic Zone (Alaska)"
-145.625,60.375,0.172864195230487,142,"United States Exclusive Economic Zone (Alaska)"
-147.875,60.125,0.0253661934710918,142,"United States Exclusive Economic Zone (Alaska)"
-147.625,60.125,0.0153806824868633,142,"United States Exclusive Economic Zone (Alaska)"
-147.125,60.125,0.0709061407518941,142,"United States Exclusive Economic Zone (Alaska)"
-146.875,60.125,0.103149958413162,142,"United States Exclusive Economic Zone (Alaska)"
-146.625,60.125,0.112442479293738,142,"United States Exclusive Economic Zone (Alaska)"
-146.375,60.125,0.0972284365011657,142,"United States Exclusive Economic Zone (Alaska)"
