"Species","EEZ","p2","p4","Average","Max"
"Epinephelus areolatus","American Samoa Exclusive Economic Zone",0,0,2.9007462708074e-05,8.96905905866515e-05
"Epinephelus areolatus","Australian Exclusive Economic Zone",0,0,0.00326216235045588,0.307711941099222
"Epinephelus areolatus","Bahraini Exclusive Economic Zone",0,0,0.0242792768922909,0.130022141882442
"Epinephelus areolatus","Bassas da India Exclusive Economic Zone",0,0,8.56399549664024e-05,0.000487882675247264
"Epinephelus areolatus","Bruneian Exclusive Economic Zone",0,0,0.000182297644375346,0.00590644445724711
"Epinephelus areolatus","Cambodian Exclusive Economic Zone",0,0,0.00102571479585246,0.0138487487951586
"Epinephelus areolatus","Chagos Archipelago Exclusive Economic Zone",0,0,5.19213074258547e-05,0.000284797187981481
"Epinephelus areolatus","Chinese Exclusive Economic Zone",0.00199600798403194,0.000499001996007984,0.0304447189753532,4.08574127167276
"Epinephelus areolatus","Christmas Island Exclusive Economic Zone",0,0,2.62210490264784e-05,0.000129714157599463
"Epinephelus areolatus","Cocos Islands Exclusive Economic Zone",0,0,0.00126399528582843,0.00631991323608804
"Epinephelus areolatus","Comoran Exclusive Economic Zone",0,0,3.56595611354541e-05,0.000198627279170956
"Epinephelus areolatus","Djiboutian Exclusive Economic Zone",0,0,0.00572509251728143,0.036624712867506
"Epinephelus areolatus","East Timorian Exclusive Economic Zone",0,0,0.00262007222392466,0.0149822732525288
"Epinephelus areolatus","Egyptian Exclusive Economic Zone",0,0,0.00135091269394942,0.0201211058158741
"Epinephelus areolatus","Eritrean Exclusive Economic Zone",0,0,0.0113514916539207,0.280142988901935
"Epinephelus areolatus","Fijian Exclusive Economic Zone",0,0,0.00177176518085869,0.150509426319559
"Epinephelus areolatus","Ile Europa Exclusive Economic Zone",0,0,8.65457371432186e-05,0.000487882675247264
"Epinephelus areolatus","Indian Exclusive Economic Zone",0,0,0.00620160250484669,0.410853828107164
"Epinephelus areolatus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.00140729436946243,0.0202559042225493
"Epinephelus areolatus","Indonesian Exclusive Economic Zone",0,0,0.00178603886731457,0.368225682676671
"Epinephelus areolatus","Iranian Exclusive Economic Zone",0,0,0.0484886945597407,0.502862630358383
"Epinephelus areolatus","Iraqi Exclusive Economic Zone",0,0,0.081993062397051,0.122332964307516
"Epinephelus areolatus","Japanese Exclusive Economic Zone",0,0,0.009248099426785,1.21086273496257
"Epinephelus areolatus","Joint regime area Australia / Papua New Guinea",0,0,0.000299707378260264,0.00110218386440381
"Epinephelus areolatus","Joint regime area Japan / Korea",0,0,0.0045915895279212,0.0518838230194559
"Epinephelus areolatus","Juan de Nova Exclusive Economic Zone",0,0,6.03000933122814e-05,0.00022857246877374
"Epinephelus areolatus","Kenyan Exclusive Economic Zone",0,0,0.000258383966017909,0.00384844295116702
"Epinephelus areolatus","Kiribati Exclusive Economic Zone (Gilbert Islands)",0,0,0.00129706293487726,0.368225682676671
"Epinephelus areolatus","Kuwaiti Exclusive Economic Zone",0,0,0.061698351613782,0.294350313987855
"Epinephelus areolatus","Madagascan Exclusive Economic Zone",0,0,0.000245836584585557,0.0239726323568244
"Epinephelus areolatus","Malaysian Exclusive Economic Zone",0,0,0.00183412934092751,0.368225682676671
"Epinephelus areolatus","Maldives Exclusive Economic Zone",0,0,0.000299217801842916,0.0012257633097435
"Epinephelus areolatus","Marshall Islands Exclusive Economic Zone",0,0,0.000381947304154382,0.00786381468490674
"Epinephelus areolatus","Mauritian Exclusive Economic Zone",0,0,0.000146792683735371,0.00239210881609121
