"x","y","sigmaNovelty","cell","EEZ"
131.875,32.625,0.0212448076861323,3274,"Japanese Exclusive Economic Zone"
132.125,32.625,0.0387621285354227,3274,"Japanese Exclusive Economic Zone"
131.875,32.375,0.00236171688492784,3274,"Japanese Exclusive Economic Zone"
132.125,32.375,0.0241961524354744,3274,"Japanese Exclusive Economic Zone"
132.375,32.375,0.0264780965623587,3274,"Japanese Exclusive Economic Zone"
131.625,32.125,0.00362847679403974,3274,"Japanese Exclusive Economic Zone"
131.875,32.125,0.000794318999808788,3274,"Japanese Exclusive Economic Zone"
132.125,32.125,0.0100186890172565,3274,"Japanese Exclusive Economic Zone"
132.375,32.125,0.000125212233070172,3274,"Japanese Exclusive Economic Zone"
132.625,32.125,0.0131890174531751,3274,"Japanese Exclusive Economic Zone"
131.625,31.875,0.0151594163211339,3274,"Japanese Exclusive Economic Zone"
131.875,31.875,0.00316937683565042,3274,"Japanese Exclusive Economic Zone"
132.125,31.875,2.22286653930661e-06,3274,"Japanese Exclusive Economic Zone"
132.375,31.875,0.0193049463645474,3274,"Japanese Exclusive Economic Zone"
132.625,31.875,0.00867937260468718,3274,"Japanese Exclusive Economic Zone"
131.625,31.625,0.0429848579746095,3274,"Japanese Exclusive Economic Zone"
131.875,31.625,0.000510552929775067,3274,"Japanese Exclusive Economic Zone"
132.125,31.625,0.0150224596688337,3274,"Japanese Exclusive Economic Zone"
132.375,31.625,0.00370071164791075,3274,"Japanese Exclusive Economic Zone"
132.625,31.625,0.0105508973171418,3274,"Japanese Exclusive Economic Zone"
129.625,31.375,0.00683247173264242,3246,"Japanese Exclusive Economic Zone"
129.875,31.375,0.0102038092480453,3246,"Japanese Exclusive Economic Zone"
130.625,31.375,0.000268215505512208,3246,"Japanese Exclusive Economic Zone"
131.125,31.375,0.0756135871882727,3246,"Japanese Exclusive Economic Zone"
131.375,31.375,0.0856612249726494,3246,"Japanese Exclusive Economic Zone"
131.625,31.375,0.000496629359758063,3274,"Japanese Exclusive Economic Zone"
131.875,31.375,0.0209227571703036,3274,"Japanese Exclusive Economic Zone"
132.125,31.375,0.0129188157728039,3274,"Japanese Exclusive Economic Zone"
132.375,31.375,0.0179660189258783,3274,"Japanese Exclusive Economic Zone"
132.625,31.375,0.0116112078229583,3274,"Japanese Exclusive Economic Zone"
129.375,31.125,0.00266556862601579,3246,"Japanese Exclusive Economic Zone"
129.625,31.125,0.00127761158910279,3246,"Japanese Exclusive Economic Zone"
129.875,31.125,0.00383709450998862,3246,"Japanese Exclusive Economic Zone"
130.125,31.125,0.00270515128539073,3246,"Japanese Exclusive Economic Zone"
130.375,31.125,0.00188727451693547,3246,"Japanese Exclusive Economic Zone"
130.625,31.125,0.000757786888108235,3246,"Japanese Exclusive Economic Zone"
131.125,31.125,0.110795453301692,3246,"Japanese Exclusive Economic Zone"
131.375,31.125,0.00292247041866504,3246,"Japanese Exclusive Economic Zone"
131.625,31.125,0.0200008656238947,3246,"Japanese Exclusive Economic Zone"
131.875,31.125,0.0283345069031248,3274,"Japanese Exclusive Economic Zone"
132.125,31.125,0.0139661069944927,3274,"Japanese Exclusive Economic Zone"
132.375,31.125,0.00636325181534698,3274,"Japanese Exclusive Economic Zone"
129.125,30.875,0.00309808830472525,3246,"Japanese Exclusive Economic Zone"
129.375,30.875,0.00136664577565922,3246,"Japanese Exclusive Economic Zone"
129.625,30.875,0.000650056391825708,3246,"Japanese Exclusive Economic Zone"
129.875,30.875,0.00277752262999695,3246,"Japanese Exclusive Economic Zone"
130.125,30.875,0.0027357117668369,3246,"Japanese Exclusive Economic Zone"
