"x","y","sigmaNovelty","cell","EEZ"
20.375,71.125,0.0140507523919976,3079,"Norwegian Exclusive Economic Zone"
20.625,71.125,0.0130681272629817,3079,"Norwegian Exclusive Economic Zone"
21.875,71.125,0.0167316518395457,3079,"Norwegian Exclusive Economic Zone"
22.125,71.125,0.0177590368305048,3079,"Norwegian Exclusive Economic Zone"
22.375,71.125,0.00519886537377989,3079,"Norwegian Exclusive Economic Zone"
22.625,71.125,0.00107672544201143,3078,"Norwegian Exclusive Economic Zone"
22.875,71.125,0.000499087384354574,3078,"Norwegian Exclusive Economic Zone"
23.125,71.125,0.000282058858078863,3078,"Norwegian Exclusive Economic Zone"
23.375,71.125,0.000136420740325971,3078,"Norwegian Exclusive Economic Zone"
23.625,71.125,0.00222461270739549,3078,"Norwegian Exclusive Economic Zone"
23.875,71.125,0.00131602810140454,3078,"Norwegian Exclusive Economic Zone"
24.125,71.125,0.00318005082358666,3078,"Norwegian Exclusive Economic Zone"
25.375,71.125,0.000901576228372037,3078,"Norwegian Exclusive Economic Zone"
20.125,70.875,0.00817864800347966,3079,"Norwegian Exclusive Economic Zone"
20.375,70.875,0.0142899060905558,3079,"Norwegian Exclusive Economic Zone"
20.625,70.875,0.00896133565193763,3079,"Norwegian Exclusive Economic Zone"
20.875,70.875,0.0125258872291862,3079,"Norwegian Exclusive Economic Zone"
21.625,70.875,0.00428594536095266,3079,"Norwegian Exclusive Economic Zone"
21.875,70.875,0.000422747385406334,3079,"Norwegian Exclusive Economic Zone"
22.125,70.875,0.00233489823191014,3079,"Norwegian Exclusive Economic Zone"
22.375,70.875,0.0185218554242702,3079,"Norwegian Exclusive Economic Zone"
22.625,70.875,0.0224554874327858,3079,"Norwegian Exclusive Economic Zone"
22.875,70.875,0.00492330874334872,3078,"Norwegian Exclusive Economic Zone"
23.125,70.875,0.000622436040431276,3078,"Norwegian Exclusive Economic Zone"
23.375,70.875,0.000568802044439582,3078,"Norwegian Exclusive Economic Zone"
23.625,70.875,0.00534709207486245,3078,"Norwegian Exclusive Economic Zone"
23.875,70.875,0.000140778582587901,3078,"Norwegian Exclusive Economic Zone"
24.125,70.875,0.00762222225611519,3078,"Norwegian Exclusive Economic Zone"
24.375,70.875,0.023006706060884,3078,"Norwegian Exclusive Economic Zone"
25.875,70.875,0.175918792317729,3078,"Norwegian Exclusive Economic Zone"
17.375,70.625,0.000172423597507028,3079,"Norwegian Exclusive Economic Zone"
17.625,70.625,0.000611909380560981,3079,"Norwegian Exclusive Economic Zone"
17.875,70.625,0.00346526069352115,3079,"Norwegian Exclusive Economic Zone"
18.125,70.625,0.0123609236977042,3079,"Norwegian Exclusive Economic Zone"
18.375,70.625,0.0146795453433223,3079,"Norwegian Exclusive Economic Zone"
18.625,70.625,0.00829332742059443,3079,"Norwegian Exclusive Economic Zone"
18.875,70.625,0.00829628976301275,3079,"Norwegian Exclusive Economic Zone"
19.125,70.625,0.0151408787919446,3079,"Norwegian Exclusive Economic Zone"
19.375,70.625,0.00802120156945133,3079,"Norwegian Exclusive Economic Zone"
19.625,70.625,0.00871273931518866,3079,"Norwegian Exclusive Economic Zone"
19.875,70.625,0.0101609729327445,3079,"Norwegian Exclusive Economic Zone"
20.125,70.625,0.0197786853397391,3079,"Norwegian Exclusive Economic Zone"
20.375,70.625,0.0303391443183979,3079,"Norwegian Exclusive Economic Zone"
20.625,70.625,0.0216909997904356,3079,"Norwegian Exclusive Economic Zone"
20.875,70.625,0.00913368461103269,3079,"Norwegian Exclusive Economic Zone"
21.125,70.625,0.00418659968043047,3079,"Norwegian Exclusive Economic Zone"
21.375,70.625,0.00945492663683247,3079,"Norwegian Exclusive Economic Zone"
21.625,70.625,0.00800847015287873,3079,"Norwegian Exclusive Economic Zone"
21.875,70.625,0.00623529156435931,3079,"Norwegian Exclusive Economic Zone"
23.125,70.625,0.0172738570496286,3079,"Norwegian Exclusive Economic Zone"
23.375,70.625,0.0113002267334022,3078,"Norwegian Exclusive Economic Zone"
23.625,70.625,8.22748519070946e-06,3078,"Norwegian Exclusive Economic Zone"
24.125,70.625,0.0200372146130447,3078,"Norwegian Exclusive Economic Zone"
25.375,70.625,0.622950788149203,3078,"Norwegian Exclusive Economic Zone"
25.625,70.625,0.325005104218723,3078,"Norwegian Exclusive Economic Zone"
25.875,70.625,0.0766484350157915,3078,"Norwegian Exclusive Economic Zone"
17.125,70.375,0.000332879081238702,3079,"Norwegian Exclusive Economic Zone"
17.375,70.375,0.000428825551032241,3079,"Norwegian Exclusive Economic Zone"
17.625,70.375,0.00223797853674008,3079,"Norwegian Exclusive Economic Zone"
17.875,70.375,0.0029543180426992,3079,"Norwegian Exclusive Economic Zone"
18.125,70.375,0.0127578013570789,3079,"Norwegian Exclusive Economic Zone"
18.375,70.375,0.00944159606932033,3079,"Norwegian Exclusive Economic Zone"
