"x","y","sigmaNovelty","cell","EEZ"
9.375,79.125,0.00836631180222154,20,"Svalbard Exclusive Economic Zone"
9.625,79.125,0.000675572693237887,20,"Svalbard Exclusive Economic Zone"
9.125,78.875,0.000613391530913437,20,"Svalbard Exclusive Economic Zone"
9.375,78.875,0.0049006139703625,20,"Svalbard Exclusive Economic Zone"
9.625,78.875,0.000404762056445772,20,"Svalbard Exclusive Economic Zone"
9.875,78.875,0.00121945561534624,20,"Svalbard Exclusive Economic Zone"
8.875,78.625,0.000991630411615871,20,"Svalbard Exclusive Economic Zone"
9.125,78.625,0.000294416709654089,20,"Svalbard Exclusive Economic Zone"
9.375,78.625,0.00014625184935683,20,"Svalbard Exclusive Economic Zone"
9.625,78.625,0.0001810308287843,20,"Svalbard Exclusive Economic Zone"
9.875,78.625,0.00116416115881749,20,"Svalbard Exclusive Economic Zone"
10.125,78.625,0.00041746446372244,20,"Svalbard Exclusive Economic Zone"
8.875,78.375,0.00038727420796231,20,"Svalbard Exclusive Economic Zone"
9.125,78.375,0.00299248470992427,20,"Svalbard Exclusive Economic Zone"
9.375,78.375,0.00706485275682628,20,"Svalbard Exclusive Economic Zone"
9.625,78.375,0.000171496044943064,20,"Svalbard Exclusive Economic Zone"
9.875,78.375,0.000977393703989827,20,"Svalbard Exclusive Economic Zone"
10.125,78.375,0.000873632243566419,20,"Svalbard Exclusive Economic Zone"
8.875,78.125,0.00212372709597927,20,"Svalbard Exclusive Economic Zone"
9.125,78.125,0.000434147255008279,20,"Svalbard Exclusive Economic Zone"
9.375,78.125,0.0022077529879739,20,"Svalbard Exclusive Economic Zone"
9.625,78.125,0.000131453650825155,20,"Svalbard Exclusive Economic Zone"
9.875,78.125,0.000127530703057502,20,"Svalbard Exclusive Economic Zone"
10.125,78.125,0.00227708735786608,20,"Svalbard Exclusive Economic Zone"
10.375,78.125,4.61037829159723e-05,20,"Svalbard Exclusive Economic Zone"
10.625,78.125,5.9776574222961e-05,20,"Svalbard Exclusive Economic Zone"
10.875,78.125,0.000109554048870467,20,"Svalbard Exclusive Economic Zone"
11.125,78.125,0.00028201542881705,20,"Svalbard Exclusive Economic Zone"
11.375,78.125,6.25615695609037e-05,20,"Svalbard Exclusive Economic Zone"
11.625,78.125,0.00208276202231536,20,"Svalbard Exclusive Economic Zone"
11.875,78.125,0.00293132702452007,20,"Svalbard Exclusive Economic Zone"
12.125,78.125,0.00210168074539264,20,"Svalbard Exclusive Economic Zone"
12.375,78.125,0.000348082792742093,20,"Svalbard Exclusive Economic Zone"
12.625,78.125,0.000431567621860166,20,"Svalbard Exclusive Economic Zone"
12.875,78.125,0.000534222915487485,20,"Svalbard Exclusive Economic Zone"
13.125,78.125,0.00186429026924759,20,"Svalbard Exclusive Economic Zone"
13.375,78.125,0.000509167950157,20,"Svalbard Exclusive Economic Zone"
13.625,78.125,0.00215846472551932,20,"Svalbard Exclusive Economic Zone"
13.875,78.125,0.00822279001746789,20,"Svalbard Exclusive Economic Zone"
14.125,78.125,0.000505731039241116,20,"Svalbard Exclusive Economic Zone"
14.375,78.125,0.00114298987582133,20,"Svalbard Exclusive Economic Zone"
14.625,78.125,0.00629026190644453,20,"Svalbard Exclusive Economic Zone"
6.625,77.875,0.00607246132924508,48,"Svalbard Exclusive Economic Zone"
6.875,77.875,0.01568688248337,48,"Svalbard Exclusive Economic Zone"
8.625,77.875,0.00105555247926663,21,"Svalbard Exclusive Economic Zone"
8.875,77.875,0.000171412663171887,21,"Svalbard Exclusive Economic Zone"
9.125,77.875,0.000910378394391898,21,"Svalbard Exclusive Economic Zone"
9.375,77.875,0.000130522166786668,21,"Svalbard Exclusive Economic Zone"
9.625,77.875,4.07897537184745e-05,21,"Svalbard Exclusive Economic Zone"
9.875,77.875,0.000526210071262802,21,"Svalbard Exclusive Economic Zone"
10.125,77.875,0.00372542817536711,21,"Svalbard Exclusive Economic Zone"
10.375,77.875,0.00473216992462498,21,"Svalbard Exclusive Economic Zone"
10.625,77.875,0.00146584775769399,21,"Svalbard Exclusive Economic Zone"
10.875,77.875,0.000840152211704885,21,"Svalbard Exclusive Economic Zone"
11.125,77.875,0.00459885884819865,21,"Svalbard Exclusive Economic Zone"
11.375,77.875,0.000236506820239879,21,"Svalbard Exclusive Economic Zone"
11.625,77.875,4.81730148779954e-05,21,"Svalbard Exclusive Economic Zone"
11.875,77.875,0.000633025006614644,21,"Svalbard Exclusive Economic Zone"
12.125,77.875,0.000172338737446286,21,"Svalbard Exclusive Economic Zone"
12.375,77.875,0.00755631995738413,21,"Svalbard Exclusive Economic Zone"
12.625,77.875,0.00388563494581811,21,"Svalbard Exclusive Economic Zone"
12.875,77.875,0.0013195733222933,21,"Svalbard Exclusive Economic Zone"
13.125,77.875,0.00432201918894964,21,"Svalbard Exclusive Economic Zone"
13.375,77.875,0.00286062465807195,21,"Svalbard Exclusive Economic Zone"
13.625,77.875,0.00175476196350597,21,"Svalbard Exclusive Economic Zone"
6.625,77.625,0.0034417078115586,21,"Svalbard Exclusive Economic Zone"
