"x","y","sigmaNovelty","cell","EEZ"
131.875,43.125,0.90534737668453,3278,"Russian Exclusive economic Zone"
132.125,43.125,1.09614286559471,3278,"Russian Exclusive economic Zone"
131.625,42.875,0.280511475713916,3278,"Russian Exclusive economic Zone"
131.875,42.875,0.399971094791303,3278,"Russian Exclusive economic Zone"
132.125,42.875,0.340243625573471,3278,"Russian Exclusive economic Zone"
132.375,42.875,0.159646925331591,3278,"Russian Exclusive economic Zone"
131.125,42.625,0.288964621401552,3278,"Russian Exclusive economic Zone"
131.375,42.625,0.0573920062685624,3278,"Russian Exclusive economic Zone"
131.625,42.625,0.161166174575942,3278,"Russian Exclusive economic Zone"
131.875,42.625,0.174955416197721,3278,"Russian Exclusive economic Zone"
132.125,42.625,0.133629297240541,3278,"Russian Exclusive economic Zone"
132.375,42.625,0.150565593447781,3278,"Russian Exclusive economic Zone"
132.625,42.625,0.114863693780455,3278,"Russian Exclusive economic Zone"
130.875,42.375,0.224096669269452,3250,"Russian Exclusive economic Zone"
131.125,42.375,0.40820372964014,3278,"Russian Exclusive economic Zone"
131.375,42.375,0.242495020110772,3278,"Russian Exclusive economic Zone"
131.625,42.375,0.223418493856131,3278,"Russian Exclusive economic Zone"
131.875,42.375,0.21229915207759,3278,"Russian Exclusive economic Zone"
132.125,42.375,0.106743072892443,3278,"Russian Exclusive economic Zone"
132.375,42.375,0.0784243939657088,3278,"Russian Exclusive economic Zone"
132.625,42.375,0.104176370744347,3278,"Russian Exclusive economic Zone"
130.375,42.125,0.402211960631409,3250,"North Korean Exclusive Economic Zone"
130.625,42.125,0.774413063841717,3250,"North Korean Exclusive Economic Zone"
130.875,42.125,0.478407952093931,3250,"North Korean Exclusive Economic Zone"
131.125,42.125,0.334996815313395,3250,"Russian Exclusive economic Zone"
131.375,42.125,0.260928731453284,3278,"Russian Exclusive economic Zone"
131.625,42.125,0.284380606554879,3278,"Russian Exclusive economic Zone"
131.875,42.125,0.2648535474794,3278,"Russian Exclusive economic Zone"
132.125,42.125,0.208359929228359,3278,"Russian Exclusive economic Zone"
132.375,42.125,0.103825164242685,3278,"Russian Exclusive economic Zone"
130.125,41.875,0.290832133029815,3250,"North Korean Exclusive Economic Zone"
130.375,41.875,0.865427037415036,3250,"North Korean Exclusive Economic Zone"
130.625,41.875,0.90449682477256,3250,"North Korean Exclusive Economic Zone"
130.875,41.875,0.477735012636964,3250,"North Korean Exclusive Economic Zone"
131.125,41.875,0.228126029467577,3250,"Russian Exclusive economic Zone"
131.375,41.875,0.349048810276184,3250,"Russian Exclusive economic Zone"
131.625,41.875,0.228782800322135,3278,"Russian Exclusive economic Zone"
131.875,41.875,0.30352350885511,3278,"Russian Exclusive economic Zone"
132.125,41.875,0.228664981309787,3278,"Russian Exclusive economic Zone"
129.875,41.625,0.586044155110835,3250,"North Korean Exclusive Economic Zone"
130.125,41.625,0.318942103730683,3250,"North Korean Exclusive Economic Zone"
130.375,41.625,0.675434623830919,3250,"North Korean Exclusive Economic Zone"
130.625,41.625,0.459725040911477,3250,"North Korean Exclusive Economic Zone"
130.875,41.625,0.491242053359831,3250,"North Korean Exclusive Economic Zone"
131.125,41.625,0.360358840329191,3250,"Russian Exclusive economic Zone"
131.375,41.625,0.507889521133142,3250,"Russian Exclusive economic Zone"
131.625,41.625,0.103061535846514,3250,"Russian Exclusive economic Zone"
131.875,41.625,0.241313302742452,3278,"Russian Exclusive economic Zone"
129.875,41.375,0.18934568358651,3250,"North Korean Exclusive Economic Zone"
130.125,41.375,0.39456042909248,3250,"North Korean Exclusive Economic Zone"
130.375,41.375,0.267170854099692,3250,"North Korean Exclusive Economic Zone"
130.625,41.375,0.30549856709352,3250,"North Korean Exclusive Economic Zone"
130.875,41.375,0.0902832535230917,3250,"North Korean Exclusive Economic Zone"
131.125,41.375,0.301845010494108,3250,"North Korean Exclusive Economic Zone"
131.375,41.375,0.608113871990171,3250,"Russian Exclusive economic Zone"
131.625,41.375,0.163706501176547,3250,"Russian Exclusive economic Zone"
129.875,41.125,0.138701079923898,3250,"North Korean Exclusive Economic Zone"
130.125,41.125,0.376768120310578,3250,"North Korean Exclusive Economic Zone"
130.375,41.125,0.376975499924225,3250,"North Korean Exclusive Economic Zone"
130.625,41.125,0.229081633288488,3250,"North Korean Exclusive Economic Zone"
130.875,41.125,0.396221563473838,3250,"North Korean Exclusive Economic Zone"
121.125,40.875,1.28170572974274,3167,"Chinese Exclusive Economic Zone"
129.875,40.875,0.35613953699746,3250,"North Korean Exclusive Economic Zone"
130.125,40.875,0.411827849661899,3250,"North Korean Exclusive Economic Zone"
130.375,40.875,0.266125866100693,3250,"North Korean Exclusive Economic Zone"
130.625,40.875,0.287471920262037,3250,"North Korean Exclusive Economic Zone"
120.875,40.625,1.03384809740969,3167,"Chinese Exclusive Economic Zone"
121.125,40.625,1.33380185216569,3167,"Chinese Exclusive Economic Zone"
121.375,40.625,1.60044381414814,3167,"Chinese Exclusive Economic Zone"
121.625,40.625,2.68383793279367,3167,"Chinese Exclusive Economic Zone"
121.875,40.625,2.2770886672974,3167,"Chinese Exclusive Economic Zone"
122.125,40.625,1.19993505740747,3167,"Chinese Exclusive Economic Zone"
129.375,40.625,0.329390714842989,3250,"North Korean Exclusive Economic Zone"
129.625,40.625,0.0493740666770349,3250,"North Korean Exclusive Economic Zone"
129.875,40.625,0.086357335679985,3250,"North Korean Exclusive Economic Zone"
130.125,40.625,0.0627186612536005,3250,"North Korean Exclusive Economic Zone"
130.375,40.625,0.0233966671903191,3250,"North Korean Exclusive Economic Zone"
130.625,40.625,0.115196741753804,3250,"North Korean Exclusive Economic Zone"
120.625,40.375,0.596251380148581,3167,"Chinese Exclusive Economic Zone"
120.875,40.375,0.247036574860317,3167,"Chinese Exclusive Economic Zone"
121.125,40.375,0.505293493339501,3167,"Chinese Exclusive Economic Zone"
121.375,40.375,0.962699188417537,3167,"Chinese Exclusive Economic Zone"
121.625,40.375,1.82328103379264,3167,"Chinese Exclusive Economic Zone"
121.875,40.375,2.35494858280186,3167,"Chinese Exclusive Economic Zone"
122.125,40.375,1.77660902076515,3167,"Chinese Exclusive Economic Zone"
128.875,40.375,0.0299105284484781,3222,"North Korean Exclusive Economic Zone"
129.125,40.375,0.0390811172059119,3250,"North Korean Exclusive Economic Zone"
129.375,40.375,0.0915544273959789,3250,"North Korean Exclusive Economic Zone"
129.625,40.375,0.0473192287527283,3250,"North Korean Exclusive Economic Zone"
129.875,40.375,0.0136069241093526,3250,"North Korean Exclusive Economic Zone"
130.125,40.375,0.00349043196419806,3250,"North Korean Exclusive Economic Zone"
130.375,40.375,0.0070297117683979,3250,"North Korean Exclusive Economic Zone"
130.625,40.375,0.0601729283612609,3250,"North Korean Exclusive Economic Zone"
120.375,40.125,0.647030766010451,3140,"Chinese Exclusive Economic Zone"
120.625,40.125,0.278203063805613,3167,"Chinese Exclusive Economic Zone"
120.875,40.125,0.269688327791436,3167,"Chinese Exclusive Economic Zone"
121.125,40.125,0.0727575307571247,3167,"Chinese Exclusive Economic Zone"
121.375,40.125,0.49478087156886,3167,"Chinese Exclusive Economic Zone"
121.625,40.125,1.49224653174898,3167,"Chinese Exclusive Economic Zone"
121.875,40.125,2.45448399325321,3167,"Chinese Exclusive Economic Zone"
128.625,40.125,0.0217685283774503,3222,"North Korean Exclusive Economic Zone"
128.875,40.125,0.00616420741440291,3222,"North Korean Exclusive Economic Zone"
129.125,40.125,0.00881827162782034,3222,"North Korean Exclusive Economic Zone"
129.375,40.125,0.0113442072147103,3250,"North Korean Exclusive Economic Zone"
129.625,40.125,0.00307538567268084,3250,"North Korean Exclusive Economic Zone"
129.875,40.125,0.00671435005383017,3250,"North Korean Exclusive Economic Zone"
130.125,40.125,0.0366068088702783,3250,"North Korean Exclusive Economic Zone"
130.375,40.125,0.0198607224515378,3250,"North Korean Exclusive Economic Zone"
119.625,39.875,0.414308776058859,3140,"Chinese Exclusive Economic Zone"
119.875,39.875,0.293921011377555,3140,"Chinese Exclusive Economic Zone"
120.125,39.875,0.463976235131757,3140,"Chinese Exclusive Economic Zone"
120.375,39.875,0.338362860366059,3140,"Chinese Exclusive Economic Zone"
120.625,39.875,0.227074012524415,3167,"Chinese Exclusive Economic Zone"
120.875,39.875,0.103914746945683,3167,"Chinese Exclusive Economic Zone"
