"x","y","sigmaNovelty","cell","EEZ"
134.625,34.125,0.393305342615087,3275,"Japanese Exclusive Economic Zone"
134.875,34.125,0.880772313535376,3302,"Japanese Exclusive Economic Zone"
135.125,34.125,0.414060903604863,3302,"Japanese Exclusive Economic Zone"
131.125,33.875,0.0973156977348718,3247,"Japanese Exclusive Economic Zone"
131.375,33.875,0.167177020507334,3247,"Japanese Exclusive Economic Zone"
134.875,33.875,0.0175060265912102,3302,"Japanese Exclusive Economic Zone"
135.125,33.875,0.0878722497173685,3302,"Japanese Exclusive Economic Zone"
136.125,33.875,0.368385119342115,3302,"Japanese Exclusive Economic Zone"
136.375,33.875,0.25133482160152,3302,"Japanese Exclusive Economic Zone"
131.125,33.625,0.121830824997627,3247,NA
131.375,33.625,0.0156494241078455,3247,"Japanese Exclusive Economic Zone"
134.375,33.625,0.00715586666826938,3302,"Japanese Exclusive Economic Zone"
134.625,33.625,0.0168682182611432,3302,"Japanese Exclusive Economic Zone"
134.875,33.625,0.0150884155108432,3302,"Japanese Exclusive Economic Zone"
135.125,33.625,0.00221855268766583,3302,"Japanese Exclusive Economic Zone"
135.375,33.625,0.00173899275068748,3302,"Japanese Exclusive Economic Zone"
136.125,33.625,0.452967608738667,3302,"Japanese Exclusive Economic Zone"
136.375,33.625,0.26245514791991,3302,"Japanese Exclusive Economic Zone"
133.375,33.375,0.00112868832181692,3275,"Japanese Exclusive Economic Zone"
133.625,33.375,0.0147035572308815,3275,"Japanese Exclusive Economic Zone"
133.875,33.375,0.000121021387408591,3275,"Japanese Exclusive Economic Zone"
134.375,33.375,0.000399356530370616,3302,"Japanese Exclusive Economic Zone"
134.625,33.375,0.00622250122177385,3302,"Japanese Exclusive Economic Zone"
134.875,33.375,0.000457134611133099,3302,"Japanese Exclusive Economic Zone"
135.125,33.375,0.000907860481236463,3302,"Japanese Exclusive Economic Zone"
135.375,33.375,0.00762252304479854,3302,"Japanese Exclusive Economic Zone"
135.625,33.375,0.000935786825268779,3302,"Japanese Exclusive Economic Zone"
135.875,33.375,0.00187653939257433,3302,"Japanese Exclusive Economic Zone"
136.125,33.375,0.00422787995429036,3302,"Japanese Exclusive Economic Zone"
128.875,33.125,0.0032657559095822,3219,"Japanese Exclusive Economic Zone"
129.125,33.125,0.00469574802502262,3247,"Japanese Exclusive Economic Zone"
133.375,33.125,0.00060381737929621,3274,"Japanese Exclusive Economic Zone"
133.625,33.125,0.00124358871504242,3274,"Japanese Exclusive Economic Zone"
133.875,33.125,0.000355063398776107,3274,"Japanese Exclusive Economic Zone"
134.125,33.125,4.2502799856529e-05,3302,"Japanese Exclusive Economic Zone"
134.375,33.125,0.0014029428112869,3302,"Japanese Exclusive Economic Zone"
135.625,33.125,0.00240331324575941,3302,"Japanese Exclusive Economic Zone"
135.875,33.125,0.00132384331468745,3302,"Japanese Exclusive Economic Zone"
128.625,32.875,0.00610067476578114,3219,"Japanese Exclusive Economic Zone"
128.875,32.875,0.00629340751743278,3219,"Japanese Exclusive Economic Zone"
129.125,32.875,0.00169201300041901,3219,"Japanese Exclusive Economic Zone"
129.375,32.875,0.00105329889657281,3247,"Japanese Exclusive Economic Zone"
129.875,32.875,0.0178388668883525,3247,"Japanese Exclusive Economic Zone"
130.375,32.875,0.741935321240939,3247,"Japanese Exclusive Economic Zone"
132.125,32.875,0.00140926816581453,3274,"Japanese Exclusive Economic Zone"
132.375,32.875,0.00173676920952396,3274,"Japanese Exclusive Economic Zone"
133.125,32.875,0.00517113024989198,3274,"Japanese Exclusive Economic Zone"
133.375,32.875,0.00152046041769017,3274,"Japanese Exclusive Economic Zone"
133.625,32.875,0.00150496469983138,3274,"Japanese Exclusive Economic Zone"
133.875,32.875,0.00453919927887124,3274,"Japanese Exclusive Economic Zone"
134.125,32.875,0.0210844538168869,3274,"Japanese Exclusive Economic Zone"
128.375,32.625,0.00150637797168732,3219,"Japanese Exclusive Economic Zone"
128.625,32.625,0.00591539493303763,3219,NA
128.875,32.625,0.00267834620351222,3219,"Japanese Exclusive Economic Zone"
129.125,32.625,0.00285961486223269,3219,"Japanese Exclusive Economic Zone"
129.375,32.625,0.000670220759517689,3247,"Japanese Exclusive Economic Zone"
129.625,32.625,0.00618966275999702,3247,"Japanese Exclusive Economic Zone"
129.875,32.625,0.0247774920181184,3247,"Japanese Exclusive Economic Zone"
130.125,32.625,0.485176426098017,3247,"Japanese Exclusive Economic Zone"
130.375,32.625,1.08672509090046,3247,"Japanese Exclusive Economic Zone"
130.625,32.625,0.746689894506437,3247,"Japanese Exclusive Economic Zone"
131.875,32.625,0.00510577320252535,3274,"Japanese Exclusive Economic Zone"
132.125,32.625,0.00137155282548852,3274,"Japanese Exclusive Economic Zone"
132.375,32.625,0.000874831394439816,3274,"Japanese Exclusive Economic Zone"
133.125,32.625,0.000498476399370422,3274,"Japanese Exclusive Economic Zone"
133.375,32.625,0.0140787076817462,3274,"Japanese Exclusive Economic Zone"
128.125,32.375,0.00115197955725905,3219,"Japanese Exclusive Economic Zone"
128.375,32.375,0.00584337008400549,3219,"Japanese Exclusive Economic Zone"
128.625,32.375,0.00177290106324649,3219,"Japanese Exclusive Economic Zone"
128.875,32.375,0.00190483309129304,3219,"Japanese Exclusive Economic Zone"
129.125,32.375,0.00364010109827692,3219,"Japanese Exclusive Economic Zone"
129.375,32.375,0.00028820133668217,3219,"Japanese Exclusive Economic Zone"
129.625,32.375,0.00414158335430653,3247,"Japanese Exclusive Economic Zone"
129.875,32.375,0.0261617953556563,3247,"Japanese Exclusive Economic Zone"
130.375,32.375,0.965069631868122,3247,"Japanese Exclusive Economic Zone"
131.875,32.375,0.000324769373404575,3274,"Japanese Exclusive Economic Zone"
132.125,32.375,0.00118599759689934,3274,"Japanese Exclusive Economic Zone"
127.875,32.125,0.00954941774025584,3219,"Joint regime area Japan / Korea"
128.125,32.125,0.00579248848990657,3219,"Japanese Exclusive Economic Zone"
128.375,32.125,0.00289138451590371,3219,"Japanese Exclusive Economic Zone"
128.625,32.125,0.00222840505418418,3219,"Japanese Exclusive Economic Zone"
129.375,32.125,0.00306052384451166,3219,"Japanese Exclusive Economic Zone"
129.625,32.125,0.00389982105603993,3247,"Japanese Exclusive Economic Zone"
129.875,32.125,0.00987635722528036,3247,"Japanese Exclusive Economic Zone"
131.625,32.125,0.00363102725412949,3274,"Japanese Exclusive Economic Zone"
131.875,32.125,0.00272918232088524,3274,"Japanese Exclusive Economic Zone"
132.125,32.125,0.000364590623463496,3274,"Japanese Exclusive Economic Zone"
127.875,31.875,0.0182827547883647,3219,"Joint regime area Japan / Korea"
128.125,31.875,0.0234118039009105,3219,"Joint regime area Japan / Korea"
128.375,31.875,0.00508251848787489,3219,"Japanese Exclusive Economic Zone"
128.625,31.875,0.00565511095137332,3219,"Japanese Exclusive Economic Zone"
129.375,31.875,0.00466458598612059,3219,"Japanese Exclusive Economic Zone"
