"x","y","sigmaNovelty","cell","EEZ"
-81.375,-6.125,0.380813097776017,4105,"Peruvian Exclusive Economic Zone"
-81.125,-6.125,0.207772484251095,4105,"Peruvian Exclusive Economic Zone"
-81.375,-6.375,0.412649704712856,4105,"Peruvian Exclusive Economic Zone"
-81.125,-6.375,0.18498664748251,4105,"Peruvian Exclusive Economic Zone"
-80.875,-6.375,0.353102712468522,4105,"Peruvian Exclusive Economic Zone"
-80.625,-6.375,0.405612756337991,4105,NA
-81.125,-6.625,0.136841653945177,4105,"Peruvian Exclusive Economic Zone"
-80.875,-6.625,0.001901669964758,4105,"Peruvian Exclusive Economic Zone"
-80.625,-6.625,0.250385625540023,4105,"Peruvian Exclusive Economic Zone"
-80.375,-6.625,0.490603927129006,4105,"Peruvian Exclusive Economic Zone"
-81.125,-6.875,0.364944626604258,4105,"Peruvian Exclusive Economic Zone"
-80.875,-6.875,0.0796693296026158,4105,"Peruvian Exclusive Economic Zone"
-80.625,-6.875,0.293216222421642,4105,"Peruvian Exclusive Economic Zone"
-80.375,-6.875,0.0724853388862718,4105,"Peruvian Exclusive Economic Zone"
-80.125,-6.875,0.139463977306704,4105,"Peruvian Exclusive Economic Zone"
-81.125,-7.125,0.629045379265946,4105,"Peruvian Exclusive Economic Zone"
-80.875,-7.125,0.445122368598306,4105,"Peruvian Exclusive Economic Zone"
-80.625,-7.125,0.444736931840727,4105,"Peruvian Exclusive Economic Zone"
-80.375,-7.125,0.183300755700389,4105,"Peruvian Exclusive Economic Zone"
-80.125,-7.125,0.356277696672645,4105,"Peruvian Exclusive Economic Zone"
-79.875,-7.125,0.0621296782231902,4105,"Peruvian Exclusive Economic Zone"
-80.875,-7.375,0.0787252593151127,4105,"Peruvian Exclusive Economic Zone"
-80.625,-7.375,0.0262705242127236,4105,"Peruvian Exclusive Economic Zone"
-80.375,-7.375,0.376453915054373,4105,"Peruvian Exclusive Economic Zone"
-80.125,-7.375,0.659959147018911,4105,"Peruvian Exclusive Economic Zone"
-79.875,-7.375,0.0355205146273688,4105,"Peruvian Exclusive Economic Zone"
-79.625,-7.375,0.0256510177771434,1190,"Peruvian Exclusive Economic Zone"
-80.625,-7.625,0.0511580740539213,4105,"Peruvian Exclusive Economic Zone"
-80.375,-7.625,0.0171772700758997,4105,"Peruvian Exclusive Economic Zone"
-80.125,-7.625,0.450995173992582,4105,"Peruvian Exclusive Economic Zone"
-79.875,-7.625,0.597915399647489,4105,"Peruvian Exclusive Economic Zone"
-79.625,-7.625,0.0179690551167456,1190,"Peruvian Exclusive Economic Zone"
-80.625,-7.875,0.604835136701312,4105,"Peruvian Exclusive Economic Zone"
-80.375,-7.875,0.0716403164403037,4105,"Peruvian Exclusive Economic Zone"
-80.125,-7.875,0.291882616628529,4105,"Peruvian Exclusive Economic Zone"
-79.875,-7.875,0.178350134202565,1190,"Peruvian Exclusive Economic Zone"
-79.625,-7.875,0.246847667497409,1190,"Peruvian Exclusive Economic Zone"
-79.375,-7.875,0.0963481013911594,1190,"Peruvian Exclusive Economic Zone"
-80.625,-8.125,0.17463352000693,4105,"Peruvian Exclusive Economic Zone"
-80.375,-8.125,0.292631370433797,4105,"Peruvian Exclusive Economic Zone"
