"x","y","sigmaNovelty","cell","EEZ"
141.625,38.375,0.140430472944593,3359,"Japanese Exclusive Economic Zone"
141.875,38.375,0.0607034728465854,3359,"Japanese Exclusive Economic Zone"
141.625,38.125,0.0988034965902466,3359,"Japanese Exclusive Economic Zone"
141.875,38.125,0.0685701439091443,3359,"Japanese Exclusive Economic Zone"
140.875,36.375,0.0459888833680983,3358,"Japanese Exclusive Economic Zone"
140.625,36.125,0.196973786671338,3358,"Japanese Exclusive Economic Zone"
140.875,36.125,0.160881373544467,3358,"Japanese Exclusive Economic Zone"
138.375,34.875,0.00163634279319811,3330,"Japanese Exclusive Economic Zone"
138.625,34.875,0.0020115027229564,3330,"Japanese Exclusive Economic Zone"
140.125,34.875,0.00346216641049269,3358,"Japanese Exclusive Economic Zone"
140.375,34.875,0.004781094304761,3358,"Japanese Exclusive Economic Zone"
136.875,34.625,1.22331815644464,3330,"Japanese Exclusive Economic Zone"
137.375,34.625,0.487979397804839,3330,"Japanese Exclusive Economic Zone"
137.625,34.625,0.00721452152670552,3330,"Japanese Exclusive Economic Zone"
137.875,34.625,0.0443917193989813,3330,"Japanese Exclusive Economic Zone"
138.125,34.625,0.0676286652018121,3330,"Japanese Exclusive Economic Zone"
138.375,34.625,0.03535008604957,3330,"Japanese Exclusive Economic Zone"
138.625,34.625,0.0543341507060492,3330,"Japanese Exclusive Economic Zone"
140.125,34.625,0.0161777995477185,3358,"Japanese Exclusive Economic Zone"
140.375,34.625,0.0301175821879762,3358,"Japanese Exclusive Economic Zone"
137.125,34.375,0.00986110705011863,3330,"Japanese Exclusive Economic Zone"
137.375,34.375,0.0242575579603086,3330,"Japanese Exclusive Economic Zone"
137.625,34.375,0.0123016802053605,3330,"Japanese Exclusive Economic Zone"
137.875,34.375,0.0210705210318928,3330,"Japanese Exclusive Economic Zone"
138.125,34.375,0.0210692744376602,3330,"Japanese Exclusive Economic Zone"
138.375,34.375,0.0191633487825211,3330,"Japanese Exclusive Economic Zone"
138.625,34.375,0.025373467962161,3330,"Japanese Exclusive Economic Zone"
132.875,34.125,0.166465896999891,3275,"Japanese Exclusive Economic Zone"
133.125,34.125,0.439944532847147,3275,"Japanese Exclusive Economic Zone"
133.375,34.125,0.547033530456684,3275,"Japanese Exclusive Economic Zone"
133.625,34.125,0.858496851216176,3275,"Japanese Exclusive Economic Zone"
134.625,34.125,0.393327059827602,3275,"Japanese Exclusive Economic Zone"
134.875,34.125,1.04502478528057,3302,"Japanese Exclusive Economic Zone"
135.125,34.125,0.414073707788544,3302,"Japanese Exclusive Economic Zone"
137.125,34.125,0.00383638500720332,3330,"Japanese Exclusive Economic Zone"
137.375,34.125,0.0140995457688551,3330,"Japanese Exclusive Economic Zone"
138.125,34.125,0.00580349029423345,3330,"Japanese Exclusive Economic Zone"
138.375,34.125,0.00460160799856361,3330,"Japanese Exclusive Economic Zone"
138.625,34.125,0.00840879338589734,3330,"Japanese Exclusive Economic Zone"
132.625,33.875,0.17784128247119,3275,"Japanese Exclusive Economic Zone"
134.875,33.875,0.0175119316357946,3302,"Japanese Exclusive Economic Zone"
135.125,33.875,0.0878347856676275,3302,"Japanese Exclusive Economic Zone"
136.125,33.875,0.00198272883860792,3302,"Japanese Exclusive Economic Zone"
136.375,33.875,0.00424810655235394,3302,"Japanese Exclusive Economic Zone"
138.375,33.875,0.0351076334893371,3330,"Japanese Exclusive Economic Zone"
138.625,33.875,0.0584384160926889,3330,"Japanese Exclusive Economic Zone"
138.875,33.875,0.0388803410903074,3330,"Japanese Exclusive Economic Zone"
139.875,33.875,0.00142560293892905,3357,"Japanese Exclusive Economic Zone"
132.375,33.625,0.108962614647056,3275,"Japanese Exclusive Economic Zone"
134.375,33.625,0.007158813739583,3302,"Japanese Exclusive Economic Zone"
134.625,33.625,0.0168668107358792,3302,"Japanese Exclusive Economic Zone"
134.875,33.625,0.0150914057675329,3302,"Japanese Exclusive Economic Zone"
135.125,33.625,0.00221998212850169,3302,"Japanese Exclusive Economic Zone"
135.375,33.625,0.00173996013248916,3302,"Japanese Exclusive Economic Zone"
136.125,33.625,0.0037052342589003,3302,"Japanese Exclusive Economic Zone"
136.375,33.625,0.0016438830403784,3302,"Japanese Exclusive Economic Zone"
138.625,33.625,0.00435975033775039,3330,"Japanese Exclusive Economic Zone"
138.875,33.625,0.00206423589084899,3330,"Japanese Exclusive Economic Zone"
139.375,33.625,0.0013063011532622,3357,"Japanese Exclusive Economic Zone"
139.625,33.625,0.000961871930625353,3357,"Japanese Exclusive Economic Zone"
139.875,33.625,0.00106872556838372,3357,"Japanese Exclusive Economic Zone"
140.125,33.625,0.00246321479764823,3357,"Japanese Exclusive Economic Zone"
132.375,33.375,0.00684047312506408,3275,"Japanese Exclusive Economic Zone"
133.375,33.375,0.00112876649162081,3275,"Japanese Exclusive Economic Zone"
133.625,33.375,0.0147036386789991,3275,"Japanese Exclusive Economic Zone"
133.875,33.375,0.000120845977178313,3275,"Japanese Exclusive Economic Zone"
134.375,33.375,0.000399771899203534,3302,"Japanese Exclusive Economic Zone"
134.625,33.375,0.00622246401845053,3302,"Japanese Exclusive Economic Zone"
134.875,33.375,0.000456704808719086,3302,"Japanese Exclusive Economic Zone"
135.125,33.375,0.000906933254259518,3302,"Japanese Exclusive Economic Zone"
135.375,33.375,0.00899189880919197,3302,"Japanese Exclusive Economic Zone"
135.625,33.375,0.000936564540247079,3302,"Japanese Exclusive Economic Zone"
135.875,33.375,0.00187476276783348,3302,"Japanese Exclusive Economic Zone"
136.125,33.375,0.00903745347718358,3302,"Japanese Exclusive Economic Zone"
139.375,33.375,0.00102710524249545,3357,"Japanese Exclusive Economic Zone"
139.625,33.375,0.00122080662909313,3357,"Japanese Exclusive Economic Zone"
139.875,33.375,0.000291940457965735,3357,"Japanese Exclusive Economic Zone"
140.125,33.375,0.00371660373499693,3357,"Japanese Exclusive Economic Zone"
129.375,33.125,0.00290277987977709,3247,"Japanese Exclusive Economic Zone"
129.625,33.125,0.031466671293196,3247,"Japanese Exclusive Economic Zone"
132.125,33.125,0.0180175697703325,3247,"Japanese Exclusive Economic Zone"
132.375,33.125,0.00683664411380605,3274,"Japanese Exclusive Economic Zone"
133.375,33.125,0.000603714210007572,3274,"Japanese Exclusive Economic Zone"
133.625,33.125,0.00124410110060598,3274,"Japanese Exclusive Economic Zone"
133.875,33.125,0.000354466622726791,3274,"Japanese Exclusive Economic Zone"
