"Species","EEZ","p2","p4","Average","Max"
"Lutjanus erythropterus","Australian Exclusive Economic Zone",0,0,0.00391044879857171,0.11576519853596
"Lutjanus erythropterus","Bangladeshi Exclusive Economic Zone",0.333333333333333,0,0.834791065453257,2.46396596609432
"Lutjanus erythropterus","Bruneian Exclusive Economic Zone",0,0,0.000492285273845311,0.0135002580993695
"Lutjanus erythropterus","Cambodian Exclusive Economic Zone",0,0,0.00136636605628719,0.0138731883043003
"Lutjanus erythropterus","Chagos Archipelago Exclusive Economic Zone",0,0,8.03320366848785e-05,0.000410520109192457
"Lutjanus erythropterus","Chinese Exclusive Economic Zone",0,0,0.0273555669107562,1.58778226934523
"Lutjanus erythropterus","Christmas Island Exclusive Economic Zone",0,0,7.83799897977917e-05,0.00020349831183303
"Lutjanus erythropterus","Cocos Islands Exclusive Economic Zone",0,0,0.00442137711473842,0.00783204237699701
"Lutjanus erythropterus","East Timorian Exclusive Economic Zone",0,0,0.0033043566720014,0.0149840091055171
"Lutjanus erythropterus","Indian Exclusive Economic Zone",0,0,0.0161802940636612,0.611049194689962
"Lutjanus erythropterus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.00259345039848656,0.113359076651241
"Lutjanus erythropterus","Indonesian Exclusive Economic Zone",0,0,0.00384538437139854,0.562085406868955
"Lutjanus erythropterus","Iranian Exclusive Economic Zone",0,0,0.939223361827101,1.02403517455934
"Lutjanus erythropterus","Japanese Exclusive Economic Zone",0,0,0.002055033832895,0.110776955875652
"Lutjanus erythropterus","Joint regime area Australia / Papua New Guinea",0,0,0.000390172125777051,0.00110204576418192
"Lutjanus erythropterus","Joint regime area Japan / Korea",0,0,0.00118938984667724,0.00310134947748408
"Lutjanus erythropterus","Malaysian Exclusive Economic Zone",0,0,0.00227361935143318,0.368228545566434
"Lutjanus erythropterus","Maldives Exclusive Economic Zone",0,0,0.000642501002489346,0.00329786255122299
"Lutjanus erythropterus","Mauritian Exclusive Economic Zone",0,0,0.000285306202927845,0.00239732041693426
"Lutjanus erythropterus","Micronesian Exclusive Economic Zone",0,0,0.00922153912376159,0.0798551274799453
"Lutjanus erythropterus","Myanmar Exclusive Economic Zone",0,0,0.0051891106484395,0.113359076651241
"Lutjanus erythropterus","Northern Mariana Exclusive Economic Zone",0,0,0.000460667024121423,0.000981825169250439
"Lutjanus erythropterus","Oecussi Ambeno Exclusive Economic Zone",0,0,4.77890708262227e-05,7.72775368508644e-05
"Lutjanus erythropterus","Omani Exclusive Economic Zone",0,0,0.159064022488184,0.677568081437099
"Lutjanus erythropterus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.00289087375820435,0.0338198015715028
"Lutjanus erythropterus","Overlapping claim South China Sea",0,0,0.000543436657534104,0.00564279678632858
"Lutjanus erythropterus","Pakistani Exclusive Economic Zone",0,0,9.54217963086116e-05,0.00137653614558078
"Lutjanus erythropterus","Palau Exclusive Economic Zone",0,0,0.00214417585045234,0.0090375823463338
"Lutjanus erythropterus","Papua New Guinean Exclusive Economic Zone",0,0,0.000502126858827949,0.102121860105016
"Lutjanus erythropterus","Philippines Exclusive Economic Zone",0,0,0.00600690149664044,1.4172797243963
"Lutjanus erythropterus","Réunion Exclusive Economic Zone",0,0,0.000205930408328303,0.00110380621977755
"Lutjanus erythropterus","Seychellois Exclusive Economic Zone",0,0,2.07754639513884e-05,0.000195539700108017
"Lutjanus erythropterus","Solomon Islands Exclusive Economic Zone",0,0,0.000230970000736469,0.00171459813961375
"Lutjanus erythropterus","Sri Lankan Exclusive Economic Zone",0,0,0.040040566781511,0.611049194689962
"Lutjanus erythropterus","Taiwanese Exclusive Economic Zone",0,0,0.0226659355881688,1.09803470833005
"Lutjanus erythropterus","Thailand Exclusive Economic Zone",0,0,0.0041552917643948,0.266815613599047
"Lutjanus erythropterus","Vietnamese Exclusive Economic Zone",0,0,0.0148244931549609,0.742313936976141
