"x","y","sigmaNovelty","cell","EEZ"
134.625,34.125,0.393332184723758,3275,"Japanese Exclusive Economic Zone"
134.875,34.125,1.04502775792279,3302,"Japanese Exclusive Economic Zone"
135.125,34.125,0.414075127572768,3302,"Japanese Exclusive Economic Zone"
134.875,33.875,0.0175129323846554,3302,"Japanese Exclusive Economic Zone"
135.125,33.875,0.0878257045415292,3302,"Japanese Exclusive Economic Zone"
136.125,33.875,0.0219373769608617,3302,"Japanese Exclusive Economic Zone"
136.375,33.875,0.00988227407548669,3302,"Japanese Exclusive Economic Zone"
139.875,33.875,0.00142565805729356,3357,"Japanese Exclusive Economic Zone"
134.375,33.625,0.00715937551511759,3302,"Japanese Exclusive Economic Zone"
134.625,33.625,0.0168662940527967,3302,"Japanese Exclusive Economic Zone"
134.875,33.625,0.0164051073500699,3302,"Japanese Exclusive Economic Zone"
135.125,33.625,0.0022202083533568,3302,"Japanese Exclusive Economic Zone"
135.375,33.625,0.00174011640158439,3302,"Japanese Exclusive Economic Zone"
136.125,33.625,0.0245679137214783,3302,"Japanese Exclusive Economic Zone"
136.375,33.625,0.0123067194226563,3302,"Japanese Exclusive Economic Zone"
139.375,33.625,0.00130654723075657,3357,"Japanese Exclusive Economic Zone"
139.625,33.625,0.000962159819753187,3357,"Japanese Exclusive Economic Zone"
139.875,33.625,0.00106894271905768,3357,"Japanese Exclusive Economic Zone"
140.125,33.625,0.00246333808347472,3357,"Japanese Exclusive Economic Zone"
133.875,33.375,0.000120812621089337,3275,"Japanese Exclusive Economic Zone"
134.375,33.375,0.000399835578004223,3302,"Japanese Exclusive Economic Zone"
134.625,33.375,0.00622243111021115,3302,"Japanese Exclusive Economic Zone"
134.875,33.375,0.000456594167945961,3302,"Japanese Exclusive Economic Zone"
135.125,33.375,0.0009067390525403,3302,"Japanese Exclusive Economic Zone"
135.375,33.375,0.00899192235083975,3302,"Japanese Exclusive Economic Zone"
135.625,33.375,0.000936659707226194,3302,"Japanese Exclusive Economic Zone"
135.875,33.375,0.0018743715816595,3302,"Japanese Exclusive Economic Zone"
136.125,33.375,0.0090375255978229,3302,"Japanese Exclusive Economic Zone"
139.375,33.375,0.0010275406915126,3357,"Japanese Exclusive Economic Zone"
139.625,33.375,0.00122134842485927,3357,"Japanese Exclusive Economic Zone"
139.875,33.375,0.000291986843825668,3357,"Japanese Exclusive Economic Zone"
140.125,33.375,0.00376546792386229,3357,"Japanese Exclusive Economic Zone"
129.375,33.125,0.00290303607508784,3247,"Japanese Exclusive Economic Zone"
