"Species","EEZ","p2","p4","Average","Max"
"Lutjanus purpureus","Anguilla Exclusive Economic Zone",0,0,9.63422526819264e-05,0.000270357872237618
"Lutjanus purpureus","Antigua and Barbuda Exclusive Economic Zone",0,0,3.89451799786979e-05,0.000192080948611923
"Lutjanus purpureus","Aruban Exclusive Economic Zone",0,0,6.81636602215101e-05,0.00052100591527839
"Lutjanus purpureus","Bahamas Exclusive Economic Zone",0,0,0.0195187146755153,0.291761741252483
"Lutjanus purpureus","Barbados Exclusive Economic Zone",0,0,0.000170594579684891,0.00165649565728221
"Lutjanus purpureus","Belizean Exclusive Economic Zone",0,0,0.0480883562682762,0.119053437972327
"Lutjanus purpureus","Bonaire Exclusive Economic Zone",0,0,6.80800301247182e-05,0.000195974166216531
"Lutjanus purpureus","Brazilian Exclusive Economic Zone",0,0,0.0122957669861896,0.246987018370088
"Lutjanus purpureus","British Virgin Islands Exclusive Economic Zone",0,0,0.000219312914431048,0.00121840652819223
"Lutjanus purpureus","Cayman Islands Exclusive Economic Zone",0,0,0.0151244608597044,0.037064395870393
"Lutjanus purpureus","Colombian Exclusive Economic Zone",0,0,0.0239327259747539,0.496371581345671
"Lutjanus purpureus","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,0.0002101692949345,0.0002101692949345
"Lutjanus purpureus","Colombian Exclusive Economic Zone (Quitasueño)",0,0,0.0014017019455798,0.0016104756230699
"Lutjanus purpureus","Colombian Exclusive Economic Zone (Serrana)",0,0,0.000568576421532381,0.000829525345805323
"Lutjanus purpureus","Colombian Exclusive Economic Zone (Serranilla)",0,0,0.000329948940248929,0.00036687698716065
"Lutjanus purpureus","Costa Rican Exclusive Economic Zone",0,0,0.00264538814140983,0.0546093706415492
"Lutjanus purpureus","Cuban Exclusive Economic Zone",0,0,0.0243843874448361,0.337182443041035
"Lutjanus purpureus","Curaçaoan Exclusive Economic Zone",0,0,4.27151103237802e-05,9.64056786596932e-05
"Lutjanus purpureus","Dominican Exclusive Economic Zone",0,0,2.65713193538838e-05,0.000195666820188551
"Lutjanus purpureus","Dominican Republic Exclusive Economic Zone",0,0,0.000355247434416197,0.0041294218625436
"Lutjanus purpureus","French Guiana Exclusive Economic Zone",0,0,0.00713314703157514,0.246987018370088
"Lutjanus purpureus","Grenadian Exclusive Economic Zone",0,0,0.00128910193125372,0.00826887550313717
"Lutjanus purpureus","Guadeloupean Exclusive Economic Zone",0,0,2.68669061633866e-05,0.000192080948611923
"Lutjanus purpureus","Guyanese Exclusive Economic Zone",0,0,0.00623555433158348,0.173791371212812
"Lutjanus purpureus","Haitian Exclusive Economic Zone",0,0,0.000145045759411531,0.000900421721450708
"Lutjanus purpureus","Honduran Exclusive Economic Zone",0,0,0.0407943875717819,0.265157169703284
"Lutjanus purpureus","Jamaican Exclusive Economic Zone",0,0,0.00644553861594136,0.0533531775281699
"Lutjanus purpureus","Joint regime area Colombia / Jamaica",0,0,0.000261974771257135,0.000393082976380876
"Lutjanus purpureus","Martinican Exclusive Economic Zone",0,0,4.99355174209706e-05,0.0012033752276267
"Lutjanus purpureus","Mexican Exclusive Economic Zone",0,0,0.00243862594148176,0.0321911019206289
"Lutjanus purpureus","Montserrat Exclusive Economic Zone",0,0,1.94741376571002e-05,7.31231093816068e-05
"Lutjanus purpureus","Nicaraguan Exclusive Economic Zone",0,0,0.0266735579324441,0.233708501749438
"Lutjanus purpureus","Overlapping claim Navassa Island: USA / Haiti / Jamaica",0,0,0.00077618069069934,0.00173294239687391
"Lutjanus purpureus","Overlapping claim: Puerto Rico / Dominican Republic",0,0,0.000188117622025552,0.000392114176261947
"Lutjanus purpureus","Panamanian Exclusive Economic Zone",0,0,0.00789720478048475,0.25934191564179
"Lutjanus purpureus","Puerto Rican Exclusive Economic Zone",0,0,0.000151840803733559,0.0014573429366165
"Lutjanus purpureus","Saba Exclusive Economic Zone",0,0,1.44703047047479e-05,7.14008400521268e-05
"Lutjanus purpureus","Saint Kitts and Nevis Exclusive Economic Zone",0,0,1.68232225692048e-05,5.95563986301019e-05
"Lutjanus purpureus","Saint Lucia Exclusive Economic Zone",0,0,0.000801571981678519,0.0024206580154266
"Lutjanus purpureus","Saint Vincent and the Grenadines Exclusive Economic Zone",0,0,0.000838095569009075,0.0027820137442475
"Lutjanus purpureus","Saint-Barthélemy Exclusive Economic Zone",0,0,5.84793669168936e-05,0.000192080948611923
"Lutjanus purpureus","Saint-Martin Exclusive Economic Zone",0,0,1.56203418022365e-05,3.57719987322501e-05
"Lutjanus purpureus","Sint-Eustatius Exclusive Economic Zone",0,0,1.50970593969591e-05,5.95563986301019e-05
"Lutjanus purpureus","Sint-Maarten Exclusive Economic Zone",0,0,3.16481813561411e-06,3.16481813561411e-06
"Lutjanus purpureus","Surinamese Exclusive Economic Zone",0,0,0.0022553773642594,0.08018524629809
"Lutjanus purpureus","Trinidad and Tobago Exclusive Economic Zone",0,0,0.00447067201385188,0.0446557407978523
"Lutjanus purpureus","Turks and Caicos Exclusive Economic Zone",0,0,0.000944660776134139,0.0041294218625436
"Lutjanus purpureus","United States Exclusive Economic Zone",0,0,0.00801839654898157,0.0626792757797806
"Lutjanus purpureus","Venezuelan Exclusive Economic Zone",0,0,0.00880589378998941,0.689433684293816
"Lutjanus purpureus","Virgin Islander Exclusive Economic Zone",0,0,0.000167153938454336,0.00121840652819223
