"Species","EEZ","p2","p4","Average","Max"
"Megalops atlanticus","Angolan Exclusive Economic Zone",0,0,0.107436261844246,0.788901977512259
"Megalops atlanticus","Anguilla Exclusive Economic Zone",0,0,4.27515795193172e-05,0.000152836210687703
"Megalops atlanticus","Antigua and Barbuda Exclusive Economic Zone",0,0,2.27997293424164e-05,0.000152836210687703
"Megalops atlanticus","Argentinean Exclusive Economic Zone",0,0,0.0575505315707144,0.659981913497577
"Megalops atlanticus","Aruban Exclusive Economic Zone",0,0,0.000100607517193369,0.000738354537931957
"Megalops atlanticus","Ascension Exclusive Economic Zone",0,0,0.000267384641630664,0.000569528354185438
"Megalops atlanticus","Bahamas Exclusive Economic Zone",0,0,0.00521221769143921,0.163720190297668
"Megalops atlanticus","Barbados Exclusive Economic Zone",0,0,0.00018502960576659,0.00165650404859071
"Megalops atlanticus","Belizean Exclusive Economic Zone",0,0,0.0110081156878249,0.106030881766885
"Megalops atlanticus","Beninese Exclusive Economic Zone",0,0,0.0147501014131767,0.0643359433950995
"Megalops atlanticus","Bermudian Exclusive Economic Zone",0,0,0.0138778998111661,0.0415017077205606
"Megalops atlanticus","Bonaire Exclusive Economic Zone",0,0,6.55078751855692e-05,0.000199091355298167
"Megalops atlanticus","Brazilian Exclusive Economic Zone",0,0,0.0328777118605152,0.72949337156741
"Megalops atlanticus","British Virgin Islands Exclusive Economic Zone",0,0,0.000184125095166725,0.000995912916677121
"Megalops atlanticus","Cameroonian Exclusive Economic Zone",0,0,0.0314210981384196,0.258681275124492
"Megalops atlanticus","Canadian Exclusive Economic Zone",0.0555555555555556,0,0.4871201241998,2.99735409865374
"Megalops atlanticus","Cape Verdean Exclusive Economic Zone",0,0,0.0590271564183084,0.283107042870335
"Megalops atlanticus","Cayman Islands Exclusive Economic Zone",0,0,0.00762057501932555,0.0123806423321381
"Megalops atlanticus","Colombian Exclusive Economic Zone",0,0,0.0247375652465598,0.627609761099479
"Megalops atlanticus","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,0.000210051635209376,0.000210051635209376
"Megalops atlanticus","Colombian Exclusive Economic Zone (Quitasueño)",0,0,0.00135076350769931,0.00160956476479178
"Megalops atlanticus","Colombian Exclusive Economic Zone (Serrana)",0,0,0.00056825619696717,0.000829172265281799
"Megalops atlanticus","Colombian Exclusive Economic Zone (Serranilla)",0,0,0.000329775248206472,0.000366678948977346
"Megalops atlanticus","Congolese Exclusive Economic Zone",0,0,0.0151938923198795,0.0198901285629564
"Megalops atlanticus","Costa Rican Exclusive Economic Zone",0,0,0.00295451076489683,0.0546340963595746
"Megalops atlanticus","Cuban Exclusive Economic Zone",0,0,0.00974573641186374,0.278604421055119
"Megalops atlanticus","Curaçaoan Exclusive Economic Zone",0,0,5.9162526809661e-05,0.00015466283091395
"Megalops atlanticus","Democratic Republic of the Congo Exclusive Economic Zone",0,0,0.222279981018833,0.788901977512259
"Megalops atlanticus","Dominican Exclusive Economic Zone",0,0,2.97177804584748e-05,0.000287289777817657
"Megalops atlanticus","Dominican Republic Exclusive Economic Zone",0,0,0.000366252132010381,0.00305479050043269
"Megalops atlanticus","Equatorial Guinean Exclusive Economic Zone",0,0,0.0119092060739729,0.258681275124492
"Megalops atlanticus","French Exclusive Economic Zone",0,0,0.0205209708823033,0.0836571900663446
"Megalops atlanticus","French Guiana Exclusive Economic Zone",0,0,0.00238054328063317,0.13245946122037
"Megalops atlanticus","Gabonese Exclusive Economic Zone",0,0,0.0094972675028522,0.0859621023366742
"Megalops atlanticus","Gambian Exclusive Economic Zone",0,0,0.0676037157211476,0.374853443376035
"Megalops atlanticus","Ghanaian Exclusive Economic Zone",0,0,0.0271796518904345,0.28140179015841
"Megalops atlanticus","Grenadian Exclusive Economic Zone",0,0,0.000806255330767163,0.00288186885223806
"Megalops atlanticus","Guadeloupean Exclusive Economic Zone",0,0,2.57643154016361e-05,0.000287289777817657
"Megalops atlanticus","Guatemalan Exclusive Economic Zone",0,0,0.188943675307206,0.333507812421205
"Megalops atlanticus","Guinea Bissau Exclusive Economic Zone",0,0,0.0130192687449827,0.206295165288185
"Megalops atlanticus","Guinean Exclusive Economic Zone",0,0,0.00507240499757312,0.0800055772639284
"Megalops atlanticus","Guyanese Exclusive Economic Zone",0,0,0.00728313253681856,0.173816208172293
"Megalops atlanticus","Haitian Exclusive Economic Zone",0,0,0.000180510724727286,0.00240463017867136
"Megalops atlanticus","Honduran Exclusive Economic Zone",0,0,0.0172327666892874,0.102875028721765
"Megalops atlanticus","Ivory Coast Exclusive Economic Zone",0,0,0.0366722136728491,0.322724262406349
"Megalops atlanticus","Jamaican Exclusive Economic Zone",0,0,0.00196286328478701,0.0119300696617139
"Megalops atlanticus","Joint regime area Argentina / Uruguay",0,0,0.0876496791457915,0.425476270172077
"Megalops atlanticus","Joint regime area Colombia / Jamaica",0,0,0.00026847721557392,0.000392938885185009
