"x","y","sigmaNovelty","cell","EEZ"
-2.375,46.875,0.0547899606591961,1481,"French Exclusive Economic Zone"
-2.375,46.625,0.0466138217530867,1481,"French Exclusive Economic Zone"
-2.125,46.625,0.0695907843874566,1481,"French Exclusive Economic Zone"
-1.875,46.625,0.0731266193584408,1481,"French Exclusive Economic Zone"
-3.875,46.375,0.0119053897518134,919,"French Exclusive Economic Zone"
-3.625,46.375,0.014476629186895,919,"French Exclusive Economic Zone"
-2.125,46.375,0.0377286905362627,1481,"French Exclusive Economic Zone"
-1.875,46.375,0.0714172905592299,1481,"French Exclusive Economic Zone"
-1.625,46.375,0.0702441061391704,1481,"French Exclusive Economic Zone"
-4.125,46.125,0.00473568195439126,919,"French Exclusive Economic Zone"
-3.875,46.125,0.00193550062735975,919,"French Exclusive Economic Zone"
-3.625,46.125,0.000183998745334693,919,"French Exclusive Economic Zone"
-3.375,46.125,0.013308776880774,919,"French Exclusive Economic Zone"
-1.875,46.125,0.0633276392305376,1481,"French Exclusive Economic Zone"
-1.625,46.125,0.0704054667262505,1481,"French Exclusive Economic Zone"
-1.375,46.125,0.0780523582838654,1481,"French Exclusive Economic Zone"
-4.125,45.875,0.016420226416591,919,"French Exclusive Economic Zone"
-3.875,45.875,0.00327269422402156,919,"French Exclusive Economic Zone"
-3.625,45.875,0.00032785449970833,919,"French Exclusive Economic Zone"
-3.375,45.875,0.000857740209075156,919,"French Exclusive Economic Zone"
-3.125,45.875,0.00800671337457528,919,"French Exclusive Economic Zone"
-1.625,45.875,0.0481667539558281,1481,"French Exclusive Economic Zone"
-1.375,45.875,0.0330027413876974,1481,"French Exclusive Economic Zone"
-1.125,45.875,0.0836571900663446,1481,"French Exclusive Economic Zone"
-3.875,45.625,0.0250244516215382,919,"French Exclusive Economic Zone"
-3.625,45.625,0.00228650088519344,919,"French Exclusive Economic Zone"
-3.375,45.625,0.00194312917065708,919,"French Exclusive Economic Zone"
-3.125,45.625,0.00277134121510403,919,"French Exclusive Economic Zone"
-2.875,45.625,0.00340800199889184,919,"French Exclusive Economic Zone"
-2.625,45.625,0.00230061023910053,919,"French Exclusive Economic Zone"
-2.375,45.625,0.00501229599586301,1480,"French Exclusive Economic Zone"
-1.625,45.625,0.00355779772199638,1481,"French Exclusive Economic Zone"
-1.375,45.625,0.0588841418606021,1481,"French Exclusive Economic Zone"
-1.125,45.625,0.0802673636024136,1481,"French Exclusive Economic Zone"
-3.625,45.375,0.00872801298350166,919,"French Exclusive Economic Zone"
-3.375,45.375,0.000162236207797411,919,"French Exclusive Economic Zone"
-3.125,45.375,0.00124295778386307,1480,"French Exclusive Economic Zone"
-2.875,45.375,0.00301993287351152,1480,"French Exclusive Economic Zone"
-2.625,45.375,0.00422230909035287,1480,"French Exclusive Economic Zone"
-2.375,45.375,0.00358432380114219,1480,"French Exclusive Economic Zone"
-2.125,45.375,0.00743149041106035,1480,"French Exclusive Economic Zone"
-1.625,45.375,0.00739634551032634,1480,"French Exclusive Economic Zone"
-1.375,45.375,0.0311116408414496,1480,"French Exclusive Economic Zone"
-2.875,45.125,0.0169128623412573,1480,"French Exclusive Economic Zone"
-2.625,45.125,0.01350606388384,1480,"French Exclusive Economic Zone"
-2.375,45.125,0.00643301887904315,1480,"French Exclusive Economic Zone"
-2.125,45.125,0.00932676999218745,1480,"French Exclusive Economic Zone"
-1.625,45.125,0.00909868048370974,1480,"French Exclusive Economic Zone"
-1.375,45.125,0.0534083017900745,1480,"French Exclusive Economic Zone"
-62.375,44.875,1.65669110753643,739,"Canadian Exclusive Economic Zone"
-62.125,44.875,1.37964158298538,739,"Canadian Exclusive Economic Zone"
-2.625,44.875,0.0440178087165397,1480,"French Exclusive Economic Zone"
-2.375,44.875,0.0425092767785482,1480,"French Exclusive Economic Zone"
-1.625,44.875,0.0155970996695417,1480,"French Exclusive Economic Zone"
-1.375,44.875,0.0567241351380705,1480,"French Exclusive Economic Zone"
-62.375,44.625,2.59701857272221,739,"Canadian Exclusive Economic Zone"
-62.125,44.625,2.99735409865374,739,"Canadian Exclusive Economic Zone"
-1.625,44.625,0.00621957293449285,1480,"French Exclusive Economic Zone"
-1.375,44.625,0.0613347424641487,1480,"French Exclusive Economic Zone"
-1.625,44.375,0.00501312941575354,1480,"French Exclusive Economic Zone"
-1.375,44.375,0.00976884307961669,1480,"French Exclusive Economic Zone"
-8.125,44.125,0.0237392698762965,945,"Spanish Exclusive Economic Zone"
-7.875,44.125,0.00692684689786463,945,"Spanish Exclusive Economic Zone"
-7.625,44.125,0.0126664636384268,945,"Spanish Exclusive Economic Zone"
-7.375,44.125,0.0117588565443829,946,"Spanish Exclusive Economic Zone"
-7.125,44.125,0.0131183145875713,946,"Spanish Exclusive Economic Zone"
-6.875,44.125,0.00198961724616806,946,"Spanish Exclusive Economic Zone"
