"x","y","sigmaNovelty","cell","EEZ"
-67.125,45.125,0.045169425884427,738,"Canadian Exclusive Economic Zone"
-66.875,44.875,0.0991280393894838,738,"Canadian Exclusive Economic Zone"
-66.625,44.875,0.0381875475815877,738,"Canadian Exclusive Economic Zone"
-67.125,44.625,0.0477919909895858,738,"United States Exclusive Economic Zone"
-66.625,44.625,0.278612555233641,738,"Canadian Exclusive Economic Zone"
-68.125,44.375,0.249475049678374,568,"United States Exclusive Economic Zone"
-67.875,44.375,0.181162896538148,568,"United States Exclusive Economic Zone"
-67.625,44.375,0.163955065048645,568,"United States Exclusive Economic Zone"
-67.375,44.375,0.0945189948019021,738,"United States Exclusive Economic Zone"
-67.125,44.375,0.0689088799575943,738,"Canadian Exclusive Economic Zone"
-66.875,44.375,0.11766660010736,738,"Canadian Exclusive Economic Zone"
-68.875,44.125,0.271217349528752,568,"United States Exclusive Economic Zone"
-68.625,44.125,0.34613391081834,568,"United States Exclusive Economic Zone"
-68.375,44.125,0.0646039031323798,568,"United States Exclusive Economic Zone"
-68.125,44.125,0.117234931570961,568,"United States Exclusive Economic Zone"
-67.875,44.125,0.167463551085834,568,"United States Exclusive Economic Zone"
-67.625,44.125,0.0444151911179353,568,"United States Exclusive Economic Zone"
-69.375,43.875,0.0424793502916389,568,"United States Exclusive Economic Zone"
-69.125,43.875,0.184973493248215,568,"United States Exclusive Economic Zone"
-68.875,43.875,0.348661431978814,568,"United States Exclusive Economic Zone"
-68.625,43.875,0.226531005093256,568,"United States Exclusive Economic Zone"
-68.375,43.875,0.237229004139854,568,"United States Exclusive Economic Zone"
-68.125,43.875,0.191120788049721,568,"United States Exclusive Economic Zone"
-67.875,43.875,0.198761289187802,568,"United States Exclusive Economic Zone"
-70.125,43.625,0.549188107501276,595,"United States Exclusive Economic Zone"
-69.875,43.625,0.251779682475156,595,"United States Exclusive Economic Zone"
-69.625,43.625,0.234752369655042,568,"United States Exclusive Economic Zone"
-69.375,43.625,0.0386730287827794,568,"United States Exclusive Economic Zone"
-69.125,43.625,0.117436849141922,568,"United States Exclusive Economic Zone"
-68.875,43.625,0.0569006129450567,568,"United States Exclusive Economic Zone"
-68.625,43.625,0.0155449157686124,737,"United States Exclusive Economic Zone"
-70.375,43.375,0.195373258163808,595,"United States Exclusive Economic Zone"
-70.125,43.375,0.108321785411439,595,"United States Exclusive Economic Zone"
-69.875,43.375,0.00439202204530902,595,"United States Exclusive Economic Zone"
-69.625,43.375,0.18108343016168,595,"United States Exclusive Economic Zone"
-69.375,43.375,0.334868611487271,737,"United States Exclusive Economic Zone"
-69.125,43.375,0.527746366526318,737,"United States Exclusive Economic Zone"
-68.875,43.375,0.642982493471489,737,"United States Exclusive Economic Zone"
-70.625,43.125,0.348684529520335,595,"United States Exclusive Economic Zone"
-70.375,43.125,0.022220217960378,595,"United States Exclusive Economic Zone"
-70.125,43.125,0.101352653336186,595,"United States Exclusive Economic Zone"
-70.625,42.875,0.229460288752147,595,"United States Exclusive Economic Zone"
-70.375,42.875,0.125955653258419,595,"United States Exclusive Economic Zone"
-70.375,42.625,0.0459241523366977,595,"United States Exclusive Economic Zone"
-70.125,42.625,0.029260576938955,595,"United States Exclusive Economic Zone"
-69.875,42.625,0.192186515746274,595,"United States Exclusive Economic Zone"
-70.875,42.375,0.346619829969364,595,"United States Exclusive Economic Zone"
-70.625,42.375,0.453087684516653,595,"United States Exclusive Economic Zone"
-70.375,42.375,0.0469675689883776,595,"United States Exclusive Economic Zone"
-70.125,42.375,0.0752436522471596,595,"United States Exclusive Economic Zone"
-69.875,42.375,0.0492433854650856,595,"United States Exclusive Economic Zone"
-69.625,42.375,0.0491736422884453,737,"United States Exclusive Economic Zone"
-70.625,42.125,0.318422942735449,595,"United States Exclusive Economic Zone"
-70.375,42.125,0.0916723386017577,595,"United States Exclusive Economic Zone"
-70.125,42.125,0.0428197462665342,595,"United States Exclusive Economic Zone"
-69.875,42.125,0.0744945317002306,595,"United States Exclusive Economic Zone"
-69.625,42.125,0.0497894726163311,737,"United States Exclusive Economic Zone"
-69.375,42.125,0.0683728003499438,737,"United States Exclusive Economic Zone"
-68.125,42.125,0.0294577300958225,737,"United States Exclusive Economic Zone"
-67.875,42.125,0.0340795817157589,737,"United States Exclusive Economic Zone"
-70.375,41.875,0.727124255859323,736,"United States Exclusive Economic Zone"
-70.125,41.875,0.706371687390623,736,"United States Exclusive Economic Zone"
-69.875,41.875,0.0760928443911859,736,"United States Exclusive Economic Zone"
-69.625,41.875,0.0380644718107073,736,"United States Exclusive Economic Zone"
-69.375,41.875,0.0737589975794167,736,"United States Exclusive Economic Zone"
-68.375,41.875,0.119385739520432,737,"United States Exclusive Economic Zone"
-68.125,41.875,0.039994649281744,737,"United States Exclusive Economic Zone"
-67.875,41.875,0.00209298057200382,737,"United States Exclusive Economic Zone"
-67.625,41.875,0.0328432422913683,737,"United States Exclusive Economic Zone"
-66.375,41.875,0.0315078858082822,737,"Canadian Exclusive Economic Zone"
-66.125,41.875,0.0515365591445722,765,"Canadian Exclusive Economic Zone"
-71.375,41.625,0.0713011511402134,736,"United States Exclusive Economic Zone"
-70.875,41.625,0.546930430355653,736,"United States Exclusive Economic Zone"
-70.125,41.625,0.537437145192389,736,"United States Exclusive Economic Zone"
-69.875,41.625,0.170234547607374,736,"United States Exclusive Economic Zone"
-69.625,41.625,0.243337463905694,736,"United States Exclusive Economic Zone"
-69.375,41.625,0.211469668802398,736,"United States Exclusive Economic Zone"
-68.625,41.625,0.0464802738255361,737,"United States Exclusive Economic Zone"
-68.375,41.625,0.0304108382786685,737,"United States Exclusive Economic Zone"
-68.125,41.625,0.0402056693260399,737,"United States Exclusive Economic Zone"
-67.875,41.625,0.00780671852163033,737,"United States Exclusive Economic Zone"
