"Species","EEZ","p2","p4","Average","Max"
"Miichthys miiuy","Chinese Exclusive Economic Zone",0,0,0.0585199728526263,1.5877891982223
"Miichthys miiuy","Japanese Exclusive Economic Zone",0,0,0.0724610699444191,1.9816503961997
"Miichthys miiuy","Joint regime area Japan / Korea",0,0,0.0157775242481564,0.0729029482921037
"Miichthys miiuy","North Korean Exclusive Economic Zone",0,0,0.230342535133821,0.963004764271479
"Miichthys miiuy","Overlapping claim Liancourt Rocks: Japan / South Korea",0,0,0.0497541030725113,0.0972545366240083
"Miichthys miiuy","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.0112212287603167,0.0434813606270976
"Miichthys miiuy","Overlapping claim South China Sea",0,0,0.0474523570709224,0.0526800653508494
"Miichthys miiuy","Philippines Exclusive Economic Zone",0,0,0.0838600088017171,0.594495757168306
"Miichthys miiuy","South Korean Exclusive Economic Zone",0,0,0.0871882316063757,1.9816503961997
"Miichthys miiuy","Taiwanese Exclusive Economic Zone",0,0,0.0484331671093885,1.0980421705724
"Miichthys miiuy","Vietnamese Exclusive Economic Zone",0,0,0.0463463190744476,0.659511741269447
