"x","y","sigmaNovelty","cell","EEZ"
127.875,39.875,0.540130064388294,3222,"North Korean Exclusive Economic Zone"
139.625,39.875,0.0751031613510133,3332,"Japanese Exclusive Economic Zone"
139.875,39.875,0.0285305947308483,3332,"Japanese Exclusive Economic Zone"
127.625,39.625,0.245461686791278,3222,"North Korean Exclusive Economic Zone"
127.875,39.625,0.183658147578407,3222,"North Korean Exclusive Economic Zone"
139.375,39.625,0.00367228416880666,3332,"Japanese Exclusive Economic Zone"
139.625,39.625,0.0731430334141127,3332,"Japanese Exclusive Economic Zone"
139.875,39.625,0.0485295144552271,3332,"Japanese Exclusive Economic Zone"
139.375,39.375,0.0209715227621423,3332,"Japanese Exclusive Economic Zone"
139.625,39.375,0.0586582742845263,3332,"Japanese Exclusive Economic Zone"
139.875,39.375,0.0695148535716356,3332,"Japanese Exclusive Economic Zone"
139.375,39.125,0.0352631981255833,3332,"Japanese Exclusive Economic Zone"
139.625,39.125,0.0543646865913646,3332,"Japanese Exclusive Economic Zone"
139.875,39.125,0.0850349352641236,3359,NA
139.125,38.875,0.0245973675651415,3332,"Japanese Exclusive Economic Zone"
139.375,38.875,0.0375298184740274,3332,"Japanese Exclusive Economic Zone"
139.625,38.875,0.0675349717089322,3359,"Japanese Exclusive Economic Zone"
141.875,38.875,0.0351377033580326,3359,"Japanese Exclusive Economic Zone"
138.375,38.625,0.0539188106710953,3332,"Japanese Exclusive Economic Zone"
138.625,38.625,0.0265051527062232,3332,"Japanese Exclusive Economic Zone"
138.875,38.625,0.0528344229879837,3332,"Japanese Exclusive Economic Zone"
139.125,38.625,0.144931152171895,3332,"Japanese Exclusive Economic Zone"
139.375,38.625,0.129438069126934,3332,"Japanese Exclusive Economic Zone"
141.625,38.625,0.0448009041061297,3359,"Japanese Exclusive Economic Zone"
141.875,38.625,0.0616942377334723,3359,"Japanese Exclusive Economic Zone"
142.125,38.625,0.0959462078228047,3359,"Japanese Exclusive Economic Zone"
138.125,38.375,0.0612677781314659,3331,"Japanese Exclusive Economic Zone"
138.375,38.375,0.122926294165219,3331,"Japanese Exclusive Economic Zone"
138.625,38.375,0.0757305604862397,3331,"Japanese Exclusive Economic Zone"
138.875,38.375,0.0870184846712819,3331,"Japanese Exclusive Economic Zone"
139.125,38.375,0.150052283386511,3331,"Japanese Exclusive Economic Zone"
139.375,38.375,0.137052317231865,3331,"Japanese Exclusive Economic Zone"
141.125,38.375,0.233039437101254,3359,"Japanese Exclusive Economic Zone"
141.375,38.375,0.0973835688306978,3359,"Japanese Exclusive Economic Zone"
141.625,38.375,0.140439308711018,3359,"Japanese Exclusive Economic Zone"
141.875,38.375,0.0410781634828753,3359,"Japanese Exclusive Economic Zone"
142.125,38.375,0.0506185859969053,3359,"Japanese Exclusive Economic Zone"
128.875,38.125,0.0482588936546442,3221,"South Korean Exclusive Economic Zone"
129.125,38.125,0.146762283660097,3221,"South Korean Exclusive Economic Zone"
136.375,38.125,0.00481852931761091,3304,"Japanese Exclusive Economic Zone"
136.625,38.125,0.0118645974530803,3304,"Japanese Exclusive Economic Zone"
136.875,38.125,0.0126467602474805,3304,"Japanese Exclusive Economic Zone"
137.125,38.125,0.0126504898469328,3304,"Japanese Exclusive Economic Zone"
137.875,38.125,0.00322933618259287,3331,"Japanese Exclusive Economic Zone"
138.125,38.125,0.0225962043616536,3331,"Japanese Exclusive Economic Zone"
138.625,38.125,0.0143414289635257,3331,"Japanese Exclusive Economic Zone"
138.875,38.125,0.0514806474053758,3331,"Japanese Exclusive Economic Zone"
139.125,38.125,0.103315333006457,3331,"Japanese Exclusive Economic Zone"
139.375,38.125,0.172740546679856,3331,"Japanese Exclusive Economic Zone"
141.125,38.125,0.130089028794457,3359,"Japanese Exclusive Economic Zone"
141.375,38.125,0.0425132652897777,3359,"Japanese Exclusive Economic Zone"
141.625,38.125,0.0988164624525922,3359,"Japanese Exclusive Economic Zone"
141.875,38.125,0.0762048458776387,3359,"Japanese Exclusive Economic Zone"
142.125,38.125,0.0734115833876366,3359,"Japanese Exclusive Economic Zone"
128.875,37.875,0.191193629833919,3221,"South Korean Exclusive Economic Zone"
129.125,37.875,0.413225749964389,3221,"South Korean Exclusive Economic Zone"
129.375,37.875,0.365416415831701,3221,"South Korean Exclusive Economic Zone"
130.625,37.875,0.0451375247793361,3249,"South Korean Exclusive Economic Zone"
130.875,37.875,0.0372332219635783,3249,"South Korean Exclusive Economic Zone"
136.125,37.875,0.0151385881023267,3304,"Japanese Exclusive Economic Zone"
136.375,37.875,0.0254144163105677,3304,"Japanese Exclusive Economic Zone"
136.625,37.875,0.0419037172038836,3304,"Japanese Exclusive Economic Zone"
136.875,37.875,0.0308333292572282,3304,"Japanese Exclusive Economic Zone"
137.125,37.875,0.0255330133788751,3304,"Japanese Exclusive Economic Zone"
137.375,37.875,0.0329967781878124,3331,"Japanese Exclusive Economic Zone"
137.875,37.875,0.0311321859387667,3331,"Japanese Exclusive Economic Zone"
138.125,37.875,0.0215003286914491,3331,"Japanese Exclusive Economic Zone"
138.625,37.875,0.06810103897489,3331,"Japanese Exclusive Economic Zone"
138.875,37.875,0.103084590524714,3331,"Japanese Exclusive Economic Zone"
141.125,37.875,0.0664729712280704,3359,"Japanese Exclusive Economic Zone"
141.375,37.875,0.0691419576879429,3359,"Japanese Exclusive Economic Zone"
141.625,37.875,0.0834464310409697,3359,"Japanese Exclusive Economic Zone"
141.875,37.875,0.0354773938679004,3359,"Japanese Exclusive Economic Zone"
142.125,37.875,0.00893683488946139,3359,"Japanese Exclusive Economic Zone"
129.125,37.625,0.544682062382075,3221,"South Korean Exclusive Economic Zone"
129.375,37.625,0.903359738133082,3221,"South Korean Exclusive Economic Zone"
129.625,37.625,0.728033906462516,3221,"South Korean Exclusive Economic Zone"
130.375,37.625,0.00489978410690366,3249,"South Korean Exclusive Economic Zone"
130.625,37.625,0.00578476417712284,3249,"South Korean Exclusive Economic Zone"
130.875,37.625,0.000462195384940878,3249,"South Korean Exclusive Economic Zone"
131.125,37.625,0.0123911577842243,3249,"South Korean Exclusive Economic Zone"
136.125,37.625,0.0304141373955939,3304,"Japanese Exclusive Economic Zone"
136.375,37.625,0.0143104912513696,3304,"Japanese Exclusive Economic Zone"
136.625,37.625,0.0101498871752898,3304,"Japanese Exclusive Economic Zone"
136.875,37.625,0.0134969745163083,3304,"Japanese Exclusive Economic Zone"
137.125,37.625,0.0184402598025428,3331,"Japanese Exclusive Economic Zone"
137.375,37.625,0.0146326007016807,3331,"Japanese Exclusive Economic Zone"
137.625,37.625,0.0125810506699711,3331,"Japanese Exclusive Economic Zone"
137.875,37.625,0.00831353994567603,3331,"Japanese Exclusive Economic Zone"
138.125,37.625,0.0118552846126426,3331,"Japanese Exclusive Economic Zone"
138.375,37.625,0.0410346589642744,3331,"Japanese Exclusive Economic Zone"
138.625,37.625,0.116524344464278,3331,"Japanese Exclusive Economic Zone"
141.125,37.625,0.0625222148336175,3359,"Japanese Exclusive Economic Zone"
141.375,37.625,0.0915488739412378,3359,"Japanese Exclusive Economic Zone"
141.625,37.625,0.0729328283094045,3359,"Japanese Exclusive Economic Zone"
141.875,37.625,0.0263661111735434,3359,"Japanese Exclusive Economic Zone"
129.375,37.375,0.963004764271479,3221,"South Korean Exclusive Economic Zone"
129.625,37.375,0.791049177090051,3221,"South Korean Exclusive Economic Zone"
129.875,37.375,0.0116668958052826,3221,"South Korean Exclusive Economic Zone"
130.375,37.375,0.0159272333772704,3249,"South Korean Exclusive Economic Zone"
130.625,37.375,0.00225798218663142,3249,"South Korean Exclusive Economic Zone"
130.875,37.375,0.0215244068196418,3249,"South Korean Exclusive Economic Zone"
131.125,37.375,0.0204428157083864,3249,"South Korean Exclusive Economic Zone"
131.625,37.375,0.0972545366240083,3249,"South Korean Exclusive Economic Zone"
131.875,37.375,0.0352895616180714,3276,"Overlapping claim Liancourt Rocks: Japan / South Korea"
136.375,37.375,0.00858392748189138,3304,"Japanese Exclusive Economic Zone"
136.625,37.375,0.0134326643191004,3304,"Japanese Exclusive Economic Zone"
137.375,37.375,0.151424209955079,3331,"Japanese Exclusive Economic Zone"
137.625,37.375,0.101313628822289,3331,"Japanese Exclusive Economic Zone"
137.875,37.375,0.250690733415049,3331,"Japanese Exclusive Economic Zone"
138.125,37.375,0.203214007547071,3331,"Japanese Exclusive Economic Zone"
138.375,37.375,0.117591604072238,3331,"Japanese Exclusive Economic Zone"
141.125,37.375,0.0289760082029656,3359,"Japanese Exclusive Economic Zone"
141.375,37.375,0.0511432052400031,3359,"Japanese Exclusive Economic Zone"
141.625,37.375,0.00909158456543114,3359,"Japanese Exclusive Economic Zone"
129.375,37.125,0.674985594236392,3221,NA
129.625,37.125,0.611316495396583,3221,"South Korean Exclusive Economic Zone"
129.875,37.125,0.0536923251710252,3248,"South Korean Exclusive Economic Zone"
130.125,37.125,0.0218165289776245,3248,"South Korean Exclusive Economic Zone"
130.625,37.125,0.0204937943012208,3248,"South Korean Exclusive Economic Zone"
130.875,37.125,0.00836054204178675,3248,"South Korean Exclusive Economic Zone"
131.625,37.125,0.0368622623692396,3248,"South Korean Exclusive Economic Zone"
131.875,37.125,0.0296100516787257,3276,"Overlapping claim Liancourt Rocks: Japan / South Korea"
136.375,37.125,0.00244744022894216,3303,"Japanese Exclusive Economic Zone"
136.625,37.125,0.0165947259645407,3303,"Japanese Exclusive Economic Zone"
137.125,37.125,0.20423539781288,3331,"Japanese Exclusive Economic Zone"
