"x","y","sigmaNovelty","cell","EEZ"
-1.625,61.125,0.0110885932603553,755,"United Kingdom Exclusive Economic Zone"
-1.375,61.125,0.00472336498622646,755,"United Kingdom Exclusive Economic Zone"
-1.125,61.125,0.00898165939841978,755,"United Kingdom Exclusive Economic Zone"
-0.875,61.125,0.0266646071882034,755,"United Kingdom Exclusive Economic Zone"
-1.875,60.875,0.00926811316022278,755,"United Kingdom Exclusive Economic Zone"
-1.625,60.875,0.00659102456002674,755,"United Kingdom Exclusive Economic Zone"
-1.375,60.875,0.00503482944921314,755,"United Kingdom Exclusive Economic Zone"
-1.125,60.875,0.000540500610240891,755,"United Kingdom Exclusive Economic Zone"
-0.875,60.875,0.000539807796980432,755,"United Kingdom Exclusive Economic Zone"
-0.625,60.875,0.00132882592578716,755,"United Kingdom Exclusive Economic Zone"
-2.125,60.625,0.0115977916736175,755,"United Kingdom Exclusive Economic Zone"
-1.875,60.625,0.000620173583688487,755,"United Kingdom Exclusive Economic Zone"
-1.625,60.625,0.00303010455545213,755,"United Kingdom Exclusive Economic Zone"
-1.375,60.625,0.000523277467036582,755,"United Kingdom Exclusive Economic Zone"
-0.625,60.625,0.00121550376226057,755,"United Kingdom Exclusive Economic Zone"
-0.375,60.625,0.00779026544612278,755,"United Kingdom Exclusive Economic Zone"
-2.375,60.375,6.87021841234106e-06,755,"United Kingdom Exclusive Economic Zone"
-2.125,60.375,0.00421078394920514,755,"United Kingdom Exclusive Economic Zone"
-1.875,60.375,0.00204945095391965,755,"United Kingdom Exclusive Economic Zone"
-1.625,60.375,0.000943398972989632,755,"United Kingdom Exclusive Economic Zone"
-1.375,60.375,0.00343604208512938,755,"United Kingdom Exclusive Economic Zone"
-1.125,60.375,0.00247565042210214,755,"United Kingdom Exclusive Economic Zone"
-0.875,60.375,0.00274936929409261,755,"United Kingdom Exclusive Economic Zone"
-0.625,60.375,0.00477937018176938,755,"United Kingdom Exclusive Economic Zone"
-0.375,60.375,0.0224419580863857,755,"United Kingdom Exclusive Economic Zone"
-4.625,60.125,0.0045879337209564,754,"United Kingdom Exclusive Economic Zone"
-4.375,60.125,0.0157180403478148,754,"United Kingdom Exclusive Economic Zone"
-2.375,60.125,0.00202707376733418,755,"United Kingdom Exclusive Economic Zone"
-2.125,60.125,0.00272668494684516,755,"United Kingdom Exclusive Economic Zone"
-1.875,60.125,0.00881324317780522,755,"United Kingdom Exclusive Economic Zone"
-1.625,60.125,0.0212037219381326,755,"United Kingdom Exclusive Economic Zone"
-1.375,60.125,0.0295471147808451,755,"United Kingdom Exclusive Economic Zone"
-1.125,60.125,0.0529361821222085,755,"United Kingdom Exclusive Economic Zone"
-0.875,60.125,0.0366451963351631,755,"United Kingdom Exclusive Economic Zone"
-0.625,60.125,0.0195649392637724,755,"United Kingdom Exclusive Economic Zone"
-4.875,59.875,0.00906598289297513,754,"United Kingdom Exclusive Economic Zone"
-4.625,59.875,0.0052671327112467,754,"United Kingdom Exclusive Economic Zone"
-4.375,59.875,0.0173170477131968,754,"United Kingdom Exclusive Economic Zone"
-4.125,59.875,0.0100595434721574,754,"United Kingdom Exclusive Economic Zone"
-3.375,59.875,0.000196804232597237,755,"United Kingdom Exclusive Economic Zone"
-3.125,59.875,0.00307566280906969,755,"United Kingdom Exclusive Economic Zone"
-2.125,59.875,0.00486187615154497,755,"United Kingdom Exclusive Economic Zone"
-1.875,59.875,0.0370368524393613,755,"United Kingdom Exclusive Economic Zone"
-1.625,59.875,0.0297277864148394,755,"United Kingdom Exclusive Economic Zone"
-1.375,59.875,0.0328629002448044,755,"United Kingdom Exclusive Economic Zone"
-1.125,59.875,0.0557302207289482,755,"United Kingdom Exclusive Economic Zone"
-0.875,59.875,0.0456831553915123,755,"United Kingdom Exclusive Economic Zone"
-6.125,59.625,0.000154893892773049,754,"United Kingdom Exclusive Economic Zone"
-5.875,59.625,0.00600595935403809,754,"United Kingdom Exclusive Economic Zone"
-5.625,59.625,0.0176041261496845,754,"United Kingdom Exclusive Economic Zone"
-5.375,59.625,0.02679229015343,754,"United Kingdom Exclusive Economic Zone"
-5.125,59.625,0.00554754706876091,754,"United Kingdom Exclusive Economic Zone"
-4.875,59.625,0.0199222470201308,754,"United Kingdom Exclusive Economic Zone"
-4.625,59.625,0.0045417776903752,754,"United Kingdom Exclusive Economic Zone"
-4.375,59.625,0.00328945000439341,754,"United Kingdom Exclusive Economic Zone"
-4.125,59.625,0.000950006053335703,754,"United Kingdom Exclusive Economic Zone"
-3.875,59.625,0.00135790738464326,755,"United Kingdom Exclusive Economic Zone"
-3.625,59.625,0.0151831479427143,755,"United Kingdom Exclusive Economic Zone"
-3.375,59.625,0.00834942000637859,755,"United Kingdom Exclusive Economic Zone"
-3.125,59.625,0.0042485807589318,755,"United Kingdom Exclusive Economic Zone"
-2.875,59.625,0.00612385116852423,755,"United Kingdom Exclusive Economic Zone"
-2.625,59.625,0.00220551162735657,755,"United Kingdom Exclusive Economic Zone"
-2.375,59.625,0.00505708537323564,755,"United Kingdom Exclusive Economic Zone"
-2.125,59.625,0.0189309631331011,755,"United Kingdom Exclusive Economic Zone"
-1.875,59.625,0.0293031995196786,755,"United Kingdom Exclusive Economic Zone"
-1.625,59.625,0.0183387371620587,755,"United Kingdom Exclusive Economic Zone"
-1.375,59.625,0.0187492937292859,755,"United Kingdom Exclusive Economic Zone"
-1.125,59.625,0.0279004226464546,755,"United Kingdom Exclusive Economic Zone"
-6.375,59.375,0.00567408873696411,754,"United Kingdom Exclusive Economic Zone"
-6.125,59.375,0.0118996588177296,754,"United Kingdom Exclusive Economic Zone"
-5.875,59.375,0.00927590532136382,754,"United Kingdom Exclusive Economic Zone"
-5.625,59.375,0.0262339463066026,754,"United Kingdom Exclusive Economic Zone"
-5.375,59.375,0.0316592759619959,754,"United Kingdom Exclusive Economic Zone"
-5.125,59.375,0.00241754683530526,754,"United Kingdom Exclusive Economic Zone"
-4.875,59.375,0.00336974599807532,754,"United Kingdom Exclusive Economic Zone"
-4.625,59.375,0.00474624346816653,754,"United Kingdom Exclusive Economic Zone"
-4.375,59.375,0.00838357910273752,754,"United Kingdom Exclusive Economic Zone"
-4.125,59.375,0.00713082733286272,754,"United Kingdom Exclusive Economic Zone"
-3.875,59.375,0.0175780521715631,755,"United Kingdom Exclusive Economic Zone"
-3.625,59.375,0.0230269437513013,755,"United Kingdom Exclusive Economic Zone"
-3.375,59.375,0.019026626659989,755,"United Kingdom Exclusive Economic Zone"
-3.125,59.375,0.0147072349017601,755,"United Kingdom Exclusive Economic Zone"
