"x","y","sigmaNovelty","cell","EEZ"
-64.375,42.875,0.0841139671425752,765,"Canadian Exclusive Economic Zone"
-64.125,42.875,0.765991703360679,765,"Canadian Exclusive Economic Zone"
-64.375,42.625,0.530041114947753,765,"Canadian Exclusive Economic Zone"
-64.125,42.625,0.52874832738094,765,"Canadian Exclusive Economic Zone"
-65.375,42.375,0.139509582546514,765,"Canadian Exclusive Economic Zone"
-65.125,42.375,0.351412665137507,765,"Canadian Exclusive Economic Zone"
-65.375,42.125,0.0623281761181358,765,"Canadian Exclusive Economic Zone"
-65.125,42.125,0.252504096438766,765,"Canadian Exclusive Economic Zone"
-70.875,41.625,0.725871574434063,736,"United States Exclusive Economic Zone"
-71.375,41.375,0.00109906041767914,736,"United States Exclusive Economic Zone"
-71.125,41.375,0.256533963012533,736,"United States Exclusive Economic Zone"
-70.875,41.375,0.0751623206520568,736,"United States Exclusive Economic Zone"
-70.375,41.375,0.123123730885529,736,"United States Exclusive Economic Zone"
-66.375,41.375,0.140411465530851,737,"Canadian Exclusive Economic Zone"
-66.125,41.375,0.117097441274808,765,"Canadian Exclusive Economic Zone"
-64.375,41.375,0.00122758652623084,765,"Canadian Exclusive Economic Zone"
-64.125,41.375,0.00722598363934381,765,"Canadian Exclusive Economic Zone"
-61.875,41.375,0.0867777791120885,793,"Canadian Exclusive Economic Zone"
-61.625,41.375,0.0813416022211047,793,"Canadian Exclusive Economic Zone"
-71.375,41.125,0.241669249294659,736,"United States Exclusive Economic Zone"
-71.125,41.125,0.463899365720177,736,"United States Exclusive Economic Zone"
-70.875,41.125,0.162709286303154,736,"United States Exclusive Economic Zone"
-70.625,41.125,0.0752398008851866,736,"United States Exclusive Economic Zone"
-66.625,41.125,0.480731183856465,764,"United States Exclusive Economic Zone"
-66.375,41.125,0.368848180198175,764,"United States Exclusive Economic Zone"
-66.125,41.125,0.331896880957109,764,"Canadian Exclusive Economic Zone"
-64.375,41.125,0.00348782621075342,765,"Canadian Exclusive Economic Zone"
-64.125,41.125,0.0011428191744481,765,"Canadian Exclusive Economic Zone"
-61.875,41.125,0.00308407181745018,793,"Canadian Exclusive Economic Zone"
-61.625,41.125,0.0273078871402137,793,"Canadian Exclusive Economic Zone"
-72.375,40.875,0.198606614597478,622,NA
-72.125,40.875,0.288960752624962,622,"United States Exclusive Economic Zone"
-71.125,40.875,0.163348331611497,736,"United States Exclusive Economic Zone"
-70.875,40.875,0.0845146209934267,736,"United States Exclusive Economic Zone"
-66.875,40.875,0.295604498153819,764,"United States Exclusive Economic Zone"
-66.625,40.875,0.221176789232835,764,"United States Exclusive Economic Zone"
-66.375,40.875,0.288565647035353,764,"United States Exclusive Economic Zone"
-73.875,40.625,0.173802751607239,622,"United States Exclusive Economic Zone"
-73.125,40.625,0.0890448834891068,622,"United States Exclusive Economic Zone"
-72.375,40.625,0.0386298883395248,622,"United States Exclusive Economic Zone"
-72.125,40.625,0.0934329422676754,622,"United States Exclusive Economic Zone"
-66.875,40.625,0.183826706929412,764,"United States Exclusive Economic Zone"
-66.625,40.625,0.0520587229294683,764,"United States Exclusive Economic Zone"
-73.875,40.375,0.169550938944209,622,"United States Exclusive Economic Zone"
-73.625,40.375,0.182438637627602,622,"United States Exclusive Economic Zone"
-73.375,40.375,0.0887343486158253,622,"United States Exclusive Economic Zone"
-73.875,40.125,0.0552670824923957,649,"United States Exclusive Economic Zone"
-73.625,40.125,0.0653516954377338,622,"United States Exclusive Economic Zone"
-74.125,39.875,0.0442509408760038,649,"United States Exclusive Economic Zone"
-73.875,39.875,0.0492095466593141,649,"United States Exclusive Economic Zone"
-74.125,39.625,0.0497884787752738,649,"United States Exclusive Economic Zone"
-73.875,39.625,0.0679523518746418,649,"United States Exclusive Economic Zone"
-57.125,39.625,0.000410850672222643,821,NA
-56.875,39.625,0.0011263995828676,821,NA
-74.375,39.375,0.0353358279897199,649,"United States Exclusive Economic Zone"
-74.125,39.375,0.0388652524301402,649,"United States Exclusive Economic Zone"
-73.875,39.375,0.0683902511275195,649,"United States Exclusive Economic Zone"
-57.375,39.375,0.00948281655454969,821,NA
-57.125,39.375,0.001649201140552,821,NA
-56.875,39.375,0.001915982921531,821,NA
-56.625,39.375,0.000140795113978189,821,NA
-75.375,39.125,0.0941559836867242,649,"United States Exclusive Economic Zone"
-75.125,39.125,0.0797713190945908,649,"United States Exclusive Economic Zone"
-74.625,39.125,0.0393686323657069,649,"United States Exclusive Economic Zone"
-74.375,39.125,0.0332639594193489,649,"United States Exclusive Economic Zone"
-74.125,39.125,0.0386355273240593,649,"United States Exclusive Economic Zone"
-57.375,39.125,0.00644836439240349,821,NA
-57.125,39.125,0.00541340379117423,821,NA
-56.875,39.125,0.00270310430473236,821,NA
-56.625,39.125,0.00110407977224542,821,NA
-75.125,38.875,0.087720336427667,649,"United States Exclusive Economic Zone"
-74.875,38.875,0.0567938319182456,649,"United States Exclusive Economic Zone"
-74.625,38.875,0.000327100446189768,649,"United States Exclusive Economic Zone"
-74.375,38.875,0.0316024259925425,649,"United States Exclusive Economic Zone"
-57.125,38.875,0.00411133372134546,821,NA
-56.875,38.875,0.00325427195718302,821,NA
-76.375,38.625,0.0811912068724611,676,"United States Exclusive Economic Zone"
-74.875,38.625,0.0375957407128574,649,"United States Exclusive Economic Zone"
-76.375,38.375,0.239007576871298,676,"United States Exclusive Economic Zone"
-74.875,38.375,0.0359145141280359,649,"United States Exclusive Economic Zone"
-76.125,38.125,0.236310018319779,676,"United States Exclusive Economic Zone"
-75.875,38.125,0.225003277956504,676,"United States Exclusive Economic Zone"
-75.125,38.125,0.0172055892247437,734,"United States Exclusive Economic Zone"
-74.875,38.125,0.0213987441692679,734,"United States Exclusive Economic Zone"
-74.625,38.125,0.00139109500442258,734,"United States Exclusive Economic Zone"
-74.375,38.125,0.000909041350281771,734,"United States Exclusive Economic Zone"
-76.125,37.875,0.253967529483132,676,"United States Exclusive Economic Zone"
-75.875,37.875,0.266434873287234,676,"United States Exclusive Economic Zone"
-75.375,37.875,0.0233052868394871,676,"United States Exclusive Economic Zone"
-75.125,37.875,0.047348952159457,734,"United States Exclusive Economic Zone"
-74.875,37.875,0.0213589992482233,734,"United States Exclusive Economic Zone"
-74.625,37.875,0.0117950421558037,734,"United States Exclusive Economic Zone"
-74.375,37.875,0.0217402783805714,734,"United States Exclusive Economic Zone"
-74.125,37.875,0.0360363641739068,734,"United States Exclusive Economic Zone"
-76.125,37.625,0.295552903195849,676,"United States Exclusive Economic Zone"
-75.625,37.625,0.308649354443425,676,"United States Exclusive Economic Zone"
-75.375,37.625,0.00162666848363808,734,"United States Exclusive Economic Zone"
-75.125,37.625,0.1017189082474,734,"United States Exclusive Economic Zone"
-74.875,37.625,0.0430120108735204,734,"United States Exclusive Economic Zone"
-74.625,37.625,0.0340659152036864,734,"United States Exclusive Economic Zone"
-74.375,37.625,0.00463329099517429,734,"United States Exclusive Economic Zone"
-74.125,37.625,0.0168752534683132,734,"United States Exclusive Economic Zone"
-76.125,37.375,0.298017050374738,676,"United States Exclusive Economic Zone"
-75.625,37.375,0.355892930312219,676,"United States Exclusive Economic Zone"
-75.375,37.375,0.18458967660434,734,"United States Exclusive Economic Zone"
-75.125,37.375,0.0382246353996242,734,"United States Exclusive Economic Zone"
-74.875,37.375,0.0325055809466479,734,"United States Exclusive Economic Zone"
-74.625,37.375,0.0373270059174081,734,"United States Exclusive Economic Zone"
-74.375,37.375,0.00623709207006656,734,"United States Exclusive Economic Zone"
-76.125,37.125,0.288399681958342,676,"United States Exclusive Economic Zone"
-75.875,37.125,0.281023850160672,676,"United States Exclusive Economic Zone"
-75.625,37.125,0.2416382190771,676,"United States Exclusive Economic Zone"
-75.375,37.125,0.0643876502638668,734,"United States Exclusive Economic Zone"
-75.125,37.125,0.0394762661944446,734,"United States Exclusive Economic Zone"
-74.875,37.125,0.0465352940931223,734,"United States Exclusive Economic Zone"
-74.625,37.125,0.00416127302219322,734,"United States Exclusive Economic Zone"
-74.375,37.125,0.0274431361129259,734,"United States Exclusive Economic Zone"
-75.875,36.875,0.0557140235973368,676,"United States Exclusive Economic Zone"
-75.625,36.875,0.120119226753337,676,"United States Exclusive Economic Zone"
-75.375,36.875,0.0182174546407152,734,"United States Exclusive Economic Zone"
-75.125,36.875,0.00265662961277047,734,"United States Exclusive Economic Zone"
-74.875,36.875,0.0267006409594794,734,"United States Exclusive Economic Zone"
-74.625,36.875,0.00451049943410205,734,"United States Exclusive Economic Zone"
-74.375,36.875,0.0372207052937842,734,"United States Exclusive Economic Zone"
-75.875,36.625,0.24176465792216,733,"United States Exclusive Economic Zone"
-75.625,36.625,0.01984806303435,733,"United States Exclusive Economic Zone"
-75.375,36.625,0.0585236591411133,733,"United States Exclusive Economic Zone"
-75.125,36.625,0.00381403120986855,734,"United States Exclusive Economic Zone"
-74.875,36.625,0.0103711679663438,734,"United States Exclusive Economic Zone"
-74.625,36.625,0.0046363516518704,734,"United States Exclusive Economic Zone"
-74.375,36.625,0.0520994803516607,734,"United States Exclusive Economic Zone"
-75.875,36.375,0.247293860072725,733,"United States Exclusive Economic Zone"
-75.625,36.375,0.180447411196071,733,"United States Exclusive Economic Zone"
-75.375,36.375,0.00339124160208883,733,"United States Exclusive Economic Zone"
-75.125,36.375,0.00284866522559573,733,"United States Exclusive Economic Zone"
-74.875,36.375,0.00482473930663376,733,"United States Exclusive Economic Zone"
-74.625,36.375,0.0372549598046639,734,"United States Exclusive Economic Zone"
-74.375,36.375,0.060271467929123,734,"United States Exclusive Economic Zone"
-76.375,36.125,0.316862846434993,733,"United States Exclusive Economic Zone"
-76.125,36.125,0.301686211053127,733,"United States Exclusive Economic Zone"
-75.875,36.125,0.269248219079279,733,"United States Exclusive Economic Zone"
-75.625,36.125,0.0785132751612753,733,"United States Exclusive Economic Zone"
-75.375,36.125,0.00152458927186044,733,"United States Exclusive Economic Zone"
-75.125,36.125,0.0693501200215425,733,"United States Exclusive Economic Zone"
-74.875,36.125,0.000486015126014259,733,"United States Exclusive Economic Zone"
-74.625,36.125,0.0297695969140044,733,"United States Exclusive Economic Zone"
-74.375,36.125,0.00448979836134741,734,"United States Exclusive Economic Zone"
-6.125,36.125,0.0369366035599683,1476,"Spanish Exclusive Economic Zone"
-5.875,36.125,0.0390934140400902,1476,"Spanish Exclusive Economic Zone"
-75.375,35.875,0.0049891947070553,733,"United States Exclusive Economic Zone"
-75.125,35.875,0.0803607793927632,733,"United States Exclusive Economic Zone"
-74.875,35.875,0.00166252708609696,733,"United States Exclusive Economic Zone"
-74.625,35.875,0.0375380353306507,733,"United States Exclusive Economic Zone"
-74.375,35.875,0.00359338759782846,733,"United States Exclusive Economic Zone"
-6.375,35.875,0.0193689472306888,1476,"Moroccan Exclusive Economic Zone"
-6.125,35.875,0.00588066312126673,1476,"Moroccan Exclusive Economic Zone"
-5.875,35.875,0.00576634585306076,1476,"Moroccan Exclusive Economic Zone"
-5.625,35.875,0.00558240911862497,1476,"Moroccan Exclusive Economic Zone"
-75.875,35.625,0.0002167201846124,733,"United States Exclusive Economic Zone"
-75.625,35.625,0.000681529804141816,733,"United States Exclusive Economic Zone"
-75.375,35.625,0.0715873097327265,733,"United States Exclusive Economic Zone"
-75.125,35.625,0.0124316275533459,733,"United States Exclusive Economic Zone"
-74.875,35.625,0.00389239685894896,733,"United States Exclusive Economic Zone"
-74.625,35.625,0.00136057393471471,733,"United States Exclusive Economic Zone"
-74.375,35.625,0.000875709843901813,733,"United States Exclusive Economic Zone"
-6.625,35.625,0.000201779836123033,1476,"Moroccan Exclusive Economic Zone"
-6.375,35.625,0.00290967606654318,1476,"Moroccan Exclusive Economic Zone"
-6.125,35.625,0.00134079450252503,1476,"Moroccan Exclusive Economic Zone"
-76.625,35.375,0.00213721910157465,733,"United States Exclusive Economic Zone"
-76.375,35.375,0.0129631448778226,733,"United States Exclusive Economic Zone"
-75.875,35.375,0.00190032800382021,733,"United States Exclusive Economic Zone"
-75.625,35.375,0.0479079982001254,733,"United States Exclusive Economic Zone"
-75.375,35.375,0.0514541959495368,733,"United States Exclusive Economic Zone"
-75.125,35.375,0.00356897460467582,733,"United States Exclusive Economic Zone"
-74.875,35.375,0.00568544549001128,733,"United States Exclusive Economic Zone"
-74.625,35.375,0.00133697976271198,733,"United States Exclusive Economic Zone"
-74.375,35.375,0.00085766349070995,733,"United States Exclusive Economic Zone"
-6.625,35.375,0.00414270878859507,1476,"Moroccan Exclusive Economic Zone"
-6.375,35.375,0.0125400888514505,1476,"Moroccan Exclusive Economic Zone"
-6.125,35.375,0.0259194393222535,1476,"Moroccan Exclusive Economic Zone"
-76.375,35.125,0.0194243762466082,733,"United States Exclusive Economic Zone"
-76.125,35.125,0.00562311399771024,733,"United States Exclusive Economic Zone"
-75.875,35.125,0.00217906236784622,733,"United States Exclusive Economic Zone"
-75.625,35.125,0.00580237135072631,733,"United States Exclusive Economic Zone"
-75.375,35.125,0.002875432290952,733,"United States Exclusive Economic Zone"
-75.125,35.125,0.000901235888305836,733,"United States Exclusive Economic Zone"
-74.875,35.125,0.000747294969562997,733,"United States Exclusive Economic Zone"
-74.625,35.125,0.000285391654239618,733,"United States Exclusive Economic Zone"
-6.625,35.125,0.00066455129594256,1476,"Moroccan Exclusive Economic Zone"
-6.375,35.125,0.0229305312650625,1476,"Moroccan Exclusive Economic Zone"
-76.125,34.875,0.000805124360747631,733,"United States Exclusive Economic Zone"
-75.875,34.875,0.00127642338764903,733,"United States Exclusive Economic Zone"
-75.625,34.875,0.000357724718128797,733,"United States Exclusive Economic Zone"
-75.375,34.875,0.00242648472736179,733,"United States Exclusive Economic Zone"
-75.125,34.875,4.30098035727587e-05,733,"United States Exclusive Economic Zone"
-74.875,34.875,0.00173996880345726,733,"United States Exclusive Economic Zone"
-6.875,34.875,0.00545683227735687,1476,"Moroccan Exclusive Economic Zone"
-6.625,34.875,0.00771434149606005,1476,"Moroccan Exclusive Economic Zone"
-6.375,34.875,0.0114014277541146,1476,"Moroccan Exclusive Economic Zone"
-77.125,34.625,0.0346002554895682,732,"United States Exclusive Economic Zone"
-76.875,34.625,0.000300387306392284,732,"United States Exclusive Economic Zone"
-76.625,34.625,0.00496561885072129,733,"United States Exclusive Economic Zone"
-76.375,34.625,0.0261956970858736,733,"United States Exclusive Economic Zone"
-76.125,34.625,0.000635508179019103,733,"United States Exclusive Economic Zone"
-75.875,34.625,0.00080099726459725,733,"United States Exclusive Economic Zone"
-75.625,34.625,0.00108563675940943,733,"United States Exclusive Economic Zone"
-75.375,34.625,6.69982293403863e-05,733,"United States Exclusive Economic Zone"
-75.125,34.625,0.000719994510188186,733,"United States Exclusive Economic Zone"
