"x","y","sigmaNovelty","cell","EEZ"
-162.625,56.125,0.671362713085911,57,"United States Exclusive Economic Zone (Alaska)"
-162.375,56.125,0.611806278872379,57,"United States Exclusive Economic Zone (Alaska)"
-162.125,56.125,0.533793433285093,57,"United States Exclusive Economic Zone (Alaska)"
-161.875,56.125,0.420236423952528,57,"United States Exclusive Economic Zone (Alaska)"
-161.625,56.125,0.379687705415207,57,"United States Exclusive Economic Zone (Alaska)"
-161.375,56.125,0.22490439565597,57,"United States Exclusive Economic Zone (Alaska)"
-161.125,56.125,0.149843557467532,57,"United States Exclusive Economic Zone (Alaska)"
-160.875,56.125,0.193884487007577,57,"United States Exclusive Economic Zone (Alaska)"
-158.375,56.125,0.126757342365636,85,"United States Exclusive Economic Zone (Alaska)"
-158.125,56.125,0.16784906965373,85,"United States Exclusive Economic Zone (Alaska)"
-157.875,56.125,0.13162818649035,85,"United States Exclusive Economic Zone (Alaska)"
-157.625,56.125,0.137288605701941,85,"United States Exclusive Economic Zone (Alaska)"
-157.375,56.125,0.178199184293782,85,"United States Exclusive Economic Zone (Alaska)"
-157.125,56.125,0.179944214456298,85,"United States Exclusive Economic Zone (Alaska)"
-156.875,56.125,0.253970935652135,85,"United States Exclusive Economic Zone (Alaska)"
-156.625,56.125,0.204056501114645,85,"United States Exclusive Economic Zone (Alaska)"
-156.375,56.125,0.254572666613904,85,"United States Exclusive Economic Zone (Alaska)"
-156.125,56.125,0.298468054559613,85,"United States Exclusive Economic Zone (Alaska)"
-155.875,56.125,0.18670488284768,85,"United States Exclusive Economic Zone (Alaska)"
-155.625,56.125,0.278941332190396,112,"United States Exclusive Economic Zone (Alaska)"
-155.375,56.125,0.48699692511367,112,"United States Exclusive Economic Zone (Alaska)"
-134.625,56.125,0.0126466915829552,225,"United States Exclusive Economic Zone (Alaska)"
-134.375,56.125,0.0105423678056789,225,"United States Exclusive Economic Zone (Alaska)"
-133.875,56.125,0.0115753253204688,253,"United States Exclusive Economic Zone (Alaska)"
-132.875,56.125,0.479234048878389,253,"United States Exclusive Economic Zone (Alaska)"
-132.125,56.125,0.116790232447562,253,"United States Exclusive Economic Zone (Alaska)"
-162.875,55.875,0.0889363841887953,57,"United States Exclusive Economic Zone (Alaska)"
-162.625,55.875,0.181753825271259,57,"United States Exclusive Economic Zone (Alaska)"
-162.375,55.875,0.357255723310992,57,"United States Exclusive Economic Zone (Alaska)"
-162.125,55.875,0.6595928904361,57,"United States Exclusive Economic Zone (Alaska)"
-161.875,55.875,0.469877399312781,57,"United States Exclusive Economic Zone (Alaska)"
-160.875,55.875,0.122674785164501,57,"United States Exclusive Economic Zone (Alaska)"
-160.625,55.875,0.0757221103386417,57,"United States Exclusive Economic Zone (Alaska)"
-159.125,55.875,0.0567663685908154,84,"United States Exclusive Economic Zone (Alaska)"
-158.875,55.875,0.0629962540488489,84,"United States Exclusive Economic Zone (Alaska)"
-158.625,55.875,0.124216333768215,84,"United States Exclusive Economic Zone (Alaska)"
-158.375,55.875,0.16792259128428,84,"United States Exclusive Economic Zone (Alaska)"
-158.125,55.875,0.230084786552972,84,"United States Exclusive Economic Zone (Alaska)"
-157.875,55.875,0.160683199032777,85,"United States Exclusive Economic Zone (Alaska)"
-157.625,55.875,0.249854028998645,85,"United States Exclusive Economic Zone (Alaska)"
-157.375,55.875,0.153371573113151,85,"United States Exclusive Economic Zone (Alaska)"
-157.125,55.875,0.166490225234421,85,"United States Exclusive Economic Zone (Alaska)"
-156.875,55.875,0.140494905377247,85,"United States Exclusive Economic Zone (Alaska)"
-156.625,55.875,0.153254684612001,85,"United States Exclusive Economic Zone (Alaska)"
-156.375,55.875,0.248842016235569,85,"United States Exclusive Economic Zone (Alaska)"
-156.125,55.875,0.286134319949566,85,"United States Exclusive Economic Zone (Alaska)"
-155.875,55.875,0.685586356836333,112,"United States Exclusive Economic Zone (Alaska)"
-155.375,55.875,0.192631725675548,112,"United States Exclusive Economic Zone (Alaska)"
-155.125,55.875,0.134446321558747,112,"United States Exclusive Economic Zone (Alaska)"
-134.875,55.875,0.0124917856347746,225,"United States Exclusive Economic Zone (Alaska)"
-134.625,55.875,0.00404080272069026,252,"United States Exclusive Economic Zone (Alaska)"
-134.375,55.875,0.0135498003049344,252,"United States Exclusive Economic Zone (Alaska)"
-134.125,55.875,0.0533977543011875,252,"United States Exclusive Economic Zone (Alaska)"
-133.625,55.875,0.677002574256927,253,"United States Exclusive Economic Zone (Alaska)"
-133.375,55.875,0.669778120703675,253,"United States Exclusive Economic Zone (Alaska)"
-132.125,55.875,0.0883566290651378,253,"United States Exclusive Economic Zone (Alaska)"
-163.125,55.625,0.00893018356467048,56,"United States Exclusive Economic Zone (Alaska)"
-162.875,55.625,0.072295562655482,56,"United States Exclusive Economic Zone (Alaska)"
-162.625,55.625,0.147274923547496,57,"United States Exclusive Economic Zone (Alaska)"
-162.375,55.625,0.466665701252493,57,"United States Exclusive Economic Zone (Alaska)"
-159.375,55.625,0.0384497184457215,84,"United States Exclusive Economic Zone (Alaska)"
-159.125,55.625,0.13149939195966,84,"United States Exclusive Economic Zone (Alaska)"
-158.875,55.625,0.128162407267338,84,"United States Exclusive Economic Zone (Alaska)"
-158.625,55.625,0.160751484978175,84,"United States Exclusive Economic Zone (Alaska)"
-158.375,55.625,0.301141680804853,84,"United States Exclusive Economic Zone (Alaska)"
-158.125,55.625,0.235837845640268,84,"United States Exclusive Economic Zone (Alaska)"
