"x","y","sigmaNovelty","cell","EEZ"
-64.875,33.375,0.00179910629679132,818,"Bermudian Exclusive Economic Zone"
-64.625,33.375,0.000718739361263162,818,"Bermudian Exclusive Economic Zone"
-65.125,33.125,0.0111001667754107,817,"Bermudian Exclusive Economic Zone"
-64.875,33.125,0.00309755488702476,845,"Bermudian Exclusive Economic Zone"
-64.625,33.125,0.00122608223297093,845,"Bermudian Exclusive Economic Zone"
-64.375,33.125,0.00173639640869211,845,"Bermudian Exclusive Economic Zone"
-65.375,32.875,0.0173674294749875,817,"Bermudian Exclusive Economic Zone"
-65.125,32.875,0.0106154111926561,845,"Bermudian Exclusive Economic Zone"
-64.875,32.875,0.00560897987009399,845,"Bermudian Exclusive Economic Zone"
-64.625,32.875,0.00144853362052277,845,"Bermudian Exclusive Economic Zone"
-64.375,32.875,0.00128526156854884,845,"Bermudian Exclusive Economic Zone"
-64.125,32.875,0.00200263387689131,845,"Bermudian Exclusive Economic Zone"
-79.875,32.625,0.0256996807404931,730,"United States Exclusive Economic Zone"
-65.625,32.625,0.0273571193251332,817,"Bermudian Exclusive Economic Zone"
-65.375,32.625,0.0177141535788709,817,"Bermudian Exclusive Economic Zone"
-65.125,32.625,0.0137545371429637,845,"Bermudian Exclusive Economic Zone"
-64.875,32.625,0.00919599337629742,845,"Bermudian Exclusive Economic Zone"
-64.625,32.625,0.00394096212695649,845,"Bermudian Exclusive Economic Zone"
-64.375,32.625,0.00218068174668426,845,"Bermudian Exclusive Economic Zone"
-64.125,32.625,0.00217853282228693,845,"Bermudian Exclusive Economic Zone"
-63.875,32.625,0.00108697393829027,845,"Bermudian Exclusive Economic Zone"
-80.375,32.375,0.00373920358994763,730,"United States Exclusive Economic Zone"
-80.125,32.375,0.00582480664302817,730,"United States Exclusive Economic Zone"
-79.875,32.375,0.00660898540136769,731,"United States Exclusive Economic Zone"
-79.625,32.375,0.00663579759319726,731,"United States Exclusive Economic Zone"
-65.875,32.375,0.0277349870171792,817,"Bermudian Exclusive Economic Zone"
-65.625,32.375,0.022973965141081,817,"Bermudian Exclusive Economic Zone"
-65.375,32.375,0.0192239287549099,845,"Bermudian Exclusive Economic Zone"
-65.125,32.375,0.0159288755852915,845,"Bermudian Exclusive Economic Zone"
-64.875,32.375,0.0263168432918022,845,"Bermudian Exclusive Economic Zone"
-64.625,32.375,0.0103408865421447,845,"Bermudian Exclusive Economic Zone"
-64.375,32.375,0.00176204728245645,845,"Bermudian Exclusive Economic Zone"
-64.125,32.375,0.00170428823676462,845,"Bermudian Exclusive Economic Zone"
-63.875,32.375,0.0012369999511576,845,"Bermudian Exclusive Economic Zone"
-80.625,32.125,0.00611751430544481,3673,"United States Exclusive Economic Zone"
-80.375,32.125,0.0293342961706638,3673,"United States Exclusive Economic Zone"
-80.125,32.125,0.0032618731796741,731,"United States Exclusive Economic Zone"
-79.875,32.125,0.0140539896910411,731,"United States Exclusive Economic Zone"
-79.625,32.125,0.00769129642622277,731,"United States Exclusive Economic Zone"
-79.375,32.125,0.0122570536384011,731,"United States Exclusive Economic Zone"
-65.875,32.125,0.0331250401906606,817,"Bermudian Exclusive Economic Zone"
-65.625,32.125,0.0299432151671624,817,"Bermudian Exclusive Economic Zone"
-65.375,32.125,0.0278142153576734,845,"Bermudian Exclusive Economic Zone"
-65.125,32.125,0.0226973917873016,845,"Bermudian Exclusive Economic Zone"
-64.875,32.125,0.0182560178875778,845,"Bermudian Exclusive Economic Zone"
-64.625,32.125,0.00748082125744016,845,"Bermudian Exclusive Economic Zone"
-64.375,32.125,0.00419727901280562,845,"Bermudian Exclusive Economic Zone"
-64.125,32.125,0.00228994089955973,845,"Bermudian Exclusive Economic Zone"
-63.875,32.125,0.00200468223206612,845,"Bermudian Exclusive Economic Zone"
-80.875,31.875,0.000198862487009374,3673,"United States Exclusive Economic Zone"
-80.625,31.875,0.0244810745438902,3673,"United States Exclusive Economic Zone"
-80.375,31.875,0.0178566058916819,3673,"United States Exclusive Economic Zone"
-80.125,31.875,0.0092730510917143,731,"United States Exclusive Economic Zone"
-79.875,31.875,0.0122259715518045,731,"United States Exclusive Economic Zone"
-79.625,31.875,0.010496663216296,731,"United States Exclusive Economic Zone"
-79.375,31.875,0.0076089147360216,731,"United States Exclusive Economic Zone"
-65.625,31.875,0.0385890233308376,845,"Bermudian Exclusive Economic Zone"
-65.375,31.875,0.0362576734551867,845,"Bermudian Exclusive Economic Zone"
-65.125,31.875,0.0300413760275371,845,"Bermudian Exclusive Economic Zone"
-64.875,31.875,0.0227086887907852,845,"Bermudian Exclusive Economic Zone"
-64.625,31.875,0.012065102466361,845,"Bermudian Exclusive Economic Zone"
-64.375,31.875,0.00733723104423827,845,"Bermudian Exclusive Economic Zone"
-64.125,31.875,0.00535222355019276,845,"Bermudian Exclusive Economic Zone"
-63.875,31.875,0.0024704960704732,845,"Bermudian Exclusive Economic Zone"
-81.125,31.625,0.0372277961049386,3673,"United States Exclusive Economic Zone"
-80.875,31.625,0.0583218243931135,3673,"United States Exclusive Economic Zone"
-80.625,31.625,0.0285613786871013,3673,"United States Exclusive Economic Zone"
-80.375,31.625,0.023772794561224,3673,"United States Exclusive Economic Zone"
-80.125,31.625,0.0256986612900541,3673,"United States Exclusive Economic Zone"
-79.875,31.625,0.00762140204559914,731,"United States Exclusive Economic Zone"
-79.625,31.625,0.00316306867984739,731,"United States Exclusive Economic Zone"
-79.375,31.625,0.000638561864741196,731,"United States Exclusive Economic Zone"
-65.375,31.625,0.0310630071011049,845,"Bermudian Exclusive Economic Zone"
-65.125,31.625,0.0264724208594241,845,"Bermudian Exclusive Economic Zone"
-64.875,31.625,0.0202489431423187,845,"Bermudian Exclusive Economic Zone"
-64.625,31.625,0.0133722586320385,845,"Bermudian Exclusive Economic Zone"
-64.375,31.625,0.0130316801036674,845,"Bermudian Exclusive Economic Zone"
-64.125,31.625,0.0104057353327808,845,"Bermudian Exclusive Economic Zone"
-81.125,31.375,0.188195201967781,3673,"United States Exclusive Economic Zone"
-80.875,31.375,0.0371763255341801,3673,"United States Exclusive Economic Zone"
-80.625,31.375,0.00596939314624046,3673,"United States Exclusive Economic Zone"
-80.375,31.375,0.0094614821583062,3673,"United States Exclusive Economic Zone"
-80.125,31.375,0.00504917938056354,3673,"United States Exclusive Economic Zone"
