"x","y","sigmaNovelty","cell","EEZ"
12.375,69.125,0.000794120224504374,24,"Norwegian Exclusive Economic Zone"
12.625,69.125,0.00253867991176958,24,"Norwegian Exclusive Economic Zone"
12.125,68.875,0.00310376428704124,24,"Norwegian Exclusive Economic Zone"
12.375,68.875,0.00144996629802605,24,"Norwegian Exclusive Economic Zone"
12.625,68.875,0.00125790732780035,24,"Norwegian Exclusive Economic Zone"
12.875,68.875,0.0050518709418372,24,"Norwegian Exclusive Economic Zone"
10.875,68.625,0.00570525059908286,24,"Norwegian Exclusive Economic Zone"
11.125,68.625,0.00155246162674742,24,"Norwegian Exclusive Economic Zone"
11.375,68.625,0.0126027894833538,24,"Norwegian Exclusive Economic Zone"
11.625,68.625,0.0184422908908685,24,"Norwegian Exclusive Economic Zone"
11.875,68.625,0.0128735769892672,24,"Norwegian Exclusive Economic Zone"
12.125,68.625,0.00257734713489731,24,"Norwegian Exclusive Economic Zone"
12.375,68.625,0.00894606253118988,24,"Norwegian Exclusive Economic Zone"
12.625,68.625,0.00305446300095629,24,"Norwegian Exclusive Economic Zone"
12.875,68.625,0.000422164471145146,24,"Norwegian Exclusive Economic Zone"
10.625,68.375,0.00317033448778195,25,"Norwegian Exclusive Economic Zone"
10.875,68.375,0.0131403679006661,25,"Norwegian Exclusive Economic Zone"
11.125,68.375,0.0218650897514208,25,"Norwegian Exclusive Economic Zone"
11.375,68.375,0.0106540400014054,25,"Norwegian Exclusive Economic Zone"
11.625,68.375,0.00840163166955756,25,"Norwegian Exclusive Economic Zone"
11.875,68.375,0.0035264929692032,25,"Norwegian Exclusive Economic Zone"
12.125,68.375,0.00142186525505967,25,"Norwegian Exclusive Economic Zone"
12.375,68.375,0.00393817640700851,25,"Norwegian Exclusive Economic Zone"
12.625,68.375,0.012108065406495,25,"Norwegian Exclusive Economic Zone"
10.375,68.125,0.000126328955565749,25,"Norwegian Exclusive Economic Zone"
10.625,68.125,0.00758206733319711,25,"Norwegian Exclusive Economic Zone"
10.875,68.125,0.0118952551905133,25,"Norwegian Exclusive Economic Zone"
11.125,68.125,0.0118938618535054,25,"Norwegian Exclusive Economic Zone"
11.375,68.125,0.00628273613841561,25,"Norwegian Exclusive Economic Zone"
11.625,68.125,0.00386973146139385,25,"Norwegian Exclusive Economic Zone"
11.875,68.125,0.00422795906045872,25,"Norwegian Exclusive Economic Zone"
12.125,68.125,0.00751443708245973,25,"Norwegian Exclusive Economic Zone"
12.375,68.125,0.00727237512301233,25,"Norwegian Exclusive Economic Zone"
12.625,68.125,0.0029372890589721,25,"Norwegian Exclusive Economic Zone"
10.375,67.875,0.00390270389828117,25,"Norwegian Exclusive Economic Zone"
10.625,67.875,0.0069123241524791,25,"Norwegian Exclusive Economic Zone"
10.875,67.875,0.0124830496715613,25,"Norwegian Exclusive Economic Zone"
11.125,67.875,0.000699475645564357,25,"Norwegian Exclusive Economic Zone"
11.375,67.875,0.00904887477513139,25,"Norwegian Exclusive Economic Zone"
11.625,67.875,0.0171412194641567,25,"Norwegian Exclusive Economic Zone"
11.875,67.875,0.0173772679072422,25,"Norwegian Exclusive Economic Zone"
12.125,67.875,0.0184916380868852,25,"Norwegian Exclusive Economic Zone"
12.375,67.875,0.0277000298434079,25,"Norwegian Exclusive Economic Zone"
12.625,67.875,0.0492325973143554,25,"Norwegian Exclusive Economic Zone"
10.375,67.625,0.00841652177099093,25,"Norwegian Exclusive Economic Zone"
10.625,67.625,0.00287265331859498,25,"Norwegian Exclusive Economic Zone"
10.875,67.625,0.00377885869305228,25,"Norwegian Exclusive Economic Zone"
11.125,67.625,0.00989060777459119,25,"Norwegian Exclusive Economic Zone"
11.375,67.625,0.0204663042070792,25,"Norwegian Exclusive Economic Zone"
11.625,67.625,0.0339170964631555,25,"Norwegian Exclusive Economic Zone"
11.875,67.625,0.0615318423938123,25,"Norwegian Exclusive Economic Zone"
12.125,67.625,0.0770443484417636,25,"Norwegian Exclusive Economic Zone"
12.375,67.625,0.102234287607316,25,"Norwegian Exclusive Economic Zone"
12.625,67.625,0.126037491050535,25,"Norwegian Exclusive Economic Zone"
12.875,67.625,0.0967808565248092,25,"Norwegian Exclusive Economic Zone"
10.375,67.375,0.0362198206189219,25,"Norwegian Exclusive Economic Zone"
10.625,67.375,0.00150779255195052,25,"Norwegian Exclusive Economic Zone"
10.875,67.375,0.00864170160245362,25,"Norwegian Exclusive Economic Zone"
11.125,67.375,0.0293342123021324,25,"Norwegian Exclusive Economic Zone"
11.375,67.375,0.0520492308240711,25,"Norwegian Exclusive Economic Zone"
11.625,67.375,0.05696346188614,25,"Norwegian Exclusive Economic Zone"
11.875,67.375,0.0573499794363195,25,"Norwegian Exclusive Economic Zone"
