"Species","EEZ","p2","p4","Average","Max"
"Oncorhynchus gorbuscha","Canadian Exclusive Economic Zone",0.00638977635782748,0,0.222111179920041,3.56434483911544
"Oncorhynchus gorbuscha","Chinese Exclusive Economic Zone",0.056980056980057,0.00284900284900285,0.550710246773256,4.32553881480872
"Oncorhynchus gorbuscha","Japanese Exclusive Economic Zone",0.00572519083969466,0,0.257973298549711,3.72105750323803
"Oncorhynchus gorbuscha","Joint regime area United States / Russia",0.000526962936940102,0,0.0868669367466538,3.8519440243901
"Oncorhynchus gorbuscha","Mexican Exclusive Economic Zone",0,0,0.832449979765228,0.832449979765228
"Oncorhynchus gorbuscha","North Korean Exclusive Economic Zone",0.0152671755725191,0,0.41399490292827,3.72105750323803
"Oncorhynchus gorbuscha","Overlapping claim Kuril Islands: Japan / Russia",0,0,0.164224470537655,0.844691758842516
"Oncorhynchus gorbuscha","Russian Exclusive economic Zone",0.00174165457184325,0,0.107675081065262,3.8519440243901
"Oncorhynchus gorbuscha","South Korean Exclusive Economic Zone",0.0558659217877095,0,0.510246509995118,3.89756949036435
"Oncorhynchus gorbuscha","United States Exclusive Economic Zone",0.0192307692307692,0,0.569167774811458,2.76822106521171
"Oncorhynchus gorbuscha","United States Exclusive Economic Zone (Alaska)",0.000490035935968638,0,0.0874720333950122,3.8519440243901
"Oncorhynchus gorbuscha","United States Exclusive Economic Zone (Hawaii)",0,0,0.832449979765228,0.832449979765228
