"x","y","sigmaNovelty","cell","EEZ"
-107.875,82.875,3.56434483911544,97,"Canadian Exclusive Economic Zone"
-107.625,82.875,3.49799986957144,97,"Canadian Exclusive Economic Zone"
-107.875,82.625,3.49094867454679,97,"Canadian Exclusive Economic Zone"
-107.625,82.625,3.40581279371289,97,"Canadian Exclusive Economic Zone"
-151.875,72.875,0.29724551691008,64,"United States Exclusive Economic Zone (Alaska)"
-151.625,72.875,0.274842171852717,64,"United States Exclusive Economic Zone (Alaska)"
-151.875,72.625,0.385924105668202,64,"United States Exclusive Economic Zone (Alaska)"
-151.625,72.625,0.342610086765376,64,"United States Exclusive Economic Zone (Alaska)"
-151.875,70.875,0.549703837113856,63,"United States Exclusive Economic Zone (Alaska)"
-151.625,70.875,1.80397580467047,63,"United States Exclusive Economic Zone (Alaska)"
-151.875,70.625,0.527414923053286,63,"United States Exclusive Economic Zone (Alaska)"
-151.625,70.625,1.47221570783111,63,"United States Exclusive Economic Zone (Alaska)"
-148.375,70.375,0.806159134776661,90,"United States Exclusive Economic Zone (Alaska)"
-148.125,70.375,0.875042872120606,90,"United States Exclusive Economic Zone (Alaska)"
169.125,70.375,0.156816744416359,3482,"Russian Exclusive economic Zone"
169.375,70.375,0.190518588544216,3482,"Russian Exclusive economic Zone"
169.125,70.125,0.442098252530325,3482,"Russian Exclusive economic Zone"
169.375,70.125,0.355236058952043,3482,"Russian Exclusive economic Zone"
-163.375,69.875,0.463907126813064,35,"United States Exclusive Economic Zone (Alaska)"
-163.125,69.875,0.633370262337062,35,"United States Exclusive Economic Zone (Alaska)"
-163.375,69.625,0.378486528814217,34,"United States Exclusive Economic Zone (Alaska)"
-163.125,69.625,0.451387970702622,34,"United States Exclusive Economic Zone (Alaska)"
-166.375,68.875,0.383742060943997,7,"United States Exclusive Economic Zone (Alaska)"
-166.375,68.625,0.403674007501042,7,"United States Exclusive Economic Zone (Alaska)"
-165.625,64.375,0.00921600856182206,32,"United States Exclusive Economic Zone (Alaska)"
-165.375,64.375,0.0322180123924674,32,"United States Exclusive Economic Zone (Alaska)"
-165.125,64.375,0.0870099995326979,32,"United States Exclusive Economic Zone (Alaska)"
-164.875,64.375,0.177974643666418,32,"United States Exclusive Economic Zone (Alaska)"
-176.875,64.125,0.0150832884698567,3592,"Russian Exclusive economic Zone"
-176.625,64.125,0.00454336186946806,3592,"Russian Exclusive economic Zone"
-176.375,64.125,0.00351328825768836,3592,"Russian Exclusive economic Zone"
-166.625,64.125,0.00701603563672126,5,"United States Exclusive Economic Zone (Alaska)"
-166.375,64.125,0.00912441442866915,32,"United States Exclusive Economic Zone (Alaska)"
-166.125,64.125,0.0119021504223149,32,"United States Exclusive Economic Zone (Alaska)"
-165.875,64.125,0.00104977552536462,32,"United States Exclusive Economic Zone (Alaska)"
-165.625,64.125,0.0114081447159836,32,"United States Exclusive Economic Zone (Alaska)"
-165.375,64.125,0.0138558893839703,32,"United States Exclusive Economic Zone (Alaska)"
-165.125,64.125,0.0432190285255986,32,"United States Exclusive Economic Zone (Alaska)"
-176.875,63.875,0.0160551063970431,3592,"Russian Exclusive economic Zone"
-176.625,63.875,0.00452294111967997,3592,"Russian Exclusive economic Zone"
-176.375,63.875,0.00041473077688582,3592,"Russian Exclusive economic Zone"
-176.125,63.875,0.000730774378043021,3592,"Russian Exclusive economic Zone"
-175.375,63.875,0.026887437777096,3592,"Russian Exclusive economic Zone"
-175.125,63.875,0.0246430064206427,3592,"Russian Exclusive economic Zone"
-173.375,63.875,0.016621929387019,3592,"Russian Exclusive economic Zone"
-173.125,63.875,0.00358095008071861,3592,"Russian Exclusive economic Zone"
-166.875,63.875,0.0139239269818227,4,"United States Exclusive Economic Zone (Alaska)"
-166.625,63.875,0.0214486083882356,32,"United States Exclusive Economic Zone (Alaska)"
-166.375,63.875,0.0170582224711703,32,"United States Exclusive Economic Zone (Alaska)"
-166.125,63.875,0.0228054454947983,32,"United States Exclusive Economic Zone (Alaska)"
-165.875,63.875,0.0157722557219811,32,"United States Exclusive Economic Zone (Alaska)"
-165.625,63.875,0.025300711926783,32,"United States Exclusive Economic Zone (Alaska)"
-165.375,63.875,0.000461595906726985,32,"United States Exclusive Economic Zone (Alaska)"
-176.875,63.625,0.00243580845734063,3592,"Russian Exclusive economic Zone"
-176.625,63.625,0.00649143155468235,3592,"Russian Exclusive economic Zone"
-176.375,63.625,0.00691565308769766,3592,"Russian Exclusive economic Zone"
-176.125,63.625,0.0100976314338765,3592,"Russian Exclusive economic Zone"
-175.875,63.625,0.0135839230450045,3592,"Russian Exclusive economic Zone"
-175.375,63.625,0.0496498980600639,3592,"Russian Exclusive economic Zone"
-175.125,63.625,0.0969893256244563,3592,"Russian Exclusive economic Zone"
-173.375,63.625,0.202960849257672,3592,"Russian Exclusive economic Zone"
-173.125,63.625,0.178770664627031,3592,"Russian Exclusive economic Zone"
-167.125,63.625,0.07462156707812,4,"United States Exclusive Economic Zone (Alaska)"
-166.875,63.625,0.0449369250064116,4,"United States Exclusive Economic Zone (Alaska)"
-166.625,63.625,0.0305359205634672,4,"United States Exclusive Economic Zone (Alaska)"
-166.375,63.625,0.0215990633268863,4,"United States Exclusive Economic Zone (Alaska)"
-166.125,63.625,0.00220142122240117,32,"United States Exclusive Economic Zone (Alaska)"
-165.875,63.625,0.0260338536637415,32,"United States Exclusive Economic Zone (Alaska)"
-165.625,63.625,0.00110958190869669,32,"United States Exclusive Economic Zone (Alaska)"
-165.375,63.625,0.0130147008476524,32,"United States Exclusive Economic Zone (Alaska)"
-176.875,63.375,0.0096743878018301,3592,"Russian Exclusive economic Zone"
-176.625,63.375,0.0123135685656481,3592,"Russian Exclusive economic Zone"
-176.375,63.375,0.0186905270208018,3592,"Russian Exclusive economic Zone"
-176.125,63.375,0.0104953078846415,3592,"Russian Exclusive economic Zone"
-175.875,63.375,0.0373733752356603,3592,"Russian Exclusive economic Zone"
-167.125,63.375,0.0346074873951566,4,"United States Exclusive Economic Zone (Alaska)"
-166.875,63.375,0.0171666562095814,4,"United States Exclusive Economic Zone (Alaska)"
-166.625,63.375,0.0070308388464569,4,"United States Exclusive Economic Zone (Alaska)"
-166.375,63.375,0.00628919257018944,4,"United States Exclusive Economic Zone (Alaska)"
-166.125,63.375,0.00467302145706813,4,"United States Exclusive Economic Zone (Alaska)"
-165.875,63.375,0.0379240161586617,32,"United States Exclusive Economic Zone (Alaska)"
-165.625,63.375,0.00494114174946816,32,"United States Exclusive Economic Zone (Alaska)"
-165.375,63.375,0.0139082986044257,32,"United States Exclusive Economic Zone (Alaska)"
-163.375,63.375,0.266647807300327,32,"United States Exclusive Economic Zone (Alaska)"
-163.125,63.375,0.521835976826795,32,"United States Exclusive Economic Zone (Alaska)"
-176.875,63.125,0.0155654493198491,3592,"Russian Exclusive economic Zone"
-176.625,63.125,0.00130259734593629,3592,"Russian Exclusive economic Zone"
-176.375,63.125,0.00298229957970976,3592,"Russian Exclusive economic Zone"
-176.125,63.125,0.021630840521293,3592,"Russian Exclusive economic Zone"
-175.875,63.125,0.0455218774438493,3592,"Russian Exclusive economic Zone"
-175.625,63.125,0.048564489003033,3592,"Russian Exclusive economic Zone"
-175.375,63.125,0.0981964608141346,3592,"Russian Exclusive economic Zone"
-175.125,63.125,0.135794776605561,3592,"Russian Exclusive economic Zone"
-174.875,63.125,0.0344828006403751,3592,"Russian Exclusive economic Zone"
-174.625,63.125,0.0103776336344973,3592,"Russian Exclusive economic Zone"
-174.375,63.125,0.00778632667543693,3592,"Russian Exclusive economic Zone"
-174.125,63.125,0.013188826347768,3592,"United States Exclusive Economic Zone (Alaska)"
-173.875,63.125,0.0151029078043826,3592,"United States Exclusive Economic Zone (Alaska)"
-173.625,63.125,0.0429004432485011,3592,"United States Exclusive Economic Zone (Alaska)"
-173.375,63.125,0.0715686599022271,3592,"United States Exclusive Economic Zone (Alaska)"
-173.125,63.125,0.089700907444018,3592,"United States Exclusive Economic Zone (Alaska)"
-172.875,63.125,0.0562923286423198,3592,"United States Exclusive Economic Zone (Alaska)"
-172.625,63.125,0.0399814841316593,3592,"United States Exclusive Economic Zone (Alaska)"
-172.375,63.125,0.0196215171877066,3592,"United States Exclusive Economic Zone (Alaska)"
-172.125,63.125,0.00141888245694421,3592,"United States Exclusive Economic Zone (Alaska)"
-171.875,63.125,0.0110621840090067,4,"United States Exclusive Economic Zone (Alaska)"
-171.625,63.125,0.0831286569216797,4,"United States Exclusive Economic Zone (Alaska)"
-171.375,63.125,0.075439144007404,4,"United States Exclusive Economic Zone (Alaska)"
-171.125,63.125,0.0667745328599681,4,"United States Exclusive Economic Zone (Alaska)"
-170.875,63.125,0.0693111769576843,4,"United States Exclusive Economic Zone (Alaska)"
-170.625,63.125,0.0759559640823061,4,"United States Exclusive Economic Zone (Alaska)"
-170.375,63.125,0.0168513520182304,4,"United States Exclusive Economic Zone (Alaska)"
-170.125,63.125,0.0366725045768455,4,"United States Exclusive Economic Zone (Alaska)"
-169.875,63.125,0.161407921590699,4,"United States Exclusive Economic Zone (Alaska)"
-169.375,63.125,0.166234224415405,4,"United States Exclusive Economic Zone (Alaska)"
-169.125,63.125,0.104778586392612,4,"United States Exclusive Economic Zone (Alaska)"
-168.875,63.125,0.146651689285228,4,"United States Exclusive Economic Zone (Alaska)"
-168.625,63.125,0.101486724974929,4,"United States Exclusive Economic Zone (Alaska)"
-168.375,63.125,0.0568916863560578,4,"United States Exclusive Economic Zone (Alaska)"
-168.125,63.125,0.0248661775659024,4,"United States Exclusive Economic Zone (Alaska)"
-167.875,63.125,0.00736138358482629,4,"United States Exclusive Economic Zone (Alaska)"
-167.625,63.125,0.0333952080063093,4,"United States Exclusive Economic Zone (Alaska)"
-167.375,63.125,0.03747002830594,4,"United States Exclusive Economic Zone (Alaska)"
-167.125,63.125,0.0256150686094325,4,"United States Exclusive Economic Zone (Alaska)"
-166.875,63.125,0.0114634348153683,4,"United States Exclusive Economic Zone (Alaska)"
-166.625,63.125,0.0131006962216125,4,"United States Exclusive Economic Zone (Alaska)"
-166.375,63.125,0.0146901321861558,4,"United States Exclusive Economic Zone (Alaska)"
-166.125,63.125,0.0361213239430248,4,"United States Exclusive Economic Zone (Alaska)"
-165.875,63.125,0.0434672819473879,4,"United States Exclusive Economic Zone (Alaska)"
-165.625,63.125,0.0199075741964851,4,"United States Exclusive Economic Zone (Alaska)"
-165.375,63.125,0.0570270768747647,32,"United States Exclusive Economic Zone (Alaska)"
-165.125,63.125,0.0444225918659116,32,"United States Exclusive Economic Zone (Alaska)"
-164.875,63.125,0.0621694081868014,32,"United States Exclusive Economic Zone (Alaska)"
-163.375,63.125,0.169003239717676,32,"United States Exclusive Economic Zone (Alaska)"
-163.125,63.125,0.158081496394915,32,"United States Exclusive Economic Zone (Alaska)"
-176.875,62.875,0.0047072500729003,3591,"Russian Exclusive economic Zone"
-176.625,62.875,0.0132831909576631,3591,"Russian Exclusive economic Zone"
-176.375,62.875,0.0393192136213469,3592,"Russian Exclusive economic Zone"
-176.125,62.875,0.0576221253956913,3592,"Russian Exclusive economic Zone"
-175.875,62.875,0.0469422798437729,3592,"Russian Exclusive economic Zone"
-175.625,62.875,0.0864248815832565,3592,"Russian Exclusive economic Zone"
-175.375,62.875,0.0912791850071756,3592,"Russian Exclusive economic Zone"
-175.125,62.875,0.139689659040286,3592,"Russian Exclusive economic Zone"
-174.875,62.875,0.0745707828069701,3592,"Russian Exclusive economic Zone"
-174.625,62.875,0.0578735190887196,3592,"United States Exclusive Economic Zone (Alaska)"
-174.375,62.875,0.0841331138500733,3592,"United States Exclusive Economic Zone (Alaska)"
-174.125,62.875,0.13870753672302,3592,"United States Exclusive Economic Zone (Alaska)"
-173.875,62.875,0.102249442010165,3592,"United States Exclusive Economic Zone (Alaska)"
-173.625,62.875,0.0829969155540863,3592,"United States Exclusive Economic Zone (Alaska)"
-173.375,62.875,0.0780010543821693,3592,"United States Exclusive Economic Zone (Alaska)"
-173.125,62.875,0.0845783661338855,3592,"United States Exclusive Economic Zone (Alaska)"
-172.875,62.875,0.0747773858779369,3592,"United States Exclusive Economic Zone (Alaska)"
-172.625,62.875,0.0575944759437879,3592,"United States Exclusive Economic Zone (Alaska)"
