"x","y","sigmaNovelty","cell","EEZ"
-167.875,65.875,0.108244341222646,5,"United States Exclusive Economic Zone (Alaska)"
-167.625,65.875,0.0424154647308616,5,"United States Exclusive Economic Zone (Alaska)"
-165.375,64.375,0.0322163016567374,32,"United States Exclusive Economic Zone (Alaska)"
-165.125,64.375,0.104529342624023,32,"United States Exclusive Economic Zone (Alaska)"
-165.375,64.125,0.0138566235403886,32,"United States Exclusive Economic Zone (Alaska)"
-165.125,64.125,0.0432212225300581,32,"United States Exclusive Economic Zone (Alaska)"
-160.875,63.875,1.25143342714138,32,"United States Exclusive Economic Zone (Alaska)"
-165.375,63.375,0.0162016275217397,32,"United States Exclusive Economic Zone (Alaska)"
-165.125,63.375,0.112547562281136,32,"United States Exclusive Economic Zone (Alaska)"
-164.375,63.375,0.0321291011808084,32,"United States Exclusive Economic Zone (Alaska)"
-164.125,63.375,0.00989393341763071,32,"United States Exclusive Economic Zone (Alaska)"
-163.375,63.375,0.266633073644324,32,"United States Exclusive Economic Zone (Alaska)"
-163.125,63.375,0.521875863491948,32,"United States Exclusive Economic Zone (Alaska)"
-165.625,63.125,0.0657609281756584,4,"United States Exclusive Economic Zone (Alaska)"
-165.375,63.125,0.0481903412238305,32,"United States Exclusive Economic Zone (Alaska)"
-165.125,63.125,0.0444286516939215,32,"United States Exclusive Economic Zone (Alaska)"
-164.875,63.125,0.0714649301401015,32,"United States Exclusive Economic Zone (Alaska)"
-164.625,63.125,0.0970852965203036,32,"United States Exclusive Economic Zone (Alaska)"
-163.375,63.125,0.432999459498443,32,"United States Exclusive Economic Zone (Alaska)"
-163.125,63.125,0.15810467140143,32,"United States Exclusive Economic Zone (Alaska)"
-165.875,62.875,0.0163668379897587,4,"United States Exclusive Economic Zone (Alaska)"
-165.625,62.875,0.0370535897925662,4,"United States Exclusive Economic Zone (Alaska)"
-165.375,62.875,0.0810945369311065,4,"United States Exclusive Economic Zone (Alaska)"
-165.125,62.875,0.226286220371417,32,"United States Exclusive Economic Zone (Alaska)"
-164.875,62.875,0.387340590973239,32,"United States Exclusive Economic Zone (Alaska)"
-165.875,62.625,0.090372665439084,4,"United States Exclusive Economic Zone (Alaska)"
-165.625,62.625,0.0239025289467333,4,"United States Exclusive Economic Zone (Alaska)"
176.625,62.375,0.224010694920457,3563,"Russian Exclusive economic Zone"
176.875,62.375,0.126203684954466,3563,"Russian Exclusive economic Zone"
-176.875,62.125,0.0142715265100573,3591,"Russian Exclusive economic Zone"
-176.625,62.125,0.160382603310919,3591,"Russian Exclusive economic Zone"
-176.375,62.125,0.15066043361035,3591,"Russian Exclusive economic Zone"
175.625,62.125,0.204043416740627,3563,"Russian Exclusive economic Zone"
175.875,62.125,0.0775015657973565,3563,"Russian Exclusive economic Zone"
