"x","y","sigmaNovelty","cell","EEZ"
-151.875,70.875,0.549717022084241,63,"United States Exclusive Economic Zone (Alaska)"
-151.625,70.875,1.80397267560773,63,"United States Exclusive Economic Zone (Alaska)"
-151.875,70.625,0.527420966095987,63,"United States Exclusive Economic Zone (Alaska)"
-151.625,70.625,1.73615394580306,63,"United States Exclusive Economic Zone (Alaska)"
-167.875,65.875,0.108250402477295,5,"United States Exclusive Economic Zone (Alaska)"
-167.625,65.875,0.0424184501461577,5,"United States Exclusive Economic Zone (Alaska)"
-164.875,64.375,0.328566873868882,32,"United States Exclusive Economic Zone (Alaska)"
-164.625,64.375,0.35853064107758,32,"United States Exclusive Economic Zone (Alaska)"
-164.875,64.125,0.0988037611696458,32,"United States Exclusive Economic Zone (Alaska)"
-164.625,64.125,0.16750970562897,32,"United States Exclusive Economic Zone (Alaska)"
-166.875,63.875,0.444670982720127,4,"United States Exclusive Economic Zone (Alaska)"
-166.625,63.875,0.565000896654119,32,"United States Exclusive Economic Zone (Alaska)"
-160.875,63.875,1.25140245701513,32,"United States Exclusive Economic Zone (Alaska)"
-166.875,63.625,0.513679160912344,4,"United States Exclusive Economic Zone (Alaska)"
-166.625,63.625,0.606835477666261,4,"United States Exclusive Economic Zone (Alaska)"
-164.375,63.375,0.032131867747448,32,"United States Exclusive Economic Zone (Alaska)"
-164.125,63.375,0.00989712005803023,32,"United States Exclusive Economic Zone (Alaska)"
176.625,62.375,0.224011026382825,3563,"Russian Exclusive economic Zone"
176.875,62.375,0.126204114523813,3563,"Russian Exclusive economic Zone"
-176.875,62.125,0.0142714334685478,3591,"Russian Exclusive economic Zone"
175.625,62.125,0.204045059355174,3563,"Russian Exclusive economic Zone"
175.875,62.125,0.0775026398579195,3563,"Russian Exclusive economic Zone"
176.125,62.125,0.236502015700606,3563,"Russian Exclusive economic Zone"
176.375,62.125,0.159321598707234,3563,"Russian Exclusive economic Zone"
176.625,62.125,0.0902296126091624,3563,"Russian Exclusive economic Zone"
176.875,62.125,0.109072196567677,3563,"Russian Exclusive economic Zone"
-176.875,61.875,0.00926327405866105,3591,"Russian Exclusive economic Zone"
-176.625,61.875,0.00929182961277329,3591,"United States Exclusive Economic Zone (Alaska)"
158.875,61.875,0.0232401162850551,3451,NA
159.125,61.875,0.053260446350723,3479,"Russian Exclusive economic Zone"
159.375,61.875,0.114436585024459,3479,"Russian Exclusive economic Zone"
174.875,61.875,0.0402392435262343,3563,"Russian Exclusive economic Zone"
175.125,61.875,0.027063095746049,3563,"Russian Exclusive economic Zone"
175.375,61.875,0.111137297883469,3563,"Russian Exclusive economic Zone"
175.625,61.875,0.307690230186039,3563,"Russian Exclusive economic Zone"
175.875,61.875,0.292793984634031,3563,"Russian Exclusive economic Zone"
176.125,61.875,0.00821353019296658,3563,"Russian Exclusive economic Zone"
176.375,61.875,0.00311525852350477,3563,"Russian Exclusive economic Zone"
176.625,61.875,0.0922559798816165,3563,"Russian Exclusive economic Zone"
176.875,61.875,0.0861356348144524,3563,"Russian Exclusive economic Zone"
-176.875,61.625,0.0224328293403499,3591,"United States Exclusive Economic Zone (Alaska)"
-176.625,61.625,0.01072159728151,3591,"United States Exclusive Economic Zone (Alaska)"
-176.375,61.625,0.0227096688215009,3619,"United States Exclusive Economic Zone (Alaska)"
-176.125,61.625,0.0156008156200029,3619,"United States Exclusive Economic Zone (Alaska)"
-175.875,61.625,0.0605706833855024,3619,"United States Exclusive Economic Zone (Alaska)"
-175.625,61.625,0.103545464572292,3619,"United States Exclusive Economic Zone (Alaska)"
-175.375,61.625,0.059505117913451,3619,"United States Exclusive Economic Zone (Alaska)"
157.125,61.625,0.0207808801553199,3451,"Russian Exclusive economic Zone"
157.375,61.625,0.0216443988491812,3451,"Russian Exclusive economic Zone"
157.625,61.625,0.0145996362496695,3451,"Russian Exclusive economic Zone"
157.875,61.625,0.00556165190526683,3451,"Russian Exclusive economic Zone"
158.125,61.625,0.00585655489057399,3451,"Russian Exclusive economic Zone"
158.375,61.625,0.0109495089193319,3451,"Russian Exclusive economic Zone"
158.625,61.625,0.0286650078787688,3451,"Russian Exclusive economic Zone"
158.875,61.625,0.0191835846362405,3451,"Russian Exclusive economic Zone"
159.125,61.625,0.00431568327466644,3479,"Russian Exclusive economic Zone"
159.375,61.625,0.133490556593592,3479,"Russian Exclusive economic Zone"
159.625,61.625,0.0663235112572318,3479,"Russian Exclusive economic Zone"
173.625,61.625,0.216459376621593,3535,"Russian Exclusive economic Zone"
173.875,61.625,0.065044579428179,3535,"Russian Exclusive economic Zone"
174.125,61.625,0.361191767913145,3563,"Russian Exclusive economic Zone"
174.375,61.625,0.190597263023373,3563,"Russian Exclusive economic Zone"
174.625,61.625,0.101873275409525,3563,"Russian Exclusive economic Zone"
174.875,61.625,0.0375413630066577,3563,"Russian Exclusive economic Zone"
175.125,61.625,0.0925171397133718,3563,"Russian Exclusive economic Zone"
175.375,61.625,0.0294226256895015,3563,"Russian Exclusive economic Zone"
175.625,61.625,0.0217576592339919,3563,"Russian Exclusive economic Zone"
-176.875,61.375,0.0965766982633757,3591,"United States Exclusive Economic Zone (Alaska)"
-176.625,61.375,0.0492472726108085,3591,"United States Exclusive Economic Zone (Alaska)"
-176.375,61.375,0.0118154470164457,3619,"United States Exclusive Economic Zone (Alaska)"
-176.125,61.375,0.026188868202231,3619,"United States Exclusive Economic Zone (Alaska)"
-175.875,61.375,0.0264268118793324,3619,"United States Exclusive Economic Zone (Alaska)"
-175.625,61.375,0.031548530884763,3619,"United States Exclusive Economic Zone (Alaska)"
-175.375,61.375,0.0431068137261684,3619,"United States Exclusive Economic Zone (Alaska)"
-175.125,61.375,0.0644173323253104,3619,"United States Exclusive Economic Zone (Alaska)"
-149.875,61.375,0.903614299364029,115,"United States Exclusive Economic Zone (Alaska)"
156.875,61.375,0.0142038367927946,3451,"Russian Exclusive economic Zone"
157.125,61.375,0.0118363469348307,3451,"Russian Exclusive economic Zone"
157.375,61.375,0.0408972741229308,3451,"Russian Exclusive economic Zone"
157.625,61.375,0.0355006607807778,3451,"Russian Exclusive economic Zone"
157.875,61.375,0.102102044773096,3451,"Russian Exclusive economic Zone"
158.125,61.375,0.0504987223822861,3451,"Russian Exclusive economic Zone"
158.375,61.375,0.0250293497004858,3451,"Russian Exclusive economic Zone"
158.625,61.375,0.0391725667133582,3451,"Russian Exclusive economic Zone"
158.875,61.375,0.0456607012783738,3451,"Russian Exclusive economic Zone"
159.125,61.375,0.0543138709066063,3451,"Russian Exclusive economic Zone"
159.375,61.375,0.0990721113682348,3479,"Russian Exclusive economic Zone"
159.625,61.375,0.0731920712124053,3479,"Russian Exclusive economic Zone"
172.875,61.375,0.25656516884229,3535,"Russian Exclusive economic Zone"
173.125,61.375,0.438231215568985,3535,"Russian Exclusive economic Zone"
173.375,61.375,0.10146023894784,3562,"Russian Exclusive economic Zone"
173.625,61.375,0.116360485599567,3562,"Russian Exclusive economic Zone"
173.875,61.375,0.128832839586549,3562,"Russian Exclusive economic Zone"
174.125,61.375,0.0387012990657698,3562,"Russian Exclusive economic Zone"
174.375,61.375,0.0993532928467965,3562,"Russian Exclusive economic Zone"
174.625,61.375,0.139484974854118,3563,"Russian Exclusive economic Zone"
174.875,61.375,0.0551194541937087,3563,"Russian Exclusive economic Zone"
175.125,61.375,0.0068844026665768,3563,"Russian Exclusive economic Zone"
175.375,61.375,0.000872731787074923,3563,"Russian Exclusive economic Zone"
175.625,61.375,0.0413567684155283,3563,"Russian Exclusive economic Zone"
-176.875,61.125,0.00497544699611974,3591,"United States Exclusive Economic Zone (Alaska)"
-176.625,61.125,0.00454469494548326,3619,"United States Exclusive Economic Zone (Alaska)"
-176.375,61.125,0.00621034558423066,3619,"United States Exclusive Economic Zone (Alaska)"
-176.125,61.125,0.00976843423951172,3619,"United States Exclusive Economic Zone (Alaska)"
-175.875,61.125,0.0355501649863491,3619,"United States Exclusive Economic Zone (Alaska)"
-175.625,61.125,0.0293714662705751,3619,"United States Exclusive Economic Zone (Alaska)"
-175.375,61.125,0.046807625103301,3619,"United States Exclusive Economic Zone (Alaska)"
-175.125,61.125,0.0357412485340069,3619,"United States Exclusive Economic Zone (Alaska)"
-174.875,61.125,0.0246436360147313,3619,"United States Exclusive Economic Zone (Alaska)"
-174.625,61.125,0.018514398851149,3619,"United States Exclusive Economic Zone (Alaska)"
-174.375,61.125,0.0217247666972304,3619,"United States Exclusive Economic Zone (Alaska)"
-174.125,61.125,0.0312427060566416,3619,"United States Exclusive Economic Zone (Alaska)"
-173.875,61.125,0.0321714502209755,3619,"United States Exclusive Economic Zone (Alaska)"
-173.625,61.125,0.039006950361278,3619,"United States Exclusive Economic Zone (Alaska)"
-173.375,61.125,0.0221592205335516,3619,"United States Exclusive Economic Zone (Alaska)"
-173.125,61.125,0.00670389144255818,3619,"United States Exclusive Economic Zone (Alaska)"
-172.875,61.125,0.008907244631237,3619,"United States Exclusive Economic Zone (Alaska)"
-172.625,61.125,0.00802976320281804,3619,"United States Exclusive Economic Zone (Alaska)"
-172.375,61.125,0.0039814977509275,3619,"United States Exclusive Economic Zone (Alaska)"
