"x","y","sigmaNovelty","cell","EEZ"
-151.875,70.875,0.549742148079656,63,"United States Exclusive Economic Zone (Alaska)"
-151.625,70.875,1.80399151517695,63,"United States Exclusive Economic Zone (Alaska)"
-151.875,70.625,0.527444855484245,63,"United States Exclusive Economic Zone (Alaska)"
-151.625,70.625,1.73617231424106,63,"United States Exclusive Economic Zone (Alaska)"
-168.875,65.875,0.01776997955953,5,"United States Exclusive Economic Zone (Alaska)"
-168.625,65.875,0.00173613788930631,5,"United States Exclusive Economic Zone (Alaska)"
-168.875,65.625,0.0710361507592519,5,"United States Exclusive Economic Zone (Alaska)"
-168.625,65.625,0.207994386544581,5,"United States Exclusive Economic Zone (Alaska)"
-165.125,63.125,0.0443885678732331,32,"United States Exclusive Economic Zone (Alaska)"
-164.875,63.125,0.0622186304730736,32,"United States Exclusive Economic Zone (Alaska)"
-165.375,62.875,0.00515290615904468,4,"United States Exclusive Economic Zone (Alaska)"
-165.125,62.875,0.108519644217054,32,"United States Exclusive Economic Zone (Alaska)"
-164.875,62.875,0.116007026570802,32,"United States Exclusive Economic Zone (Alaska)"
-165.375,62.625,0.0507860900466708,31,"United States Exclusive Economic Zone (Alaska)"
-165.125,62.625,0.16465563591833,31,"United States Exclusive Economic Zone (Alaska)"
176.625,62.375,0.224012278485665,3563,"Russian Exclusive economic Zone"
176.875,62.375,0.126204525867842,3563,"Russian Exclusive economic Zone"
-176.875,62.125,0.0142757512726964,3591,"Russian Exclusive economic Zone"
-176.625,62.125,0.0429114307356675,3591,"Russian Exclusive economic Zone"
-176.375,62.125,0.02697164203551,3591,"Russian Exclusive economic Zone"
-176.125,62.125,0.0360200585835619,3619,"United States Exclusive Economic Zone (Alaska)"
-175.875,62.125,0.0373833749031679,3619,"United States Exclusive Economic Zone (Alaska)"
-175.625,62.125,0.0611948090256115,3619,"United States Exclusive Economic Zone (Alaska)"
-175.375,62.125,0.0513128686905056,3619,"United States Exclusive Economic Zone (Alaska)"
-175.125,62.125,0.0511421766858447,3619,"United States Exclusive Economic Zone (Alaska)"
-174.875,62.125,0.0541656858248354,3619,"United States Exclusive Economic Zone (Alaska)"
-173.625,62.125,0.0166216494307356,3619,"United States Exclusive Economic Zone (Alaska)"
-173.375,62.125,0.00962292238219821,3619,"United States Exclusive Economic Zone (Alaska)"
