"x","y","sigmaNovelty","cell","EEZ"
5.875,65.125,0.000672817025498829,53,"Norwegian Exclusive Economic Zone"
6.125,65.125,0.00269456946117275,53,"Norwegian Exclusive Economic Zone"
6.375,65.125,0.00623720412806941,53,"Norwegian Exclusive Economic Zone"
6.625,65.125,0.00747584400309451,53,"Norwegian Exclusive Economic Zone"
6.875,65.125,0.0168510659790851,53,"Norwegian Exclusive Economic Zone"
7.125,65.125,0.0372150070277741,53,"Norwegian Exclusive Economic Zone"
7.375,65.125,0.0422538172866644,53,"Norwegian Exclusive Economic Zone"
7.625,65.125,0.0316739702192365,26,"Norwegian Exclusive Economic Zone"
7.875,65.125,0.024956616825911,26,"Norwegian Exclusive Economic Zone"
8.125,65.125,0.0229901769928505,26,"Norwegian Exclusive Economic Zone"
8.375,65.125,0.0229775331676944,26,"Norwegian Exclusive Economic Zone"
8.625,65.125,0.0265162261106171,26,"Norwegian Exclusive Economic Zone"
8.875,65.125,0.0270063698128455,26,"Norwegian Exclusive Economic Zone"
9.125,65.125,0.0235604918849684,26,"Norwegian Exclusive Economic Zone"
9.375,65.125,0.0141132455986898,26,"Norwegian Exclusive Economic Zone"
9.625,65.125,0.00689413688339509,26,"Norwegian Exclusive Economic Zone"
9.875,65.125,0.0216952857620419,26,"Norwegian Exclusive Economic Zone"
10.125,65.125,0.0611811030214535,26,"Norwegian Exclusive Economic Zone"
10.375,65.125,0.0954280104569517,26,"Norwegian Exclusive Economic Zone"
10.625,65.125,0.107367188594712,26,"Norwegian Exclusive Economic Zone"
5.625,64.875,3.7241352299047e-06,54,"Norwegian Exclusive Economic Zone"
5.875,64.875,0.000748278967501364,54,"Norwegian Exclusive Economic Zone"
6.125,64.875,2.26017410587782e-05,54,"Norwegian Exclusive Economic Zone"
6.375,64.875,0.00120940947070189,54,"Norwegian Exclusive Economic Zone"
6.625,64.875,0.00587425773569286,54,"Norwegian Exclusive Economic Zone"
6.875,64.875,0.0167833628987644,54,"Norwegian Exclusive Economic Zone"
7.125,64.875,0.0172610490538506,54,"Norwegian Exclusive Economic Zone"
7.375,64.875,0.015889305014851,54,"Norwegian Exclusive Economic Zone"
