"x","y","sigmaNovelty","cell","EEZ"
4.625,60.375,0.0212903859729492,55,"Norwegian Exclusive Economic Zone"
4.875,60.375,0.00426276456738907,55,"Norwegian Exclusive Economic Zone"
4.375,60.125,0.0255834949479245,756,"Norwegian Exclusive Economic Zone"
4.625,60.125,0.0389299934290561,756,"Norwegian Exclusive Economic Zone"
4.875,60.125,0.0287028739442975,756,"Norwegian Exclusive Economic Zone"
5.375,60.125,0.0296298788424507,55,"Norwegian Exclusive Economic Zone"
5.625,60.125,0.0391094393295462,55,"Norwegian Exclusive Economic Zone"
4.125,59.875,0.0156756778614462,756,"Norwegian Exclusive Economic Zone"
4.375,59.875,0.0291936227328598,756,"Norwegian Exclusive Economic Zone"
4.625,59.875,0.0445170861052852,756,"Norwegian Exclusive Economic Zone"
4.875,59.875,0.037133233836113,756,"Norwegian Exclusive Economic Zone"
5.125,59.875,0.00303925194686249,756,"Norwegian Exclusive Economic Zone"
5.625,59.875,0.0152881195531456,757,NA
3.875,59.625,0.00829293985217548,756,"Norwegian Exclusive Economic Zone"
4.125,59.625,0.0143545519717977,756,"Norwegian Exclusive Economic Zone"
4.375,59.625,0.0178669346645048,756,"Norwegian Exclusive Economic Zone"
4.625,59.625,0.0428783901010433,756,"Norwegian Exclusive Economic Zone"
4.875,59.625,0.0126605142484636,756,"Norwegian Exclusive Economic Zone"
5.125,59.625,0.0134386456633193,756,"Norwegian Exclusive Economic Zone"
3.875,59.375,0.0173730718540818,756,"Norwegian Exclusive Economic Zone"
4.125,59.375,0.00806153108233277,756,"Norwegian Exclusive Economic Zone"
4.375,59.375,0.0332613959790588,756,"Norwegian Exclusive Economic Zone"
4.625,59.375,0.0629648838547021,756,"Norwegian Exclusive Economic Zone"
4.875,59.375,0.0223298556143895,756,"Norwegian Exclusive Economic Zone"
5.125,59.375,0.0232379968239361,757,"Norwegian Exclusive Economic Zone"
5.375,59.375,0.00329896623452941,757,"Norwegian Exclusive Economic Zone"
5.625,59.375,0.0349230683220048,757,"Norwegian Exclusive Economic Zone"
3.875,59.125,0.00740159450931162,756,"Norwegian Exclusive Economic Zone"
4.125,59.125,0.00791633641684545,756,"Norwegian Exclusive Economic Zone"
4.375,59.125,0.0485365181213004,756,"Norwegian Exclusive Economic Zone"
4.625,59.125,0.0291091689761662,756,"Norwegian Exclusive Economic Zone"
4.875,59.125,0.0520517010119667,756,"Norwegian Exclusive Economic Zone"
5.125,59.125,0.0255211318234265,757,"Norwegian Exclusive Economic Zone"
5.375,59.125,0.000332081173364384,757,"Norwegian Exclusive Economic Zone"
5.875,59.125,0.162904433880925,757,"Norwegian Exclusive Economic Zone"
10.375,59.125,0.241614617066877,1,"Norwegian Exclusive Economic Zone"
10.625,59.125,0.589224569051128,1,"Norwegian Exclusive Economic Zone"
3.875,58.875,0.00856532224832472,756,"Norwegian Exclusive Economic Zone"
4.125,58.875,0.00840565355477512,756,"Norwegian Exclusive Economic Zone"
4.375,58.875,0.0201490797870461,756,"Norwegian Exclusive Economic Zone"
4.625,58.875,0.0346943200295608,756,"Norwegian Exclusive Economic Zone"
4.875,58.875,0.0227679349384799,757,"Norwegian Exclusive Economic Zone"
5.125,58.875,0.0350245061354828,757,"Norwegian Exclusive Economic Zone"
5.375,58.875,0.00318129103225515,757,"Norwegian Exclusive Economic Zone"
9.625,58.875,0.163013852985232,1,"Norwegian Exclusive Economic Zone"
9.875,58.875,0.0683838181465194,1,"Norwegian Exclusive Economic Zone"
10.125,58.875,0.066041065157634,1,"Norwegian Exclusive Economic Zone"
10.375,58.875,0.036865253872114,1,"Norwegian Exclusive Economic Zone"
10.625,58.875,0.16661440563446,1,"Joint regime area Sweden / Norway"
10.875,58.875,0.435350544445373,1,"Swedish Exclusive Economic Zone"
4.125,58.625,0.00248082368302254,756,"Norwegian Exclusive Economic Zone"
4.375,58.625,0.0116352796800832,756,"Norwegian Exclusive Economic Zone"
4.625,58.625,0.0203223212219282,756,"Norwegian Exclusive Economic Zone"
4.875,58.625,0.0142541426230589,757,"Norwegian Exclusive Economic Zone"
5.125,58.625,0.0166815835275234,757,"Norwegian Exclusive Economic Zone"
5.375,58.625,0.00555999970584371,757,"Norwegian Exclusive Economic Zone"
9.125,58.625,0.172743324871547,757,NA
9.375,58.625,0.114160051270245,1,"Norwegian Exclusive Economic Zone"
9.625,58.625,0.0107974732588986,1,"Norwegian Exclusive Economic Zone"
9.875,58.625,0.00281445847419224,1,"Norwegian Exclusive Economic Zone"
10.125,58.625,0.0123315018852922,1,"Norwegian Exclusive Economic Zone"
10.375,58.625,0.0318451680582697,1,"Swedish Exclusive Economic Zone"
10.625,58.625,0.0119058523710273,1,"Swedish Exclusive Economic Zone"
10.875,58.625,0.0252175908589597,1,"Swedish Exclusive Economic Zone"
11.125,58.625,0.333572226066104,1,"Swedish Exclusive Economic Zone"
-0.375,58.375,0.0139328217422425,783,"United Kingdom Exclusive Economic Zone"
-0.125,58.375,0.0306380023462794,783,"United Kingdom Exclusive Economic Zone"
4.375,58.375,0.00594660161015955,756,"Norwegian Exclusive Economic Zone"
4.625,58.375,0.0135786089024069,757,"Norwegian Exclusive Economic Zone"
4.875,58.375,0.0290069518146562,757,"Norwegian Exclusive Economic Zone"
5.125,58.375,0.0202294559532476,757,"Norwegian Exclusive Economic Zone"
5.375,58.375,0.016184564592248,757,"Norwegian Exclusive Economic Zone"
5.625,58.375,0.0163339717510329,757,"Norwegian Exclusive Economic Zone"
5.875,58.375,0.0101389843927741,757,"Norwegian Exclusive Economic Zone"
8.875,58.375,0.106489506427094,757,"Norwegian Exclusive Economic Zone"
9.125,58.375,0.0514080818079698,1,"Norwegian Exclusive Economic Zone"
9.375,58.375,0.0170083881251302,1,"Norwegian Exclusive Economic Zone"
9.625,58.375,0.000257851374009692,1,"Norwegian Exclusive Economic Zone"
9.875,58.375,0.00100232812465648,1,"Norwegian Exclusive Economic Zone"
10.125,58.375,0.0111024541374554,1,"Swedish Exclusive Economic Zone"
10.375,58.375,0.00967346863070953,1,"Swedish Exclusive Economic Zone"
10.625,58.375,0.0238396157266695,1,"Swedish Exclusive Economic Zone"
10.875,58.375,0.00571561418866985,1,"Swedish Exclusive Economic Zone"
11.125,58.375,0.0107423617476762,1,"Swedish Exclusive Economic Zone"
11.375,58.375,0.290529981471926,1,"Swedish Exclusive Economic Zone"
-0.375,58.125,0.0181710255751958,783,"United Kingdom Exclusive Economic Zone"
-0.125,58.125,0.0325814958214475,783,"United Kingdom Exclusive Economic Zone"
4.375,58.125,0.0081761990538644,784,"Norwegian Exclusive Economic Zone"
4.625,58.125,0.0160114856258756,784,"Norwegian Exclusive Economic Zone"
4.875,58.125,0.00948245284081607,784,"Norwegian Exclusive Economic Zone"
5.125,58.125,0.0118382078628898,757,"Norwegian Exclusive Economic Zone"
5.375,58.125,0.00460563937693759,757,"Norwegian Exclusive Economic Zone"
5.625,58.125,0.0122672499715254,757,"Norwegian Exclusive Economic Zone"
5.875,58.125,0.0250502436666191,757,"Norwegian Exclusive Economic Zone"
6.125,58.125,0.0413160989490419,757,"Norwegian Exclusive Economic Zone"
6.375,58.125,0.00680519595029372,757,"Norwegian Exclusive Economic Zone"
6.875,58.125,0.0165075005292597,757,NA
8.375,58.125,0.088048630997391,757,"Norwegian Exclusive Economic Zone"
8.625,58.125,0.101966374801765,757,"Norwegian Exclusive Economic Zone"
8.875,58.125,0.0221359376079173,757,"Norwegian Exclusive Economic Zone"
9.125,58.125,0.00196543911183402,1,"Norwegian Exclusive Economic Zone"
9.375,58.125,0.000258565992401467,1,"Norwegian Exclusive Economic Zone"
9.625,58.125,0.000161930417999782,1,"Norwegian Exclusive Economic Zone"
9.875,58.125,0.000463804215595152,1,"Danish Exclusive Economic Zone"
10.125,58.125,0.00658223098708368,1,"Danish Exclusive Economic Zone"
10.375,58.125,0.00479178477694058,1,"Danish Exclusive Economic Zone"
10.625,58.125,0.00453144142255074,1,"Swedish Exclusive Economic Zone"
10.875,58.125,0.00433774847524035,1,"Swedish Exclusive Economic Zone"
11.125,58.125,0.0407052426832779,1,"Swedish Exclusive Economic Zone"
11.375,58.125,0.0802398380728861,1,"Swedish Exclusive Economic Zone"
11.625,58.125,0.37326732330942,1,"Swedish Exclusive Economic Zone"
-2.875,57.875,0.0668149406621088,782,"United Kingdom Exclusive Economic Zone"
-2.625,57.875,0.0627241966350662,782,"United Kingdom Exclusive Economic Zone"
4.375,57.875,0.00411285433395626,784,"Norwegian Exclusive Economic Zone"
4.625,57.875,0.00914126320055316,784,"Norwegian Exclusive Economic Zone"
4.875,57.875,0.0074366113354919,784,"Norwegian Exclusive Economic Zone"
5.125,57.875,0.00949594070811919,784,"Norwegian Exclusive Economic Zone"
5.375,57.875,0.0122328341550694,757,"Norwegian Exclusive Economic Zone"
5.625,57.875,0.0352105393409354,757,"Norwegian Exclusive Economic Zone"
