"Species","EEZ","p2","p4","Average","Max"
"Pagrus auratus","Australian Exclusive Economic Zone",0,0,0.00952327311263913,0.36669730768625
"Pagrus auratus","Chinese Exclusive Economic Zone",0,0,0.0289198944274224,1.45952385987486
"Pagrus auratus","Christmas Island Exclusive Economic Zone",0,0,0.00276392188977828,0.00384140753657189
"Pagrus auratus","East Timorian Exclusive Economic Zone",0,0,0.0280816686553911,0.0414459318653143
"Pagrus auratus","Fijian Exclusive Economic Zone",0,0,0.00974428760480791,0.36669730768625
"Pagrus auratus","Indonesian Exclusive Economic Zone",0,0,0.018002752858977,0.321157696031002
"Pagrus auratus","Japanese Exclusive Economic Zone",0,0,0.0455747029535708,1.04501134306159
"Pagrus auratus","Joint regime area Japan / Korea",0,0,0.00326886055702689,0.00782399297812275
"Pagrus auratus","Kiribati Exclusive Economic Zone (Gilbert Islands)",0,0,0.0595109698006963,0.143479816937539
"Pagrus auratus","Malaysian Exclusive Economic Zone",0,0,0.065802540675479,0.143479816937539
"Pagrus auratus","New Caledonian Exclusive Economic Zone",0,0,0.000322183449083434,0.0088240495805756
"Pagrus auratus","New Zealand Exclusive Economic Zone",0,0,0.0239742633723858,1.55354578095201
"Pagrus auratus","Norfolk Island Exclusive Economic Zone",0,0,0.00608697224098724,0.0632792649743963
"Pagrus auratus","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.000117733073766771,0.000263359163501465
"Pagrus auratus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.00384786415172432,0.0199707478392864
"Pagrus auratus","Papua New Guinean Exclusive Economic Zone",0,0,0.00370154335358657,0.0494975605754561
"Pagrus auratus","Philippines Exclusive Economic Zone",0,0,0.201345889169815,1.45952385987486
"Pagrus auratus","South Korean Exclusive Economic Zone",0,0,0.037748272942283,0.43997022148286
"Pagrus auratus","Taiwanese Exclusive Economic Zone",0,0,0.027037597471738,1.45952385987486
"Pagrus auratus","Tongan Exclusive Economic Zone",0,0,0.000377052188618313,0.00278636749358623
"Pagrus auratus","Tuvaluan Exclusive Economic Zone",0,0,0.0131504533673439,0.321157696031002
"Pagrus auratus","United States Exclusive Economic Zone (Hawaii)",0,0,0.0176792525831147,1.45952385987486
"Pagrus auratus","Vanuatu Exclusive Economic Zone",0,0,0.000106497515455373,0.00168162802928323
"Pagrus auratus","Wallis and Futuna Exclusive Economic Zone",0,0,0.0183478229003661,0.321157696031002
