"x","y","sigmaNovelty","cell","EEZ"
-2.625,47.125,0.0514680667427623,919,"French Exclusive Economic Zone"
-2.375,47.125,0.0476319941216371,1481,"French Exclusive Economic Zone"
-2.875,46.875,0.0422331297622949,919,"French Exclusive Economic Zone"
-2.625,46.875,0.0237895996000223,919,"French Exclusive Economic Zone"
-2.375,46.875,0.054785836352656,1481,"French Exclusive Economic Zone"
-3.125,46.625,0.0105382008698114,919,"French Exclusive Economic Zone"
-2.875,46.625,0.0304531984954562,919,"French Exclusive Economic Zone"
-2.625,46.625,0.00417528298734696,919,"French Exclusive Economic Zone"
-2.375,46.625,0.0466133970661559,1481,"French Exclusive Economic Zone"
-2.125,46.625,0.0695861913298925,1481,"French Exclusive Economic Zone"
-1.875,46.625,0.0731217546102643,1481,"French Exclusive Economic Zone"
-3.875,46.375,0.00339727958250808,919,"French Exclusive Economic Zone"
-3.625,46.375,0.00230113757007469,919,"French Exclusive Economic Zone"
-3.125,46.375,0.0278282977205972,919,"French Exclusive Economic Zone"
-2.875,46.375,0.0107585486077683,919,"French Exclusive Economic Zone"
-2.625,46.375,0.0240894246832021,919,"French Exclusive Economic Zone"
-2.375,46.375,0.00484992773614592,1481,"French Exclusive Economic Zone"
-2.125,46.375,0.0377212981681947,1481,"French Exclusive Economic Zone"
-1.875,46.375,0.0714127168331707,1481,"French Exclusive Economic Zone"
-1.625,46.375,0.0702404875960889,1481,"French Exclusive Economic Zone"
-4.125,46.125,0.000458015398963329,919,"French Exclusive Economic Zone"
-3.875,46.125,0.00193439298587195,919,"French Exclusive Economic Zone"
-3.625,46.125,0.000183809349927317,919,"French Exclusive Economic Zone"
-3.375,46.125,0.00231690353025716,919,"French Exclusive Economic Zone"
-3.125,46.125,0.00855205727662482,919,"French Exclusive Economic Zone"
-2.875,46.125,0.0091842740031849,919,"French Exclusive Economic Zone"
-2.625,46.125,0.0105699287860046,919,"French Exclusive Economic Zone"
-2.375,46.125,0.00415999298851923,919,"French Exclusive Economic Zone"
-2.125,46.125,0.023113031768845,1481,"French Exclusive Economic Zone"
-1.875,46.125,0.063324065631521,1481,"French Exclusive Economic Zone"
-1.625,46.125,0.070402225639101,1481,"French Exclusive Economic Zone"
-1.375,46.125,0.07804891804233,1481,"French Exclusive Economic Zone"
-4.125,45.875,0.00189699842507011,919,"French Exclusive Economic Zone"
-3.875,45.875,0.00327216350143907,919,"French Exclusive Economic Zone"
-3.625,45.875,0.000181294939868341,919,"French Exclusive Economic Zone"
-3.375,45.875,0.000857132629927396,919,"French Exclusive Economic Zone"
-3.125,45.875,0.00527666006582031,919,"French Exclusive Economic Zone"
-2.875,45.875,0.00484521602221934,919,"French Exclusive Economic Zone"
-2.625,45.875,0.00338260225728469,919,"French Exclusive Economic Zone"
-2.375,45.875,0.011706163006362,919,"French Exclusive Economic Zone"
-2.125,45.875,0.00371502355473356,1481,"French Exclusive Economic Zone"
-1.875,45.875,0.00406657917495005,1481,"French Exclusive Economic Zone"
-1.625,45.875,0.0481635192355147,1481,"French Exclusive Economic Zone"
-1.375,45.875,0.0329964682412635,1481,"French Exclusive Economic Zone"
-1.125,45.875,0.0836515922671602,1481,"French Exclusive Economic Zone"
-3.875,45.625,0.0043743198290338,919,"French Exclusive Economic Zone"
-3.625,45.625,0.00228671179773404,919,"French Exclusive Economic Zone"
-3.375,45.625,0.000235087982343628,919,"French Exclusive Economic Zone"
-3.125,45.625,0.00276992834435888,919,"French Exclusive Economic Zone"
-2.875,45.625,0.00340657926823188,919,"French Exclusive Economic Zone"
-2.625,45.625,0.0022990974606591,919,"French Exclusive Economic Zone"
-2.375,45.625,0.00328049006089885,1480,"French Exclusive Economic Zone"
-2.125,45.625,0.0135319139837765,1480,"French Exclusive Economic Zone"
-1.875,45.625,0.0120720551430698,1481,"French Exclusive Economic Zone"
-1.625,45.625,0.00355692160744349,1481,"French Exclusive Economic Zone"
-1.375,45.625,0.0588824436933958,1481,"French Exclusive Economic Zone"
-1.125,45.625,0.080264732770234,1481,"French Exclusive Economic Zone"
13.125,45.625,0.644020787002005,1565,"Italian Exclusive Economic Zone"
13.375,45.625,0.414323508678467,1593,"Italian Exclusive Economic Zone"
13.625,45.625,0.123490465120423,1593,"Slovenian Exclusive Economic Zone"
-5.875,45.375,0.00215589608871165,946,"French Exclusive Economic Zone"
-5.625,45.375,0.00112126608258905,946,"French Exclusive Economic Zone"
-3.625,45.375,0.00273270786629588,919,"French Exclusive Economic Zone"
-3.375,45.375,0.00106119123996052,919,"French Exclusive Economic Zone"
-3.125,45.375,0.00124271026334199,1480,"French Exclusive Economic Zone"
-2.875,45.375,0.00301960827266218,1480,"French Exclusive Economic Zone"
-2.625,45.375,0.00422149750270962,1480,"French Exclusive Economic Zone"
-2.375,45.375,0.0035826453225371,1480,"French Exclusive Economic Zone"
-2.125,45.375,0.00225444811022881,1480,"French Exclusive Economic Zone"
-1.875,45.375,0.0052421490114548,1480,"French Exclusive Economic Zone"
-1.625,45.375,0.00739420259126732,1480,"French Exclusive Economic Zone"
-1.375,45.375,0.0311060573205234,1480,"French Exclusive Economic Zone"
12.375,45.375,1.40353047789273,1565,"Italian Exclusive Economic Zone"
12.625,45.375,1.10399174295574,1565,"Italian Exclusive Economic Zone"
12.875,45.375,0.918771121454651,1565,"Italian Exclusive Economic Zone"
13.125,45.375,0.524435069032232,1565,"Italian Exclusive Economic Zone"
13.375,45.375,0.609279228915816,1593,"Croatian Exclusive Economic Zone"
-5.875,45.125,0.00596675689507391,946,"Spanish Exclusive Economic Zone"
-5.625,45.125,0.00245620216514368,946,"Joint regime area Spain / France"
-2.875,45.125,0.00352829736142042,1480,"French Exclusive Economic Zone"
-2.625,45.125,0.00540799329243502,1480,"French Exclusive Economic Zone"
-2.375,45.125,0.00431592307644721,1480,"French Exclusive Economic Zone"
-2.125,45.125,0.00904571202480518,1480,"French Exclusive Economic Zone"
-1.875,45.125,0.00632824704678457,1480,"French Exclusive Economic Zone"
-1.625,45.125,0.00999127789061219,1480,"French Exclusive Economic Zone"
-1.375,45.125,0.0534082073347106,1480,"French Exclusive Economic Zone"
12.375,45.125,0.354129910646765,1565,"Italian Exclusive Economic Zone"
12.625,45.125,0.559291105678408,1565,"Italian Exclusive Economic Zone"
12.875,45.125,1.3202188547952,1565,"Italian Exclusive Economic Zone"
13.125,45.125,0.488878485068336,1592,"Croatian Exclusive Economic Zone"
13.375,45.125,0.684747012299832,1593,"Croatian Exclusive Economic Zone"
14.375,45.125,0.00830832444868817,1593,"Croatian Exclusive Economic Zone"
-2.625,44.875,0.00535461974015647,1480,"French Exclusive Economic Zone"
-2.375,44.875,0.00604601683592665,1480,"French Exclusive Economic Zone"
-2.125,44.875,0.00855662852102841,1480,"French Exclusive Economic Zone"
-1.875,44.875,0.0079904239487288,1480,"French Exclusive Economic Zone"
-1.625,44.875,0.015595624294778,1480,"French Exclusive Economic Zone"
-1.375,44.875,0.0567237964084236,1480,"French Exclusive Economic Zone"
12.625,44.875,0.779219786832795,1592,"Italian Exclusive Economic Zone"
12.875,44.875,0.568777727672586,1592,"Italian Exclusive Economic Zone"
13.125,44.875,0.232004647213859,1592,"Croatian Exclusive Economic Zone"
13.375,44.875,0.581865129082529,1592,"Croatian Exclusive Economic Zone"
13.625,44.875,0.142991606058506,1592,"Croatian Exclusive Economic Zone"
14.125,44.875,0.123165318723081,1592,"Croatian Exclusive Economic Zone"
14.625,44.875,0.0912442859810409,1593,"Croatian Exclusive Economic Zone"
14.875,44.875,0.0912404966101405,1593,"Croatian Exclusive Economic Zone"
-2.375,44.625,0.0110227608782034,1480,"French Exclusive Economic Zone"
-2.125,44.625,0.0136170713476771,1480,"French Exclusive Economic Zone"
-1.875,44.625,0.0101663717905301,1480,"French Exclusive Economic Zone"
-1.625,44.625,0.00621608722949609,1480,"French Exclusive Economic Zone"
-1.375,44.625,0.0613350014003641,1480,"French Exclusive Economic Zone"
12.375,44.625,0.701857495583282,1592,"Italian Exclusive Economic Zone"
12.625,44.625,0.560235247755128,1592,"Italian Exclusive Economic Zone"
12.875,44.625,1.15803186597195,1592,"Italian Exclusive Economic Zone"
13.125,44.625,0.402468895039543,1592,"Croatian Exclusive Economic Zone"
